"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1","16","18","2","14","4","20","10","22","30","8","6","40","24","36","42","28","32","38","26"
"2","4","14","20","16","8","6","18","10","40","22","24","28","36","42","32","38","26","",""
"3","14","4","16","20","8","6","18","10","40","22","24","28","36","42","32","38","26","",""
"4","4","14","16","20","8","6","18","10","40","22","24","28","36","42","32","38","26","",""
"5","14","4","16","8","6","18","40","24","10","22","28","42","36","32","38","26","20","",""
"6","4","14","16","8","6","18","40","24","22","10","28","42","36","38","26","20","","",""
"7","4","16","6","40","24","22","10","28","42","36","38","26","20","","","","","",""
"8","4","16","6","40","24","22","10","28","42","38","36","26","20","","","","","",""
"9","4","16","6","40","24","22","10","28","42","38","36","26","20","","","","","",""
"10","4","16","6","40","24","22","10","28","42","38","36","20","26","","","","","",""
"11","4","16","6","40","24","22","10","28","42","38","20","36","26","","","","","",""
"12","4","16","6","40","24","22","10","28","42","20","38","36","26","","","","","",""
"13","4","16","6","24","40","22","10","28","42","20","38","36","26","","","","","",""
"14","4","16","6","24","40","22","10","28","20","38","36","26","","","","","","",""
"15","4","16","6","24","40","22","10","20","28","38","36","26","","","","","","",""
"16","4","16","6","40","24","10","20","22","28","38","36","26","","","","","","",""
"17","4","16","6","40","24","10","20","22","28","38","36","26","","","","","","",""
"18","4","16","6","40","10","24","20","28","38","36","26","","","","","","","",""
"19","4","16","6","40","10","20","24","28","38","36","26","","","","","","","",""
"20","4","16","6","40","10","20","24","28","38","36","26","","","","","","","",""
"21","4","16","6","40","10","20","24","28","38","36","26","","","","","","","",""
"22","4","16","6","40","10","20","24","28","38","36","26","","","","","","","",""
"23","4","16","6","40","10","20","28","24","38","36","26","","","","","","","",""
"24","4","16","6","40","10","20","28","24","","","","","","","","","","",""
"25"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
