"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"80","6","26","44","30","40","28","42","34","32","10","48","","","","","","","","",""
"81","6","26","44","30","40","28","42","34","32","10","48","","","","","","","","",""
"82","44","30","40","28","42","34","32","10","48","6","","","","","","","","","",""
"83","44","30","40","28","42","34","32","10","48","","","","","","","","","","",""
"84","44","30","40","42","28","34","32","10","48","","","","","","","","","","",""
"85","44","30","40","42","28","34","32","10","48","","","","","","","","","","",""
"86","44","30","40","42","28","34","32","10","48","","","","","","","","","","",""
"87","44","30","40","42","28","34","32","10","48","","","","","","","","","","",""
"88","44","30","42","34","28","32","10","","","","","","","","","","","","",""
"89","44","30","42","34","28","32","10","","","","","","","","","","","","",""
"90","44","30","42","34","28","32","10","","","","","","","","","","","","",""
"91","44","30","42","34","28","32","10","","","","","","","","","","","","",""
"92","44","30","34","42","28","32","10","","","","","","","","","","","","",""
"93","44","30","34","42","28","32","","","","","","","","","","","","","",""
"94","44","30","34","42","28","32","","","","","","","","","","","","","",""
"95","44","30","34","42","28","32","","","","","","","","","","","","","",""
"96","44","30","34","42","28","32","","","","","","","","","","","","","",""
"97","44","30","34","42","28","","","","","","","","","","","","","","",""
"98","44","30","34","42","28","","","","","","","","","","","","","","",""
"99","44","30","34","42","28","","","","","","","","","","","","","","",""
"100","44","30","34","42","28","","","","","","","","","","","","","","",""
"101"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
