"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1","12","2","8","18","14","4","6","16","28","10","42","30","22","36","38","48","20","46","24","40","58","64","52","50"
"2","12","8","10","14","18","6","16","28","2","30","36","42","4","20","48","58","52","22","50","46","24","40","38","64"
"3","12","8","10","14","6","18","16","28","2","30","36","42","20","48","58","52","50","22","46","24","4","40","38","64"
"4","12","8","10","14","6","18","16","28","30","36","42","20","2","48","58","52","24","50","22","46","4","40","38","64"
"5","12","8","10","14","6","18","16","28","30","36","42","20","2","48","58","52","24","22","4","50","46","40","38","64"
"6","12","8","10","14","6","18","16","28","30","42","36","2","20","48","58","24","22","4","46","50","52","40","38","64"
"7","12","8","14","6","10","18","16","28","42","30","36","2","20","48","4","24","58","22","46","40","50","52","38","64"
"8","12","8","6","14","10","18","16","28","42","2","30","36","20","48","4","24","22","58","46","40","50","52","38","64"
"9","12","8","6","14","10","18","16","28","42","2","36","30","20","4","48","24","22","58","46","40","50","52","38","64"
"10","12","6","8","14","10","18","16","28","42","2","36","30","20","4","48","22","24","58","46","40","50","38","52","64"
"11","12","6","8","18","10","16","14","28","42","2","36","30","20","4","22","48","24","58","46","40","50","38","52","64"
"12","12","6","8","18","16","10","14","28","42","2","36","30","20","4","22","48","24","58","46","38","40","50","52","64"
"13","12","6","8","18","16","10","14","28","2","42","36","30","20","4","22","48","24","58","46","38","40","50","52","64"
"14","12","6","8","18","16","10","14","28","2","42","36","30","20","4","22","48","24","46","58","38","40","50","52","64"
"15","12","6","8","18","16","10","14","2","28","42","30","36","4","22","48","24","46","58","38","40","50","52","64",""
"16","12","6","18","8","16","10","14","28","2","42","30","4","22","48","24","46","58","38","40","50","52","36","64",""
"17","12","6","18","8","16","10","14","28","2","42","30","4","22","48","24","46","58","38","40","52","50","36","64",""
"18","12","6","18","8","16","10","14","28","2","42","30","4","22","48","24","46","58","38","40","50","52","36","64",""
"19","12","6","18","8","16","10","14","2","28","42","4","30","22","48","24","46","38","58","40","52","36","64","",""
"20","12","6","18","8","16","10","14","2","28","42","4","30","22","48","24","46","38","58","40","52","64","","",""
"21","12","6","18","8","16","10","14","2","28","42","4","30","22","48","38","46","58","24","40","52","","","",""
"22","12","6","18","8","16","10","14","2","28","42","4","30","22","48","38","46","58","24","40","52","","","",""
"23","12","6","18","16","8","10","14","2","28","42","4","30","22","48","38","46","58","40","52","","","","",""
"24","12","6","18","16","8","10","14","2","28","42","4","30","22","48","38","46","58","40","52","","","","",""
"25","12","6","16","8","18","10","14","2","28","42","4","30","22","48","38","46","58","40","52","","","","",""
"26","12","6","16","18","8","10","2","14","28","42","4","30","22","48","38","46","58","40","52","","","","",""
"27","12","6","16","18","8","10","14","2","28","42","4","30","22","48","38","46","58","40","52","","","","",""
"28","12","6","16","18","8","10","14","2","28","42","4","30","22","48","38","46","58","40","52","","","","",""
"29","12","6","16","18","8","10","14","2","42","28","4","30","22","48","38","46","58","40","52","","","","",""
"30","12","6","16","18","8","10","14","2","42","28","4","30","22","48","38","46","58","40","52","","","","",""
"31","12","6","16","18","8","10","14","2","42","28","4","30","22","48","38","46","58","40","52","","","","",""
"32","12","6","16","18","8","10","14","2","42","28","4","30","22","48","38","58","46","40","52","","","","",""
"33","12","6","16","18","8","10","14","2","42","28","4","30","48","38","58","46","40","52","","","","","",""
"34","12","6","16","18","8","10","14","2","42","28","4","30","48","38","58","46","40","52","","","","","",""
"35","12","6","16","18","8","14","2","10","42","28","4","30","48","38","58","46","40","52","","","","","",""
"36","12","6","16","18","8","14","2","10","42","28","4","30","48","38","58","46","40","52","","","","","",""
"37","12","6","16","18","8","14","10","2","42","28","4","30","48","38","58","46","40","52","","","","","",""
"38","12","6","16","18","8","14","2","10","42","28","4","30","48","38","58","46","40","52","","","","","",""
"39","12","6","16","18","8","14","2","42","28","4","30","48","38","46","58","40","52","","","","","","",""
"40","12","6","16","8","18","14","2","42","4","28","30","48","58","38","46","40","52","","","","","","",""
"41","12","6","16","18","8","14","2","42","4","28","30","48","58","46","40","52","","","","","","","",""
"42","12","6","16","8","18","14","2","42","4","28","30","48","58","46","40","52","","","","","","","",""
"43","12","6","16","8","18","14","2","42","4","28","30","48","58","46","40","52","","","","","","","",""
"44","12","6","16","8","18","14","2","42","4","28","30","48","58","46","40","52","","","","","","","",""
"45","12","6","16","8","18","14","2","42","4","28","30","48","58","46","40","52","","","","","","","",""
"46","12","6","16","8","18","14","2","42","4","28","30","48","58","46","40","52","","","","","","","",""
"47","12","6","16","8","18","14","2","42","4","28","30","48","58","46","40","52","","","","","","","",""
"48","12","6","16","8","18","14","2","42","4","28","30","48","58","46","40","52","","","","","","","",""
"49","12","6","16","8","18","14","2","42","4","28","30","48","58","46","40","52","","","","","","","",""
"50","12","6","16","8","18","14","2","42","4","28","30","48","58","46","40","52","","","","","","","",""
"51","12","6","16","8","18","14","2","42","4","28","30","48","58","46","40","52","","","","","","","",""
"52","12","6","16","8","18","14","2","42","4","28","30","48","58","46","40","52","","","","","","","",""
"53","12","6","16","8","18","14","2","42","4","28","30","48","58","46","40","52","","","","","","","",""
"54","12","6","16","8","18","14","2","42","4","28","30","48","58","46","40","52","","","","","","","",""
"55","12","6","16","8","18","14","2","4","28","30","48","58","46","52","40","","","","","","","","",""
"56","12","6","16","8","18","14","2","4","28","30","48","58","46","52","40","","","","","","","","",""
"57","12","6","16","8","18","14","2","4","28","30","48","58","46","52","40","","","","","","","","",""
"58","12","6","16","8","18","14","2","4","28","30","48","58","46","52","40","","","","","","","","",""
