"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1","26","28","14","30","20","16","18","8","10","12","32","32","38","2","6","4","36","34","24","40","22","42"
"2","18","26","30","14","28","12","8","38","32","2","6","24","22","36","42","20","34","40","","","",""
"3","18","26","30","14","28","8","12","38","32","2","6","24","22","36","42","20","40","","","","",""
"4","18","26","14","30","28","8","12","38","32","2","6","24","22","36","42","20","","","","","",""
"5","18","14","26","30","28","8","12","38","32","2","6","24","22","36","42","20","","","","","",""
"6","14","18","26","30","28","8","12","38","32","2","6","24","22","36","42","","","","","","",""
"7","14","26","18","30","28","8","12","32","38","2","6","24","22","36","42","","","","","","",""
"8","26","14","30","28","8","18","12","32","2","38","6","24","22","36","42","","","","","","",""
"9","26","14","30","28","8","12","32","2","38","18","24","22","36","42","6","","","","","","",""
"10","14","26","30","28","8","12","32","2","38","18","24","22","36","42","6","","","","","","",""
"11","26","14","30","28","8","12","32","2","38","18","24","22","36","42","6","","","","","","",""
"12","26","14","30","28","8","32","12","2","38","18","24","22","36","42","6","","","","","","",""
"13","26","14","30","8","28","32","12","2","18","38","24","22","36","42","6","","","","","","",""
"14","26","14","30","8","28","32","2","12","18","38","24","22","36","42","6","","","","","","",""
"15","26","14","30","8","32","2","12","18","28","24","22","36","38","42","6","","","","","","",""
"16","14","26","8","30","32","2","18","28","24","22","36","42","38","6","","","","","","","",""
"17","14","8","26","30","32","2","18","28","24","22","36","42","38","6","","","","","","","",""
"18","14","26","30","8","32","2","18","28","24","22","36","42","38","6","","","","","","","",""
"19","14","30","8","32","2","18","28","24","22","36","42","38","6","","","","","","","","",""
"20","14","30","8","32","2","18","28","24","22","36","42","38","6","","","","","","","","",""
"21","14","30","8","32","18","2","28","24","22","36","42","38","6","","","","","","","","",""
"22","14","30","8","32","18","2","28","24","22","36","42","38","6","","","","","","","","",""
"23","14","8","30","32","18","2","28","24","22","36","42","38","6","","","","","","","","",""
"24","14","8","30","32","18","2","28","24","22","36","42","6","38","","","","","","","","",""
"25","14","8","30","18","32","2","28","24","22","36","42","6","38","","","","","","","","",""
"26","14","8","30","18","32","28","24","22","36","42","6","38","","","","","","","","","",""
"27","14","8","30","18","32","28","24","22","36","42","6","38","","","","","","","","","",""
"28","14","8","30","18","32","28","24","22","36","42","6","38","","","","","","","","","",""
"29","14","8","30","18","32","28","24","22","36","42","6","38","","","","","","","","","",""
"30","14","30","8","18","32","28","24","22","36","42","6","38","","","","","","","","","",""
"31","14","30","18","32","28","8","24","22","36","42","6","38","","","","","","","","","",""
"32","14","18","32","28","8","24","22","36","42","6","38","","","","","","","","","","",""
"33","14","18","32","28","8","24","22","36","42","6","38","","","","","","","","","","",""
"34","14","18","32","28","8","22","36","42","6","38","","","","","","","","","","","",""
"35","14","18","32","28","8","22","36","42","6","38","","","","","","","","","","","",""
"36","18","14","32","28","8","22","36","42","6","38","","","","","","","","","","","",""
"37","18","32","14","28","8","22","36","42","6","38","","","","","","","","","","","",""
"38","18","14","32","28","8","22","36","42","6","38","","","","","","","","","","","",""
"39","14","32","28","18","8","22","42","36","6","38","","","","","","","","","","","",""
"40","14","32","28","18","8","22","42","36","6","38","","","","","","","","","","","",""
"41","14","32","28","18","8","22","42","36","6","38","","","","","","","","","","","",""
"42","14","32","28","18","8","22","42","36","6","38","","","","","","","","","","","",""
"43","14","32","28","18","8","22","42","36","6","38","","","","","","","","","","","",""
"44","14","32","28","18","22","42","6","36","38","","","","","","","","","","","","",""
"45","14","32","28","18","22","42","6","36","38","","","","","","","","","","","","",""
"46","14","32","28","18","22","42","6","36","38","","","","","","","","","","","","",""
"47","14","28","32","18","22","42","6","36","38","","","","","","","","","","","","",""
"48","14","28","32","18","22","42","6","36","38","","","","","","","","","","","","",""
"49","14","28","18","32","22","42","6","36","38","","","","","","","","","","","","",""
"50","14","28","18","32","22","42","6","36","38","","","","","","","","","","","","",""
"51","14","28","18","32","22","42","6","36","38","","","","","","","","","","","","",""
"52","14","28","18","32","22","42","6","36","38","","","","","","","","","","","","",""
"53","14","28","18","32","42","6","36","38","","","","","","","","","","","","","",""
"54","14","28","18","32","42","6","36","38","","","","","","","","","","","","","",""
"55","14","28","18","32","42","6","36","38","","","","","","","","","","","","","",""
"56","14","28","18","32","42","6","36","38","","","","","","","","","","","","","",""
"57","14","28","18","32","42","6","38","36","","","","","","","","","","","","","",""
"58","14","28","18","32","42","6","38","36","","","","","","","","","","","","","",""
"59","14","28","18","32","6","38","36","","","","","","","","","","","","","","",""
"60","14","28","18","32","6","38","36","","","","","","","","","","","","","","",""
"61","14","28","18","32","6","38","36","","","","","","","","","","","","","","",""
"62","28","14","18","32","6","38","36","","","","","","","","","","","","","","",""
"63","28","14","18","32","6","38","","","","","","","","","","","","","","","",""
"64","28","14","18","32","","","","","","","","","","","","","","","","","",""
"65","28","14","18","32","","","","","","","","","","","","","","","","","",""
"66","28","14","18","32","","","","","","","","","","","","","","","","","",""
"67","28","14","18","32","","","","","","","","","","","","","","","","","",""
"68","28","14","18","32","","","","","","","","","","","","","","","","","",""
"69","28","14","18","32","","","","","","","","","","","","","","","","","",""
"70","28","14","18","32","","","","","","","","","","","","","","","","","",""
"71"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
