"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1","22","24","28","16","32","36","26","34","30","18","20","44","40","6","42","38","14","2","8","48","10","4","12",""
"2","24","28","22","18","26","36","16","32","30","6","20","46","44","38","4","2","42","40","8","14","12","48","34","10"
"3","24","28","18","22","26","36","16","32","30","20","6","46","44","38","4","2","42","40","8","14","12","48","34","10"
"4","24","28","18","22","26","36","16","32","30","20","46","6","44","38","4","2","42","40","8","14","12","48","34","10"
"5","24","28","18","22","26","36","16","32","30","20","46","6","44","38","4","2","42","40","14","12","48","34","10",""
"6","36","18","22","26","16","32","30","20","46","6","44","38","24","4","28","2","42","40","14","12","48","34","10",""
"7","36","18","22","26","16","32","30","20","46","6","44","38","28","24","4","2","42","40","14","12","48","34","10",""
"8","36","18","22","26","16","32","20","46","6","44","28","38","24","4","40","42","14","12","48","34","10","","",""
"9","36","18","22","26","16","32","20","46","6","28","38","24","4","40","42","14","12","48","44","","","","",""
"10","36","18","22","26","16","32","20","46","28","6","24","38","4","40","42","14","12","48","44","","","","",""
"11","36","18","22","26","32","20","46","28","6","16","24","38","4","40","42","14","12","48","44","","","","",""
"12","18","36","22","32","20","46","28","26","24","16","38","4","40","42","14","6","12","48","44","","","","",""
"13","36","18","22","32","20","46","28","26","38","16","4","40","42","14","6","12","48","44","","","","","",""
"14","36","18","22","32","20","46","28","26","38","4","40","42","14","6","12","48","44","","","","","","",""
"15","36","18","22","32","28","46","26","38","4","40","42","14","6","12","48","44","","","","","","","",""
"16","36","18","22","32","28","46","26","38","4","40","42","14","6","12","48","44","","","","","","","",""
"17","36","18","22","32","28","46","26","38","4","42","6","40","14","12","48","44","","","","","","","",""
"18","36","18","22","32","28","46","26","38","4","42","6","40","14","12","44","","","","","","","","",""
"19","36","18","28","32","46","26","4","38","42","6","40","14","12","22","44","","","","","","","","",""
"20","36","18","28","32","26","46","4","38","42","6","40","14","12","22","44","","","","","","","","",""
"21","36","18","28","32","26","46","4","38","42","6","40","14","12","22","44","","","","","","","","",""
"22","36","18","28","32","26","46","4","38","6","40","14","12","42","22","44","","","","","","","","",""
"23","36","18","28","32","26","46","4","38","6","40","14","12","42","22","44","","","","","","","","",""
"24","36","18","28","32","26","46","4","38","6","40","14","12","42","22","44","","","","","","","","",""
"25","36","18","28","26","46","4","38","6","40","14","12","22","42","44","","","","","","","","","",""
"26","36","18","28","26","46","4","38","6","40","14","12","22","42","44","","","","","","","","","",""
"27","36","18","28","26","46","4","38","6","40","14","12","22","42","44","","","","","","","","","",""
"28","36","18","28","26","46","4","38","6","40","14","12","22","42","44","","","","","","","","","",""
"29","36","28","18","26","4","46","38","6","40","14","12","22","42","44","","","","","","","","","",""
"30","36","28","18","26","4","46","38","6","40","14","12","22","42","44","","","","","","","","","",""
"31","36","28","26","18","4","46","38","6","40","14","12","22","42","44","","","","","","","","","",""
"32","36","28","26","18","4","46","38","6","40","14","12","22","42","44","","","","","","","","","",""
"33","36","28","26","18","4","46","38","6","40","14","12","22","42","44","","","","","","","","","",""
"34","36","28","26","4","46","38","6","40","14","12","22","42","44","","","","","","","","","","",""
"35","36","28","26","4","46","38","6","40","14","12","22","42","44","","","","","","","","","","",""
"36","36","28","26","4","46","38","6","40","14","12","22","42","44","","","","","","","","","","",""
"37","36","28","26","4","46","38","6","40","14","12","22","42","44","","","","","","","","","","",""
"38","36","28","26","4","46","38","6","40","14","22","12","42","44","","","","","","","","","","",""
"39","36","28","26","4","46","38","6","40","14","22","12","42","44","","","","","","","","","","",""
"40","36","28","26","4","46","38","6","40","14","22","12","42","44","","","","","","","","","","",""
"41","36","28","26","4","46","38","6","40","14","22","12","42","44","","","","","","","","","","",""
"42","36","28","26","4","46","38","6","40","14","22","12","42","44","","","","","","","","","","",""
"43","36","28","26","4","46","38","6","40","14","22","12","42","","","","","","","","","","","",""
"44","36","28","26","4","38","6","40","14","22","12","","","","","","","","","","","","","",""
"45","36","28","26","4","38","6","40","14","22","12","","","","","","","","","","","","","",""
"46","36","28","26","4","38","6","40","14","22","12","","","","","","","","","","","","","",""
"47","28","36","26","4","38","6","40","14","22","","","","","","","","","","","","","","",""
"48","28","36","26","4","38","6","40","","","","","","","","","","","","","","","","",""
"49","36","26","4","38","","","","","","","","","","","","","","","","","","","",""
"50","36","26","4","38","","","","","","","","","","","","","","","","","","","",""
"51"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
