"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"72","16","24","6","38","40","20","30","26","46","32","4","2","14","","","","","","","","",""
"73","16","24","38","6","40","20","30","26","46","32","4","2","14","","","","","","","","",""
"74","16","24","38","6","40","20","30","26","32","46","4","2","","","","","","","","","",""
"75","16","24","38","6","40","20","30","26","32","46","4","2","","","","","","","","","",""
"76","16","24","38","6","40","20","30","26","32","46","4","2","","","","","","","","","",""
"77","16","24","38","6","20","40","30","26","46","32","4","2","","","","","","","","","",""
"78","16","24","38","6","20","30","40","26","46","32","","","","","","","","","","","",""
"79","16","24","38","6","30","20","40","","","","","","","","","","","","","","",""
"80","16","24","38","6","30","20","40","","","","","","","","","","","","","","",""
"81"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
