"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","28","30","8","32","42","18","6","38","46","16","10","20","22","2","26","4","24","40","44","12","50"
"2","28","30","32","8","46","6","18","26","16","42","10","20","22","38","12","2","40","44","4","24","50"
"3","28","30","46","32","8","6","18","16","10","26","42","22","20","12","38","2","40","4","44","24",""
"4","28","30","46","32","6","8","10","18","16","42","26","22","38","4","44","40","2","24","20","",""
"5","28","30","32","6","46","8","10","16","18","42","26","22","38","44","40","24","4","20","2","",""
"6","28","30","6","32","16","10","8","18","42","22","26","38","44","40","24","20","46","","","",""
"7","28","30","6","32","16","10","8","42","18","22","26","38","40","44","24","20","46","","","",""
"8","28","30","6","32","16","10","42","22","18","8","26","38","40","24","44","46","20","","","",""
"9","28","30","32","6","16","10","22","42","8","18","26","38","40","24","46","44","20","","","",""
"10","28","30","32","6","16","10","8","22","42","18","26","38","40","46","24","20","44","","","",""
"11","28","30","32","6","16","10","8","22","42","18","26","38","46","40","24","20","44","","","",""
"12","28","30","32","6","16","8","10","42","22","18","26","38","46","40","24","20","44","","","",""
"13","28","30","6","32","16","8","10","42","22","18","26","38","46","40","20","24","44","","","",""
"14","28","30","6","32","8","10","42","22","26","46","38","40","20","24","44","","","","","",""
"15","28","30","32","6","8","10","42","22","26","46","38","40","20","24","44","","","","","",""
"16","28","30","32","6","8","10","42","22","26","46","38","20","40","24","44","","","","","",""
"17","28","30","32","6","8","42","10","22","26","46","38","20","40","24","44","","","","","",""
"18","30","32","6","8","42","10","22","26","46","38","20","40","24","44","","","","","","",""
"19","30","32","6","42","8","10","22","26","46","38","20","40","24","44","","","","","","",""
"20","30","32","6","42","10","22","26","46","38","20","40","24","44","8","","","","","","",""
"21","30","32","6","42","10","22","26","46","38","20","40","24","44","8","","","","","","",""
"22","30","32","6","42","10","22","46","26","20","38","40","24","44","","","","","","","",""
"23","30","6","32","42","10","22","46","26","20","38","40","24","44","","","","","","","",""
"24","30","6","32","42","10","22","46","26","20","38","40","24","44","","","","","","","",""
"25","30","6","32","42","10","22","46","26","20","38","40","24","44","","","","","","","",""
"26","30","6","32","42","10","22","26","38","40","24","44","","","","","","","","","",""
"27","30","6","32","42","10","22","26","38","40","24","44","","","","","","","","","",""
"28","30","6","32","42","10","22","26","38","40","24","44","","","","","","","","","",""
"29","30","6","32","42","10","22","26","38","40","24","44","","","","","","","","","",""
"30","30","6","32","42","10","22","26","38","40","24","44","","","","","","","","","",""
"31","30","6","32","42","10","22","26","38","40","24","44","","","","","","","","","",""
"32","30","6","32","42","10","22","26","38","40","24","44","","","","","","","","","",""
"33","30","6","32","42","10","22","26","38","24","44","","","","","","","","","","",""
"34","30","6","32","42","10","22","26","38","24","44","","","","","","","","","","",""
"35","30","6","32","42","10","22","26","38","24","44","","","","","","","","","","",""
"36","30","6","32","42","10","22","26","38","24","44","","","","","","","","","","",""
"37","30","32","6","42","10","22","26","38","24","44","","","","","","","","","","",""
"38","30","32","6","42","10","22","26","38","24","44","","","","","","","","","","",""
"39","30","32","6","42","10","22","26","38","24","44","","","","","","","","","","",""
"40","30","32","6","42","10","22","26","38","24","44","","","","","","","","","","",""
"41","30","32","6","42","10","22","26","38","24","44","","","","","","","","","","",""
"42","30","32","6","42","10","22","26","38","24","44","","","","","","","","","","",""
"43","30","32","6","42","10","22","26","38","24","44","","","","","","","","","","",""
"44","30","32","6","42","10","22","26","38","24","44","","","","","","","","","","",""
"45","30","32","42","6","10","22","26","38","24","44","","","","","","","","","","",""
"46","30","32","42","6","10","22","26","38","24","44","","","","","","","","","","",""
"47","30","32","42","6","10","22","26","38","24","44","","","","","","","","","","",""
"48","30","32","42","6","10","22","26","38","24","44","","","","","","","","","","",""
"49","30","32","42","6","10","22","26","38","44","24","","","","","","","","","","",""
"50","30","32","42","6","10","22","26","38","44","24","","","","","","","","","","",""
"51","30","32","42","6","10","22","26","38","44","24","","","","","","","","","","",""
"52","30","32","42","6","10","22","26","38","44","24","","","","","","","","","","",""
"53","30","42","6","10","22","26","38","44","24","","","","","","","","","","","",""
"54","30","42","6","22","26","38","44","24","","","","","","","","","","","","",""
"55","30","42","6","22","26","38","44","24","","","","","","","","","","","","",""
"56","30","42","6","22","26","38","44","24","","","","","","","","","","","","",""
"57","30","42","6","22","26","38","44","","","","","","","","","","","","","",""
"58","30","42","6","22","26","38","","","","","","","","","","","","","","",""
"59","30","42","6","22","26","38","","","","","","","","","","","","","","",""
"60","30","42","6","22","26","","","","","","","","","","","","","","","",""
"61","30","42","6","22","","","","","","","","","","","","","","","","",""
"62","30","42","6","","","","","","","","","","","","","","","","","",""
"63"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
