"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1","7","11","4","14","16","15","8","5","12","9","6","3","1","10","2","18","20"
"2","11","7","4","5","1","14","12","15","8","3","16","9","18","6","2","10","20"
"3","11","7","5","4","12","1","15","14","8","3","16","9","6","18","2","10","20"
"4","11","7","5","4","12","1","15","8","3","14","16","9","6","18","2","10","20"
"5","11","7","4","5","12","1","15","8","3","16","14","9","6","18","2","10","20"
"6","11","7","4","5","12","15","1","8","3","16","6","14","18","2","10","20",""
"7","11","7","4","5","12","15","8","1","3","6","16","18","14","2","10","20",""
"8","11","7","4","5","12","15","8","1","3","16","6","18","2","14","10","20",""
"9","11","7","4","5","12","15","8","1","3","16","6","18","2","14","10","20",""
"10","11","7","4","5","15","8","1","16","3","6","18","2","10","14","20","",""
"11","11","7","4","5","15","16","1","3","6","18","2","10","14","20","","",""
"12","11","7","4","5","15","16","1","3","6","18","2","10","14","20","","",""
"13","11","7","5","4","16","3","1","6","2","10","18","14","20","","","",""
"14","11","7","5","4","16","3","6","1","2","10","14","18","20","","","",""
"15","11","7","5","4","16","3","6","1","2","10","14","18","20","","","",""
"16","11","7","5","4","16","6","3","1","2","10","14","18","20","","","",""
"17","11","7","5","4","16","6","3","1","2","10","14","18","20","","","",""
"18","11","7","4","5","16","6","3","2","1","10","14","18","20","","","",""
"19","11","4","5","16","6","3","2","1","14","18","10","7","20","","","",""
"20","11","4","5","16","6","3","2","1","14","18","10","7","20","","","",""
"21","11","4","5","16","6","3","2","1","14","18","10","7","20","","","",""
"22","11","4","5","16","6","3","2","1","14","18","7","10","20","","","",""
"23","11","4","5","16","6","3","2","1","14","18","7","10","20","","","",""
"24","11","4","5","16","6","3","2","1","14","7","18","10","20","","","",""
"25","11","4","5","16","6","3","2","1","14","7","18","10","20","","","",""
"26","11","4","5","16","6","3","2","1","14","7","18","10","20","","","",""
"27","11","4","5","16","6","3","2","1","14","7","18","10","20","","","",""
"28","11","4","5","16","6","3","2","1","14","7","18","10","20","","","",""
"29","11","4","5","16","6","3","2","1","14","7","18","10","20","","","",""
"30","11","4","5","6","16","2","3","1","14","7","18","10","20","","","",""
"31","11","4","5","6","16","2","3","1","14","7","10","18","20","","","",""
"32","11","4","5","16","6","2","3","1","14","7","10","18","20","","","",""
"33","11","4","5","16","6","2","3","1","7","14","10","18","20","","","",""
"34","11","4","5","16","6","2","3","1","7","14","10","18","20","","","",""
"35","11","4","5","16","6","2","3","1","7","14","10","18","20","","","",""
"36","11","4","5","16","6","2","3","1","7","14","10","18","20","","","",""
"37","11","4","5","16","6","2","3","1","7","14","10","18","20","","","",""
"38","11","4","5","16","6","2","3","1","7","14","10","18","20","","","",""
"39","11","4","5","16","6","2","3","1","7","14","10","18","20","","","",""
"40","11","4","5","16","6","2","3","1","7","14","18","10","20","","","",""
"41","11","4","5","16","6","2","3","1","7","14","10","20","","","","",""
"42","11","4","5","16","6","2","3","7","1","14","10","20","","","","",""
"43","11","4","5","16","6","2","3","7","14","1","10","20","","","","",""
"44","11","4","5","16","2","3","7","14","1","10","20","","","","","",""
"45","11","4","5","16","2","3","7","14","1","10","20","","","","","",""
"46","11","4","5","16","2","3","7","14","1","10","20","","","","","",""
"47","11","4","5","16","2","3","7","14","1","10","20","","","","","",""
"48","11","4","5","16","2","3","7","14","1","10","20","","","","","",""
"49","11","4","5","16","2","3","7","14","1","10","20","","","","","",""
"50","11","4","5","16","2","3","7","14","1","10","20","","","","","",""
"51","11","4","5","16","2","3","7","14","1","10","20","","","","","",""
"52","11","4","5","16","2","7","3","14","10","20","1","","","","","",""
"53","11","4","5","16","2","7","3","14","10","20","1","","","","","",""
"54","11","4","5","16","2","7","3","14","10","20","1","","","","","",""
"55","11","4","5","16","2","7","3","14","10","20","1","","","","","",""
"56","11","4","5","16","2","7","3","10","20","1","","","","","","",""
"57","11","4","5","16","7","2","3","10","20","","","","","","","",""
"58","11","4","5","16","7","2","3","10","20","","","","","","","",""
"59","11","4","5","16","7","2","3","10","20","","","","","","","",""
"60","11","4","16","7","2","3","10","20","","","","","","","","",""
"61","11","4","16","7","2","3","10","20","","","","","","","","",""
"62","11","4","16","7","2","3","10","20","","","","","","","","",""
"63","11","4","16","7","2","3","10","20","","","","","","","","",""
"64","11","4","16","7","2","3","10","20","","","","","","","","",""
"65","11","4","16","7","2","3","10","20","","","","","","","","",""
"66","11","4","16","7","2","3","10","20","","","","","","","","",""
"67","11","4","16","7","2","3","10","20","","","","","","","","",""
"68","11","4","16","7","2","3","10","20","","","","","","","","",""
"69","11","4","16","7","2","3","10","20","","","","","","","","",""
"70","11","4","16","7","2","3","10","20","","","","","","","","",""
"71","11","4","16","7","2","3","10","","","","","","","","","",""
"72","11","4","16","7","2","3","","","","","","","","","","",""
"73","11","4","16","7","2","3","","","","","","","","","","",""
"74","11","4","16","7","2","3","","","","","","","","","","",""
"75","11","4","16","7","2","3","","","","","","","","","","",""
"76"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
