"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","18","24","2","12","22","4","16","14","28","26","30","6","20","8","32"
"2","24","2","12","18","16","22","26","4","20","6","14","30","32","8","28"
"3","24","12","18","26","22","20","4","2","6","14","30","32","8","16","28"
"4","24","18","12","26","22","20","4","2","6","14","30","8","32","28","16"
"5","24","12","18","26","20","22","4","2","6","14","30","8","32","28","16"
"6","24","18","12","26","22","2","4","20","6","14","30","8","32","28","16"
"7","24","18","12","26","22","2","4","6","14","20","30","8","32","28","16"
"8","24","18","12","26","22","2","4","6","14","30","8","32","28","16",""
"9","24","18","12","26","2","22","4","6","14","30","8","32","28","16",""
"10","24","18","12","26","2","4","6","14","8","30","32","28","16","",""
"11","24","18","12","26","2","4","6","14","8","30","32","28","16","",""
"12","18","12","26","2","24","4","6","14","8","30","32","28","16","",""
"13","18","12","26","2","24","4","6","14","8","30","32","28","16","",""
"14","18","12","26","2","4","24","6","14","8","30","32","28","16","",""
"15","18","12","26","2","4","24","6","14","8","30","28","32","16","",""
"16","18","12","26","2","4","24","6","14","8","30","28","32","16","",""
"17","18","12","26","2","4","24","6","14","8","28","30","32","16","",""
"18","18","12","26","2","4","6","24","14","8","28","30","32","16","",""
"19","18","12","26","2","4","6","24","14","8","28","30","32","16","",""
"20","18","12","26","2","4","6","24","14","28","8","30","32","16","",""
"21","18","26","2","4","12","6","24","14","28","8","30","32","16","",""
"22","18","26","2","4","6","24","14","28","12","8","30","32","16","",""
"23","18","26","2","4","6","24","14","28","12","8","32","16","","",""
"24","18","26","2","4","6","24","14","28","12","8","32","16","","",""
"25","18","26","2","4","6","24","14","28","12","8","32","16","","",""
"26","18","2","26","4","6","14","28","12","8","32","24","16","","",""
"27","18","26","2","4","6","14","28","8","12","32","16","","","",""
"28","18","26","2","4","6","14","28","8","12","32","16","","","",""
"29","18","26","2","4","6","14","28","8","12","32","16","","","",""
"30","18","2","4","6","14","28","8","12","32","26","16","","","",""
"31","18","2","4","14","28","6","12","32","8","16","26","","","",""
"32","18","2","4","14","28","12","6","32","8","16","","","","",""
"33","18","2","4","14","28","12","6","32","16","8","","","","",""
"34","18","2","4","14","28","12","6","32","16","8","","","","",""
"35","18","2","4","14","28","12","6","32","16","8","","","","",""
"36","18","2","4","14","28","12","6","32","16","8","","","","",""
"37","2","18","4","14","28","12","32","6","16","8","","","","",""
"38","2","4","14","28","12","6","32","16","8","","","","","",""
"39","2","4","14","28","12","6","16","8","","","","","","",""
"40","2","4","14","28","12","6","16","8","","","","","","",""
"41","2","4","14","28","12","6","16","8","","","","","","",""
"42","2","4","14","28","12","6","16","8","","","","","","",""
"43","2","4","14","28","12","6","16","8","","","","","","",""
"44","2","4","14","28","12","6","16","8","","","","","","",""
"45","2","4","14","28","12","6","16","8","","","","","","",""
"46","2","4","14","28","12","6","16","8","","","","","","",""
"47","2","4","14","28","12","6","16","8","","","","","","",""
"48","2","4","14","28","12","6","16","","","","","","","",""
"49","2","4","14","28","12","6","16","","","","","","","",""
"50","2","4","14","28","12","6","","","","","","","","",""
"51","2","4","14","28","12","","","","","","","","","",""
"52","2","4","14","28","12","","","","","","","","","",""
"53","2","4","14","28","","","","","","","","","","",""
"54","2","4","14","28","","","","","","","","","","",""
"55","2","4","14","28","","","","","","","","","","",""
"56"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
