"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","8","10","12","2","6","16","4","14","18","22","20","26","30","24"
"2","10","8","2","12","4","6","16","14","22","20","24","18","26","30"
"3","10","8","12","2","4","6","16","14","22","20","24","18","26","30"
"4","10","8","12","2","6","16","14","4","22","20","24","26","30",""
"5","10","8","12","2","6","16","14","4","22","20","24","26","30",""
"6","10","8","12","2","6","16","14","4","22","20","24","26","30",""
"7","10","8","12","2","6","16","14","4","22","20","24","26","30",""
"8","8","10","12","2","6","16","14","4","20","22","24","26","30",""
"9","8","10","12","6","2","16","14","4","20","22","24","26","30",""
"10","8","10","12","6","2","16","14","4","20","22","24","26","30",""
"11","8","10","12","6","2","16","14","4","20","22","24","26","30",""
"12","8","12","6","10","2","16","14","4","20","22","24","26","30",""
"13","12","6","8","10","2","16","14","4","22","24","26","30","20",""
"14","6","8","10","12","2","16","14","4","22","24","26","30","20",""
"15","6","8","10","12","2","16","14","4","22","24","26","30","20",""
"16","6","8","10","12","2","16","14","4","22","24","26","30","20",""
"17","6","8","10","12","2","14","4","22","24","26","30","20","",""
"18","6","8","10","12","14","4","2","22","24","26","30","20","",""
"19","8","10","6","12","14","4","2","22","24","26","30","20","",""
"20","8","10","6","12","14","4","2","22","24","26","30","20","",""
"21","10","8","6","12","14","4","2","22","24","26","30","20","",""
"22","10","8","12","14","4","2","22","24","26","30","20","","",""
"23","10","8","12","14","4","2","22","24","26","30","20","","",""
"24","10","8","12","14","4","2","22","24","26","30","","","",""
"25","10","8","12","14","4","2","22","24","26","30","","","",""
"26","10","8","12","14","4","2","22","24","26","30","","","",""
"27","10","8","12","14","4","2","22","24","26","30","","","",""
"28","10","8","12","14","4","2","22","24","26","30","","","",""
"29","10","8","12","14","4","2","22","24","26","30","","","",""
"30","10","8","12","14","4","2","22","24","26","30","","","",""
"31","10","8","12","14","4","2","22","24","26","","","","",""
"32","10","8","12","14","4","2","22","24","","","","","",""
"33","10","8","12","14","4","2","22","24","","","","","",""
"34","10","8","12","14","4","2","22","","","","","","",""
"35","10","12","8","14","4","","","","","","","","",""
"36"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
