"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","30","10","14","2","20","12","22","6","40","4","26","28","24","4"
"2","10","14","30","12","2","20","6","4","40","22","24","26","28",""
"3","10","14","30","2","12","20","6","4","22","40","24","26","28",""
"4","10","14","30","2","12","20","6","22","40","24","26","28","4",""
"5","10","14","30","2","6","12","22","40","24","26","28","4","",""
"6","10","14","30","2","6","12","22","40","24","26","28","4","",""
"7","10","14","30","2","6","12","22","40","24","26","28","4","",""
"8","10","14","30","2","6","12","22","40","24","26","28","4","",""
"9","10","14","30","2","22","12","6","40","24","28","26","4","",""
"10","10","14","30","2","22","12","6","24","28","26","4","","",""
"11","10","14","30","2","22","12","6","24","28","26","4","","",""
"12","10","14","30","2","12","22","6","24","28","26","4","","",""
"13","10","14","30","2","12","22","6","24","28","26","4","","",""
"14","10","14","30","2","22","12","6","24","4","26","28","","",""
"15","10","14","30","2","22","12","6","24","4","26","28","","",""
"16","10","14","30","2","22","12","6","24","4","26","28","","",""
"17","10","14","30","2","22","12","6","24","4","26","28","","",""
"18","10","14","2","12","22","6","24","4","26","28","","","",""
"19","10","14","2","22","12","6","24","4","26","28","","","",""
"20","10","14","2","12","22","6","24","4","26","28","","","",""
"21","10","14","2","12","6","22","24","4","26","28","","","",""
"22","10","14","2","12","6","24","22","4","26","28","","","",""
"23","10","14","2","6","24","22","4","26","28","","","","",""
"24","10","14","2","6","24","22","4","26","28","","","","",""
"25","10","14","2","6","24","22","4","26","28","","","","",""
"26","10","14","2","6","24","22","4","26","28","","","","",""
"27","10","14","2","6","24","22","4","26","28","","","","",""
"28","10","14","2","6","24","22","4","26","28","","","","",""
"29","10","14","2","6","24","22","4","26","28","","","","",""
"30","10","14","2","6","24","22","4","26","28","","","","",""
"31","10","14","2","6","24","22","4","26","28","","","","",""
"32","10","14","2","6","24","4","22","26","28","","","","",""
"33","10","14","2","6","24","4","22","26","28","","","","",""
"34","10","14","2","6","24","4","22","26","28","","","","",""
"35","10","14","2","6","24","4","22","","","","","","",""
"36","10","14","2","6","24","4","","","","","","","",""
"37"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
