"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1","18","16","20","4","2","36","28","10","14","30","32","12","42","6","8","34","44","22","26","40","38","24"
"2","18","16","14","20","4","6","28","12","32","36","26","38","34","8","42","30","22","40","24","","",""
"3","18","16","14","20","4","28","6","32","36","30","12","38","34","42","8","22","26","40","24","","",""
"4","18","16","14","20","4","28","6","32","36","30","38","12","42","26","8","22","34","40","24","","",""
"5","18","16","14","20","4","28","6","30","32","36","38","12","42","8","34","26","22","40","24","","",""
"6","18","16","20","14","4","6","28","30","36","32","38","12","8","26","42","22","40","24","34","","",""
"7","18","16","20","14","4","28","30","6","36","32","38","12","8","42","26","22","40","34","24","","",""
"8","18","16","20","14","4","30","28","6","36","38","12","8","22","26","42","40","34","32","24","","",""
"9","16","18","20","14","4","30","28","6","36","38","12","8","22","26","40","34","32","","","","",""
"10","18","16","20","14","4","30","28","6","36","38","12","8","22","26","40","34","32","","","","",""
"11","18","16","20","14","4","30","28","6","36","12","38","22","26","40","8","34","32","","","","",""
"12","18","16","20","14","4","30","28","36","6","38","12","22","26","40","8","34","32","","","","",""
"13","18","16","20","14","4","30","28","36","6","38","12","22","26","40","34","8","32","","","","",""
"14","18","16","20","14","4","30","28","36","6","38","12","22","26","40","34","8","32","","","","",""
"15","18","16","20","14","4","30","28","36","6","38","12","22","26","40","34","8","32","","","","",""
"16","18","16","20","14","4","30","28","36","6","38","12","22","26","40","34","8","32","","","","",""
"17","18","16","20","14","4","30","28","36","6","38","12","22","26","40","34","8","32","","","","",""
"18","18","16","20","14","30","4","28","36","6","38","12","22","26","40","34","8","32","","","","",""
"19","18","16","20","14","30","4","36","6","38","12","22","26","28","34","40","8","32","","","","",""
"20","18","20","14","30","4","36","6","16","38","12","22","26","28","34","40","8","32","","","","",""
"21","18","20","14","30","4","36","6","16","38","12","22","26","28","34","40","8","32","","","","",""
"22","18","20","14","30","4","36","6","16","38","12","22","26","28","34","40","32","8","","","","",""
"23","18","20","14","30","4","36","6","16","38","12","22","26","28","34","40","32","8","","","","",""
"24","18","20","14","30","4","36","16","6","38","12","22","26","28","34","40","8","","","","","",""
"25","18","20","14","30","4","36","16","6","38","12","26","28","34","40","8","","","","","","",""
"26","18","20","14","30","4","36","16","6","12","26","28","34","38","40","8","","","","","","",""
"27","18","20","14","30","4","36","16","6","12","26","28","34","38","40","8","","","","","","",""
"28","18","20","14","30","4","36","16","6","12","28","34","38","40","8","","","","","","","",""
"29","18","20","14","30","4","36","6","12","28","34","38","40","8","","","","","","","","",""
"30","18","14","20","4","36","30","6","12","28","34","38","40","8","","","","","","","","",""
"31","18","20","14","4","36","30","6","12","28","34","38","8","40","","","","","","","","",""
"32","18","20","14","4","36","6","30","12","28","34","38","8","40","","","","","","","","",""
"33","18","20","14","4","36","6","12","28","34","8","40","","","","","","","","","","",""
"34","18","14","4","36","6","12","28","34","8","40","","","","","","","","","","","",""
"35","18","14","4","36","6","12","28","34","8","40","","","","","","","","","","","",""
"36","18","14","4","36","6","12","28","34","8","40","","","","","","","","","","","",""
"37","18","14","4","36","6","12","28","34","8","40","","","","","","","","","","","",""
"38","18","14","4","36","12","28","34","6","8","40","","","","","","","","","","","",""
"39","18","14","4","36","12","34","28","6","8","40","","","","","","","","","","","",""
"40","18","14","4","36","12","34","28","8","40","","","","","","","","","","","","",""
"41","18","14","4","36","12","34","28","8","40","","","","","","","","","","","","",""
"42","18","14","4","36","34","12","28","8","40","","","","","","","","","","","","",""
"43","18","14","4","36","34","12","28","8","40","","","","","","","","","","","","",""
"44","18","14","4","36","34","12","28","8","40","","","","","","","","","","","","",""
"45","18","14","4","36","34","12","28","8","40","","","","","","","","","","","","",""
"46","18","14","4","36","34","12","28","8","40","","","","","","","","","","","","",""
"47","18","14","4","36","34","12","28","8","40","","","","","","","","","","","","",""
"48","18","14","4","36","34","12","28","8","","","","","","","","","","","","","",""
"49","18","14","4","36","34","12","28","","","","","","","","","","","","","","",""
"50","18","14","4","36","34","12","","","","","","","","","","","","","","","",""
"51"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
