"","#","Driver","Nat","Team","Car","Engine","NA","NA","NA","NA","NA","NA","gp_name","year"
"1","1","Sam Hanks","USA","Ed Walsh","Kurtis Kraft 4000","Offenhauser","1","Jimmy Davies","USA","Ed Walsh","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1954
"2","1","Jim Rathmann","USA","Ed Walsh","Kurtis Kraft 4000","Offenhauser","2","Jack McGrath","USA","Jack B Hinkle","Kurtis Kraft 500C","Offenhauser","indianapolis-500",1954
"3","5","Paul Russo","USA","Hoosier Racing Team","Kurtis Kraft 500A","Offenhauser","5","Jerry Hoyt","USA","Hoosier Racing Team","Kurtis Kraft 500A","Offenhauser","indianapolis-500",1954
"4","7","Don Freeland","USA","Bob Estes","Phillips","Offenhauser","9","Jimmy Bryan","USA","A E Dean","Kuzma","Offenhauser","indianapolis-500",1954
"5","10","Tony Bettenhausen","USA","Mel B Wiggers","Kurtis Kraft 500C","Offenhauser","12","Rodger Ward","USA","R N Sabourin","Pawl","Offenhauser","indianapolis-500",1954
"6","12","Eddie Johnson","USA","R N Sabourin","Pawl","Offenhauser","14","Bill Vukovich","USA","Howard Keck Co","Kurtis Kraft 500A","Offenhauser","indianapolis-500",1954
"7","15","Johnnie Parsons","USA","South California Muffler Co","Kurtis Kraft 500C","Offenhauser","16","Duane Carter","USA","Eugene A Casaroll","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1954
"8","16","Marshall Teague","USA","Eugene A Casaroll","Kurtis Kraft 4000","Offenhauser","16","James Jimmy Jackson","USA","Eugene A Casaroll","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1954
"9","16","Tony Bettenhausen","USA","Eugene A Casaroll","Kurtis Kraft 4000","Offenhauser","17","Bob Sweikert","USA","Francis Bardazon","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1954
"10","19","Jimmy Daywalt","USA","Chapman S Root","Kurtis Kraft 500C","Offenhauser","24","Cal Niday","USA","Jim Robbins","Stevens","Offenhauser","indianapolis-500",1954
