"","#","Driver","Nat","Team","Car","Engine","NA","NA","NA","NA","NA","NA","gp_name","year"
"11","25","Jimmy Reece","USA","Emmett J Malloy","Pankratz","Offenhauser","27","Ed Elisian","USA","H A Chapman","Stevens","Offenhauser","indianapolis-500",1954
"12","27","Bob Scott","USA","H A Chapman","Stevens","Offenhauser","28","Larry Crockett","USA","Federal Auto Associates","Kurtis Kraft 3000","Offenhauser","indianapolis-500",1954
"13","31","Gene Hartley","USA","John Zink","Kurtis Kraft 4000","Offenhauser","31","Marshall Teague","USA","John Zink","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1954
"14","32","Ernie McCoy","USA","Ray Crawford","Kurtis Kraft 500B","Offenhauser","33","Len Duncan","USA","Ray T Brady","Schroeder","Offenhauser","indianapolis-500",1954
"15","33","George Fonder","USA","Ray T Brady","Schroeder","Offenhauser","34","Troy Ruttman","USA","Eugene A Casaroll","Kurtis Kraft 500A","Offenhauser","indianapolis-500",1954
"16","34","Duane Carter","USA","Eugene A Casaroll","Kurtis Kraft 500A","Offenhauser","35","Pat O'Connor","USA","Motor Racers Inc","Kurtis Kraft 500C","Offenhauser","indianapolis-500",1954
"17","38","Jim Rathmann","USA","Ed Walsh","Kurtis Kraft 500C","Offenhauser","38","Pat Flaherty","USA","Ed Walsh","Kurtis Kraft 500C","Offenhauser","indianapolis-500",1954
"18","43","Johnny Thomson","USA","H A Chapman","Nichels","Offenhauser","43","Andy Linden","USA","H A Chapman","Nichels","Offenhauser","indianapolis-500",1954
"19","43","Bill Homeier","USA","H A Chapman","Nichels","Offenhauser","45","Art Cross","USA","Ed Walsh","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1954
"20","45","Johnnie Parsons","USA","Ed Walsh","Kurtis Kraft 4000","Offenhauser","45","Sam Hanks","USA","Ed Walsh","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1954
"21","45","Andy Linden","USA","Ed Walsh","Kurtis Kraft 4000","Offenhauser","45","Jimmy Davies","USA","Ed Walsh","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1954
"22","51","Bill Homeier","USA","Cars Inc","Kurtis Kraft 500C","Offenhauser","65","Spider Webb","USA","Bruce Bromme","Bromme","Offenhauser","indianapolis-500",1954
"23","65","Danny Kladis","USA","Bruce Bromme","Bromme","Offenhauser","71","Frank Armi","USA","T W & W T Martin","Kurtis Kraft","Offenhauser","indianapolis-500",1954
"24","71","George Fonder","USA","T W & W T Martin","Kurtis Kraft","Offenhauser","73","Mike Nazaruk","USA","Lee Elkins","Kurtis Kraft 500C","Offenhauser","indianapolis-500",1954
"25","74","Andy Linden","USA","Brown Motor Co","Schroeder","Offenhauser","74","Bob Scott","USA","Brown Motor Co","Schroeder","Offenhauser","indianapolis-500",1954
"26","77","Fred Agabashian","USA","Miklos Sperling","Kurtis Kraft 500C","Offenhauser","88","Manny Ayulo","USA","Peter Schmidt","Kuzma","Offenhauser","indianapolis-500",1954
"27","98","Chuck Stevenson","USA","J C Agajanian","Kuzma","Offenhauser","98","Walt Faulkner","USA","J C Agajanian","Kuzma","Offenhauser","indianapolis-500",1954
"28","99","Jerry Hoyt","USA","Murrell Belanger","Kurtis Kraft","Offenhauser","1","Sam Hanks","USA","Ed Walsh","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1954
"29","1","Juan Manuel Fangio","Argentina","Daimler Benz AG","Mercedes W196","Mercedes M196","2","Karl Kling","Germany","Daimler Benz AG","Mercedes W196","Mercedes M196","british-grand-prix",1954
"30","3","Harry Schell","USA","Harry Schell","Maserati A6GCM","Maserati 250F","5","Roy Salvadori","Great Britain","Gilby Engineering","Maserati 250F","Maserati 250F","british-grand-prix",1954
"31","6","Ron Flockhart","Great Britain","Prince Bira","Maserati 250F","Maserati 250F","9","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","Ferrari 625","Ferrari 2.5 L4","british-grand-prix",1954
"32","10","Maurice Trintignant","France","Scuderia Ferrari","Ferrari 625","Ferrari 2.5 L4","11","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 625","Ferrari 2.5 L4","british-grand-prix",1954
"33","12","Reg Parnell","Great Britain","Scuderia Ambrosiana","Ferrari 500","Ferrari 2.5 L4","14","Robert Manzon","France","Ecurie Rosier","Ferrari 625","Ferrari 625","british-grand-prix",1954
"34","15","Louis Rosier","France","Ecurie Rosier","Ferrari 500","Ferrari 500","16","Stirling Moss","Great Britain","A E Moss","Maserati 250F","Maserati 250F","british-grand-prix",1954
"35","17","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 23","18","Clemar Bucci","Argentina","Equipe Gordini","Gordini T16","Gordini 23","british-grand-prix",1954
"36","19","Andre Pilette","Belgium","Equipe Gordini","Gordini T16","Gordini 23","20","Peter Collins","Great Britain","G A Vandervell","","Vanwall 2.3 L4","british-grand-prix",1954
"37","21","Peter Whitehead","Great Britain","Peter Whitehead","Cooper T24","Alta","22","Bill Whitehouse","Great Britain","W J Whitehouse","Connaught A","Francis","british-grand-prix",1954
"38","23","Leslie Marr","Great Britain","L Marr","Connaught A","Francis","23","Onofre Marimon","Argentina","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","british-grand-prix",1954
"39","24","Roberto Mieres","Argentina","Roberto Mieres","Maserati A6GCM","Maserati 250F","24","John Riseley-Prichard","Great Britain","R R C Walker Racing Team","Connaught A","Francis","british-grand-prix",1954
"40","25","Don Beauman","Great Britain","Sir Jeremy Boles","Connaught A","Francis","26","Leslie Thorne","Great Britain","Ecurie Ecosse","Connaught A","Francis","british-grand-prix",1954
"41","27","Alan Brown","Great Britain","R J Chase","Cooper T23","Bristol 401","28","Horace Gould","Great Britain","Goulds Garage","Cooper T23","Bristol 401","british-grand-prix",1954
"42","29","Bob Gerard","Great Britain","F R Gerard","Cooper T23","Bristol 401","30","Rodney Nuckey","Great Britain","Ecurie Richmond","Cooper T23","Bristol 401","british-grand-prix",1954
"43","30","Eric Brandon","Great Britain","Ecurie Richmond","Cooper T23","Bristol 401","32","Alberto Ascari","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","british-grand-prix",1954
"44","32","Luigi Villoresi","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","46","Prince Bira","Thailand","Prince Bira","Maserati 250F","Maserati 250F","british-grand-prix",1954
"45","2","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","Ferrari 553","Ferrari 553","4","Maurice Trintignant","France","Scuderia Ferrari","Ferrari 625","Ferrari 625","french-grand-prix",1954
"46","6","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 553","Ferrari 553","10","Alberto Ascari","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","french-grand-prix",1954
"47","12","Onofre Marimon","Argentina","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","14","Luigi Villoresi","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","french-grand-prix",1954
"48","16","Roberto Mieres","Argentina","Roberto Mieres","Maserati A6GCM","Maserati 250F","18","Juan Manuel Fangio","Argentina","Daimler Benz AG","Mercedes W196","Mercedes M196","french-grand-prix",1954
"49","20","Karl Kling","Germany","Daimler Benz AG","Mercedes W196","Mercedes M196","22","Hans Herrmann","Germany","Daimler Benz AG","Mercedes W196","Mercedes M196","french-grand-prix",1954
"50","24","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 23","26","Jacques Pollet","France","Equipe Gordini","Gordini T16","Gordini 23","french-grand-prix",1954
"51","28","Paul Frere","Belgium","Equipe Gordini","Gordini T16","Gordini 23","30","Georges Berger","Belgium","Georges Berger","Gordini T16","Gordini 23","french-grand-prix",1954
"52","32","Lance Macklin","Great Britain","HW Motors","HWM","Alta","34","Robert Manzon","France","Ecurie Rosier","Ferrari 625","Ferrari 625","french-grand-prix",1954
"53","36","Louis Rosier","France","Ecurie Rosier","Ferrari 500","Ferrari 625","40","Sergio Mantovani","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","french-grand-prix",1954
"54","42","Ken Wharton","Great Britain","Owen Racing Organisation","Maserati 250F","Maserati 250F","44","Roy Salvadori","Great Britain","Gilby Engineering","Maserati 250F","Maserati 250F","french-grand-prix",1954
"55","46","Prince Bira","Thailand","Prince Bira","Maserati 250F","Maserati 250F","48","Harry Schell","USA","Harry Schell","Maserati A6GCM","Maserati 250F","french-grand-prix",1954
"56","2","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","4","Onofre Marimon","Argentina","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","argentine-grand-prix",1954
"57","6","Luigi Musso","Italy","Officine Alfieri Maserati","Maserati A6GCM","Maserati 250F","8","Prince Bira","Thailand","Officine Alfieri Maserati","Maserati A6GCM","Maserati 250F","argentine-grand-prix",1954
"58","10","Nino Farina","Italy","Scuderia Ferrari","Ferrari 625","Ferrari 625","12","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","Ferrari 625","Ferrari 625","argentine-grand-prix",1954
"59","14","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 625","Ferrari 625","16","Umberto Maglioli","Italy","Scuderia Ferrari","Ferrari 625","Ferrari 625","argentine-grand-prix",1954
"60","18","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 23","20","Elie Bayol","France","Equipe Gordini","Gordini T16","Gordini 23","argentine-grand-prix",1954
"61","22","Roger Loyer","France","Equipe Gordini","Gordini T16","Gordini 23","24","Louis Rosier","France","Ecurie Rosier","Ferrari 500","Ferrari 625","argentine-grand-prix",1954
"62","26","Maurice Trintignant","France","Ecurie Rosier","Ferrari 625","Ferrari 625","28","Harry Schell","USA","Harry Schell","Maserati A6GCM","Maserati 250F","argentine-grand-prix",1954
"63","30","Emmanuel de Graffenried","Switzerland","Emmanuel de Graffenried","Maserati A6GCM","Maserati 250F","32","Roberto Mieres","Argentina","Roberto Mieres","Maserati A6GCM","Maserati 250F","argentine-grand-prix",1954
"64","34","Jorge Daponte","Argentina","Jorge Daponte","Maserati A6GCM","Maserati 250F","36","Carlos Menditeguy","Argentina","Onofre Marimon","Maserati A6GCM","Maserati 250F","argentine-grand-prix",1954
"65","2","Juan Manuel Fangio","Argentina","Daimler Benz AG","Mercedes W196","Mercedes M196","4","Karl Kling","Germany","Daimler Benz AG","Mercedes W196","Mercedes M196","spanish-grand-prix",1954
"66","6","Hans Herrmann","Germany","Daimler Benz AG","Mercedes W196","Mercedes M196","8","Stirling Moss","Great Britain","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","spanish-grand-prix",1954
"67","10","Roberto Mieres","Argentina","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","12","Sergio Mantovani","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","spanish-grand-prix",1954
"68","14","Luigi Musso","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","16","Paco Godia","Spain","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","spanish-grand-prix",1954
"69","18","Prince Bira","Thailand","Prince Bira","Maserati 250F","Maserati 250F","20","Robert Manzon","France","Ecurie Rosier","Ferrari 625","Ferrari 625","spanish-grand-prix",1954
"70","22","Emmanuel de Graffenried","Switzerland","Emmanuel de Graffenried","Maserati A6GCM","Maserati 250F","22","Ottorino Volonterio","Switzerland","Emmanuel de Graffenried","Maserati A6GCM","Maserati 250F","spanish-grand-prix",1954
"71","24","Harry Schell","USA","Harry Schell","Maserati 250F","Maserati 250F","26","Louis Rosier","France","Ecurie Rosier","Maserati 250F","Maserati 250F","spanish-grand-prix",1954
"72","28","Ken Wharton","Great Britain","Owen Racing Organisation","Maserati 250F","Maserati 250F","30","Jacques Swaters","Belgium","Ecurie Francorchamps","Ferrari 500","Ferrari 625","spanish-grand-prix",1954
"73","34","Alberto Ascari","Italy","Scuderia Lancia","Lancia D50","Lancia DS50","36","Luigi Villoresi","Italy","Scuderia Lancia","Lancia D50","Lancia DS50","spanish-grand-prix",1954
"74","38","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 553","Ferrari 553","40","Maurice Trintignant","France","Scuderia Ferrari","Ferrari 553","Ferrari 553","spanish-grand-prix",1954
"75","42","Peter Collins","Great Britain","Vandervell Products Ltd","Vanwall Special","Vanwall 2.3 L4","46","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 23","spanish-grand-prix",1954
"76","48","Jacques Pollet","France","Equipe Gordini","Gordini T16","Gordini 23","2","Juan Manuel Fangio","Argentina","Daimler Benz AG","Mercedes W196","Mercedes M196","spanish-grand-prix",1954
"77","2","Jacques Swaters","Belgium","Ecurie Francorchamps","Ferrari 500","Ferrari 625","4","Nino Farina","Italy","Scuderia Ferrari","Ferrari 553","Ferrari 553","belgian-grand-prix",1954
"78","6","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","Ferrari 553","Ferrari 553","8","Maurice Trintignant","France","Scuderia Ferrari","Ferrari 625","Ferrari 625","belgian-grand-prix",1954
"79","10","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 625","Ferrari 625","10","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","Ferrari 625","Ferrari 625","belgian-grand-prix",1954
"80","12","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 23","16","Paul Frere","Belgium","Equipe Gordini","Gordini T16","Gordini 23","belgian-grand-prix",1954
"81","18","Andre Pilette","Belgium","Equipe Gordini","Gordini T16","Gordini 23","20","Prince Bira","Thailand","Prince Bira","Maserati 250F","Maserati 250F","belgian-grand-prix",1954
"82","22","Stirling Moss","Great Britain","Equipe Moss","Maserati 250F","Maserati 250F","24","Roberto Mieres","Argentina","Roberto Mieres","Maserati A6GCM","Maserati 250F","belgian-grand-prix",1954
"83","26","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","28","Onofre Marimon","Argentina","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","belgian-grand-prix",1954
"84","30","Sergio Mantovani","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","2","Jacques Swaters","Belgium","Ecurie Francorchamps","Ferrari 500","Ferrari 625","belgian-grand-prix",1954
"85","1","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","Ferrari 625","Ferrari 625H","1","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 625","Ferrari 625H","german-grand-prix",1954
"86","2","Maurice Trintignant","France","Scuderia Ferrari","Ferrari 625","Ferrari 625H","3","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 625","Ferrari 625H","german-grand-prix",1954
"87","4","Piero Taruffi","Italy","Scuderia Ferrari","Ferrari 625","Ferrari 625H","5","Luigi Villoresi","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","german-grand-prix",1954
"88","6","Onofre Marimon","Argentina","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","7","Sergio Mantovani","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","german-grand-prix",1954
"89","8","Roberto Mieres","Argentina","Roberto Mieres","Maserati 250F","Maserati 250F","9","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 23","german-grand-prix",1954
"90","10","Paul Frere","Belgium","Equipe Gordini","Gordini T16","Gordini 23","11","Clemar Bucci","Argentina","Equipe Gordini","Gordini T16","Gordini 23","german-grand-prix",1954
"91","12","Andre Pilette","Belgium","Equipe Gordini","Gordini T16","Gordini 23","14","Prince Bira","Thailand","Prince Bira","Maserati 250F","Maserati 250F","german-grand-prix",1954
"92","15","Harry Schell","USA","Harry Schell","Maserati A6GCM","Maserati 250F","16","Stirling Moss","Great Britain","A E Moss","Maserati 250F","Maserati 250F","german-grand-prix",1954
"93","17","Ken Wharton","Great Britain","Owen Racing Organisation","Maserati 250F","Maserati 250F","18","Juan Manuel Fangio","Argentina","Daimler Benz AG","Mercedes W196","Mercedes M196","german-grand-prix",1954
"94","19","Karl Kling","Germany","Daimler Benz AG","Mercedes W196","Mercedes M196","20","Hans Herrmann","Germany","Daimler Benz AG","Mercedes W196","Mercedes M196","german-grand-prix",1954
"95","21","Hermann Lang","Germany","Daimler Benz AG","Mercedes W196","Mercedes M196","22","Theo Helfrich","Germany","Hans Klenk","Klenk-Meteor","BMW 328","german-grand-prix",1954
"96","24","Robert Manzon","France","Ecurie Rosier","Ferrari 625","Ferrari 625","25","Louis Rosier","France","Ecurie Rosier","Ferrari 500","Ferrari 625","german-grand-prix",1954
"97","2","Jacques Swaters","Belgium","Ecurie Francorchamps","Ferrari 500","Ferrari 625","4","Juan Manuel Fangio","Argentina","Daimler Benz AG","Mercedes W196","Mercedes M196","swiss-grand-prix",1954
"98","6","Hans Herrmann","Germany","Daimler Benz AG","Mercedes W196","Mercedes M196","8","Karl Kling","Germany","Daimler Benz AG","Mercedes W196","Mercedes M196","swiss-grand-prix",1954
"99","10","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 23","12","Clemar Bucci","Argentina","Equipe Gordini","Gordini T16","Gordini 23","swiss-grand-prix",1954
"100","14","Fred Wacker","USA","Equipe Gordini","Gordini T16","Gordini 23","18","Ken Wharton","Great Britain","Owen Racing Organisation","Maserati 250F","Maserati 250F","swiss-grand-prix",1954
"101","20","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","Ferrari 625","Ferrari 625H","22","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 625","Ferrari 625H","swiss-grand-prix",1954
"102","24","Umberto Maglioli","Italy","Scuderia Ferrari","Ferrari 553","Ferrari 553","24","Robert Manzon","France","Scuderia Ferrari","Ferrari 553","Ferrari 553","swiss-grand-prix",1954
"103","26","Maurice Trintignant","France","Scuderia Ferrari","Ferrari 625","Ferrari 625H","28","Sergio Mantovani","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","swiss-grand-prix",1954
"104","30","Roberto Mieres","Argentina","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","32","Stirling Moss","Great Britain","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","swiss-grand-prix",1954
"105","34","Harry Schell","USA","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","2","Jacques Swaters","Belgium","Ecurie Francorchamps","Ferrari 500","Ferrari 625","swiss-grand-prix",1954
"106","2","Giovanni de Riu","Italy","Giovanni de Riu","Maserati A6GCM","Maserati 250F","6","Robert Manzon","France","Ecurie Rosier","Ferrari 625","Ferrari 625H","italian-grand-prix",1954
"107","8","Jorge Daponte","Argentina","Jorge Daponte","Maserati A6GCM","Maserati 250F","10","Peter Collins","Great Britain","Vandervell Products Ltd","Vanwall Special","Vanwall 2.3 L4","italian-grand-prix",1954
"108","12","Hans Herrmann","Germany","Daimler Benz AG","Mercedes W196","Mercedes M196","14","Karl Kling","Germany","Daimler Benz AG","Mercedes W196","Mercedes M196","italian-grand-prix",1954
"109","16","Juan Manuel Fangio","Argentina","Daimler Benz AG","Mercedes W196","Mercedes M196","18","Sergio Mantovani","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","italian-grand-prix",1954
"110","20","Luigi Musso","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","22","Luigi Villoresi","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","italian-grand-prix",1954
"111","24","Roberto Mieres","Argentina","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","26","Louis Rosier","France","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","italian-grand-prix",1954
"112","28","Stirling Moss","Great Britain","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","30","Maurice Trintignant","France","Scuderia Ferrari","Ferrari 625","Ferrari 625H","italian-grand-prix",1954
"113","32","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","Ferrari 553","Ferrari 553","34","Alberto Ascari","Italy","Scuderia Ferrari","Ferrari 625","Ferrari 553","italian-grand-prix",1954
"114","38","Umberto Maglioli","Italy","Scuderia Ferrari","Ferrari 625","Ferrari 625","38","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","Ferrari 625","Ferrari 625","italian-grand-prix",1954
"115","40","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 625","Ferrari 625H","42","Fred Wacker","USA","Equipe Gordini","Gordini T16","Gordini 23","italian-grand-prix",1954
"116","44","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 23","46","Clemar Bucci","Argentina","Equipe Gordini","Gordini T16","Gordini 23","italian-grand-prix",1954
