"","#","Driver","Nat","Team","Car","Engine","NA","NA","NA","NA","NA","NA","gp_name","year"
"1","2","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","4","Stirling Moss","Great Britain","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","argentine-grand-prix",1957
"2","6","Jean Behra","France","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","8","Carlos Menditeguy","Argentina","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","argentine-grand-prix",1957
"3","10","Peter Collins","Great Britain","Scuderia Ferrari","Ferrari D50","Ferrari DS50","12","Luigi Musso","Italy","Scuderia Ferrari","Ferrari D50","Ferrari DS50","argentine-grand-prix",1957
"4","14","Eugenio Castellotti","Italy","Scuderia Ferrari","Ferrari D50","Ferrari DS50","16","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari D50","Ferrari DS50","argentine-grand-prix",1957
"5","18","Cesare Perdisa","Italy","Scuderia Ferrari","Ferrari D50","Ferrari DS50","18","Peter Collins","Great Britain","Scuderia Ferrari","Ferrari D50","Ferrari DS50","argentine-grand-prix",1957
"6","18","Wolfgang von Trips","Germany","Scuderia Ferrari","Ferrari D50","Ferrari DS50","20","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","Ferrari D50","Ferrari DS50","argentine-grand-prix",1957
"7","20","Alfonso de Portago","Spain","Scuderia Ferrari","Ferrari D50","Ferrari DS50","22","Harry Schell","USA","Scuderia Centro Sud","Maserati 250F","Maserati 250F","argentine-grand-prix",1957
"8","24","Jo Bonnier","Sweden","Scuderia Centro Sud","Maserati 250F","Maserati 250F","26","Alessandro de Tomaso","Argentina","Scuderia Centro Sud","Ferrari 500","Ferrari 625","argentine-grand-prix",1957
"9","28","Luigi Piotti","Italy","L Piotti","Maserati 250F","Maserati 250F","2","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","argentine-grand-prix",1957
"10","1","Jimmy Bryan","USA","A E Dean","Kuzma","Offenhauser","3","Don Freeland","USA","Ansted Rotary Corp","Kurtis Kraft 500D","Offenhauser","indianapolis-500",1957
"11","5","Jimmy Reece","USA","Fred & Richard Sommer","Kurtis Kraft 500C","Offenhauser","6","Johnny Boyd","USA","George Bignotti","Kurtis Kraft 500G","Offenhauser","indianapolis-500",1957
"12","7","Bob Veith","USA","Bob Estes","Phillips","Offenhauser","8","Rodger Ward","USA","Roger Wolcott","Lesovsky","Offenhauser","indianapolis-500",1957
"13","9","Sam Hanks","USA","George Salih","Salih","Offenhauser","10","Johnny Thomson","USA","Racing Associates","Kuzma","Offenhauser","indianapolis-500",1957
"14","12","Pat O'Connor","USA","Chapman S Root","Kurtis Kraft 500G","Offenhauser","14","Fred Agabashian","USA","George Bignotti","Kurtis Kraft 500G","Offenhauser","indianapolis-500",1957
