"","#","Driver","Nat","Team","Car","Engine","NA","NA","NA","NA","NA","NA","gp_name","year"
"1","2","Stirling Moss","Great Britain","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","4","Jean Behra","France","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","french-grand-prix",1956
"2","6","Cesare Perdisa","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","6","Stirling Moss","Great Britain","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","french-grand-prix",1956
"3","8","Piero Taruffi","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","10","Juan Manuel Fangio","Argentina","Scuderia Ferrari","Ferrari D50","Ferrari DS50","french-grand-prix",1956
"4","12","Eugenio Castellotti","Italy","Scuderia Ferrari","Ferrari D50","Ferrari DS50","14","Peter Collins","Great Britain","Scuderia Ferrari","Ferrari D50","Ferrari DS50","french-grand-prix",1956
"5","16","Alfonso de Portago","Spain","Scuderia Ferrari","Ferrari D50","Ferrari DS50","22","Harry Schell","USA","Vandervell Products Ltd","Vanwall","Vanwall 2.5","french-grand-prix",1956
"6","24","Mike Hawthorn","Great Britain","Vandervell Products Ltd","Vanwall","Vanwall 2.5","24","Harry Schell","USA","Vandervell Products Ltd","Vanwall","Vanwall 2.5","french-grand-prix",1956
"7","26","Colin Chapman","Great Britain","Vandervell Products Ltd","Vanwall","Vanwall 2.5","28","Maurice Trintignant","France","Automobiles Bugatti","Bugatti T251","Bugatti T251","french-grand-prix",1956
"8","30","Robert Manzon","France","Equipe Gordini","Gordini T32","Gordini 25","32","Nano da Silva Ramos","Brazil","Equipe Gordini","Gordini T32","Gordini 25","french-grand-prix",1956
"9","34","Andre Pilette","Belgium","Equipe Gordini","Gordini T16","Gordini 23","36","Louis Rosier","France","Ecurie Rosier","Maserati 250F","Maserati 250F","french-grand-prix",1956
"10","38","Luigi Villoresi","Italy","L Piotti","Maserati 250F","Maserati 250F","40","Paco Godia","Spain","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","french-grand-prix",1956
"11","42","Andre Simon","France","A Simon","Maserati 250F","Maserati 250F","44","Olivier Gendebien","Belgium","Scuderia Ferrari","Ferrari D50","Ferrari DS50","french-grand-prix",1956
"12","1","Juan Manuel Fangio","Argentina","Scuderia Ferrari","Ferrari D50","Ferrari 2.5 V8","2","Peter Collins","Great Britain","Scuderia Ferrari","Ferrari D50","Ferrari 2.5 V8","german-grand-prix",1956
"13","3","Eugenio Castellotti","Italy","Scuderia Ferrari","Ferrari D50","Ferrari 2.5 V8","4","Luigi Musso","Italy","Scuderia Ferrari","Ferrari D50","Ferrari 2.5 V8","german-grand-prix",1956
"14","4","Eugenio Castellotti","Italy","Scuderia Ferrari","Ferrari D50","Ferrari 2.5 V8","5","Alfonso de Portago","Spain","Scuderia Ferrari","Ferrari D50","Ferrari 2.5 V8","german-grand-prix",1956
"15","5","Peter Collins","Great Britain","Scuderia Ferrari","Ferrari D50","Ferrari 2.5 V8","6","Jean Behra","France","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","german-grand-prix",1956
"16","7","Stirling Moss","Great Britain","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","8","Umberto Maglioli","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","german-grand-prix",1956
"17","8","Cesare Perdisa","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","10","Robert Manzon","France","Equipe Gordini","Gordini T32","Gordini 25","german-grand-prix",1956
"18","11","Andre Milhoux","Belgium","Equipe Gordini","Gordini T32","Gordini 25","11","Andre Pilette","Belgium","Equipe Gordini","Gordini T32","Gordini 25","german-grand-prix",1956
"19","12","Harry Schell","USA","Scuderia Centro Sud","Maserati 250F","Maserati 250F","14","Giorgio Scarlatti","Italy","Scuderia Centro Sud","Ferrari 500","Ferrari 500","german-grand-prix",1956
"20","15","Louis Rosier","France","Ecurie Rosier","Maserati 250F","Maserati 250F","16","Roy Salvadori","Great Britain","Gilby Engineering","Maserati 250F","Maserati 250F","german-grand-prix",1956
"21","18","Luigi Piotti","Italy","L Piotti","Maserati 250F","Maserati 250F","18","Luigi Villoresi","Italy","L Piotti","Maserati 250F","Maserati 250F","german-grand-prix",1956
"22","19","Horace Gould","Great Britain","Goulds Garage","Maserati 250F","Maserati 250F","20","Paco Godia","Spain","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","german-grand-prix",1956
"23","21","Bruce Halford","Great Britain","B Halford","Maserati 250F","Maserati 250F","22","Ottorino Volonterio","Switzerland","Ottorino Volonterio","Maserati A6GCM","Maserati 250F","german-grand-prix",1956
"24","1","Juan Manuel Fangio","Argentina","Scuderia Ferrari","Ferrari D50","Ferrari 2.5 V8","2","Peter Collins","Great Britain","Scuderia Ferrari","Ferrari D50","Ferrari 2.5 V8","british-grand-prix",1956
"25","3","Alfonso de Portago","Spain","Scuderia Ferrari","Ferrari D50","Ferrari 2.5 V8","3","Eugenio Castellotti","Italy","Scuderia Ferrari","Ferrari D50","Ferrari 2.5 V8","british-grand-prix",1956
"26","4","Alfonso de Portago","Spain","Scuderia Ferrari","Ferrari D50","Ferrari 2.5 V8","4","Peter Collins","Great Britain","Scuderia Ferrari","Ferrari D50","Ferrari 2.5 V8","british-grand-prix",1956
"27","6","Jean Behra","France","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","7","Stirling Moss","Great Britain","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","british-grand-prix",1956
"28","8","Cesare Perdisa","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","10","Robert Manzon","France","Equipe Gordini","Gordini T32","Gordini 25","british-grand-prix",1956
"29","11","Luigi Villoresi","Italy","L Piotti","Maserati 250F","Maserati 250F","12","Umberto Maglioli","Italy","Scuderia Guastalla","Maserati 250F","Maserati 250F","british-grand-prix",1956
"30","15","Louis Rosier","France","Ecurie Rosier","Maserati 250F","Maserati 250F","16","Roy Salvadori","Great Britain","Gilby Engineering","Maserati 250F","Maserati 250F","british-grand-prix",1956
"31","17","Maurice Trintignant","France","Vandervell Products Ltd","","","18","Jose Froilan Gonzalez","Argentina","Vandervell Products Ltd","","","british-grand-prix",1956
