"","#","Driver","Nat","Team","Car","Engine","NA","NA","NA","NA","NA","NA","gp_name","year"
"1","2","Tony Brooks","Great Britain","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","3","Cliff Allison","Great Britain","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","united-states-grand-prix",1959
"2","4","Stirling Moss","Great Britain","R R C Walker Racing Team","Cooper T51","Climax 2.5 L4","4","Wolfgang von Trips","Germany","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","united-states-grand-prix",1959
"3","5","Maurice Trintignant","France","R R C Walker Racing Team","Cooper T51","Climax 2.5 L4","5","Rodger Ward","USA","Leader Cards Inc","Watson","Offenhauser","united-states-grand-prix",1959
"4","5","Phil Hill","USA","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","8","Jack Brabham","Australia","Cooper Car Co","Cooper T51","Climax 2.0 L4","united-states-grand-prix",1959
"5","9","Bruce McLaren","New Zealand","Cooper Car Co","Cooper T51","Climax 2.0 L4","10","Innes Ireland","Great Britain","Team Lotus","Lotus 16","Climax 2.5 L4","united-states-grand-prix",1959
"6","11","Alan Stacey","Great Britain","Team Lotus","Lotus 16","Climax 2.5 L4","14","Alessandro de Tomaso","Argentina","Automobili OSCA","Cooper T43","Osca","united-states-grand-prix",1959
"7","15","Fritz d'Orey","Brazil","Camoradi USA","Tec-Mec","Maserati 250F","16","George Constantine","USA","Mike Taylor","Cooper T45","Climax FPF1.9","united-states-grand-prix",1959
"8","17","Harry Blanchard","USA","Blanchard Automobile Co","Porsche RSK","Porsche RSK","18","Bob Said","USA","Connaught Cars-Paul Emery","Connaught C","Alta","united-states-grand-prix",1959
"9","19","Harry Schell","USA","Ecurie Bleue","Cooper T51","Climax FPF2.2","22","Phil Cade","USA","Phil Cade","Maserati 250F","Maserati 250F","united-states-grand-prix",1959
"10","38","Roy Salvadori","Great Britain","High Efficiency Motors","Cooper T45","Maserati 250S","2","Tony Brooks","Great Britain","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","united-states-grand-prix",1959
"11","1","Tony Bettenhausen","USA","John R Wills","Epperly","Offenhauser","3","Johnny Thomson","USA","Racing Associates","Lesovsky","Offenhauser","indianapolis-500",1959
