"","#","Driver","Nat","Team","Car","Engine","NA","NA","NA","NA","NA","NA","gp_name","year"
"32","26","Wolfgang von Trips","Germany","Scuderia Centro Sud","Cooper T51","Maserati 250S","28","Stirling Moss","Great Britain","Rob Walker Racing Team","Lotus 18","Climax 2.5 L4","united-states-grand-prix",1960
"33","42","Ian Burgess","Great Britain","Scuderia Centro Sud","Cooper T51","Maserati 250S","46","Henry Taylor","Great Britain","Yeoman Credit Racing Team","Cooper T51","Climax 2.5 L4","united-states-grand-prix",1960
"34","1","Rodger Ward","USA","Leader Cards Inc","Watson","Offenhauser","2","Tony Bettenhausen","USA","Lindsey Hopkins","Watson","Offenhauser","indianapolis-500",1960
"35","3","Johnny Thomson","USA","Racing Associates","Lesovsky","Offenhauser","4","Jim Rathmann","USA","Ken-Paul Inc","Watson","Offenhauser","indianapolis-500",1960
"36","5","A.J. Foyt","USA","Bignotti-Bowes Racing","Kurtis Kraft","Offenhauser","6","Eddie Sachs","USA","Dean Van Lines","Ewing","Offenhauser","indianapolis-500",1960
"37","7","Don Branson","USA","Bob Estes","Phillips","Offenhauser","8","Johnny Boyd","USA","Bignotti-Bowes Racing","Epperly","Offenhauser","indianapolis-500",1960
"38","9","Len Sutton","USA","Peter Salemi & Nick Rini","Watson","Offenhauser","10","Jimmy Bryan","USA","George Salih","Epperly","Offenhauser","indianapolis-500",1960
"39","14","Bobby Grim","USA","William P Forbes","Meskowski","Offenhauser","16","Jim McWithey","USA","Hoover Motor Express Inc","Epperly","Offenhauser","indianapolis-500",1960
"40","17","Duane Carter","USA","J Ensley & S Murphy","Kuzma","Offenhauser","18","Bud Tingelstad","USA","Jim Robbins","Trevis","Offenhauser","indianapolis-500",1960
"41","22","Eddie Johnson","USA","Jim Robbins","Trevis","Offenhauser","23","Dempsey Wilson","USA","J S Donaldson","Kurtis Kraft 500G","Offenhauser","indianapolis-500",1960
"42","26","Shorty Templeman","USA","Federal Auto Associates","Kurtis Kraft 500C","Offenhauser","27","Red Amick","USA","Leonard A Faas","Salih","Offenhauser","indianapolis-500",1960
"43","28","Troy Ruttman","USA","John Zink","Watson","Offenhauser","32","Wayne Weiler","USA","Ansted Rotary Corp","Epperly","Offenhauser","indianapolis-500",1960
"44","37","Gene Force","USA","Roy McKay","Kurtis Kraft 500G","Offenhauser","38","Bob Christie","USA","Federal Auto Associates","Kurtis Kraft 500C","Offenhauser","indianapolis-500",1960
"45","39","Bill Homeier","USA","Norman Hall","Kuzma","Offenhauser","44","Bob Veith","USA","Peter Schmidt","Meskowski","Offenhauser","indianapolis-500",1960
"46","46","Eddie Russo","USA","C O Prather","Kurtis Kraft 500G","Offenhauser","48","Gene Hartley","USA","Chapman S Root","Kurtis Kraft 500G","Offenhauser","indianapolis-500",1960
"47","56","Jim Hurtubise","USA","Ernest L Ruiz","Christensen","Offenhauser","65","Chuck Stevenson","USA","Leader Cards Inc","Watson","Offenhauser","indianapolis-500",1960
"48","73","Don Freeland","USA","Racing Associates","Kurtis Kraft","Offenhauser","76","Al Herman","USA","Joe Hunt","Ewing","Offenhauser","indianapolis-500",1960
"49","97","Dick Rathmann","USA","Jim Robbins","Watson","Offenhauser","98","Lloyd Ruby","USA","J C Agajanian","Watson","Offenhauser","indianapolis-500",1960
"50","99","Paul Goldsmith","USA","Norman C Demler","Epperly","Offenhauser","1","Rodger Ward","USA","Leader Cards Inc","Watson","Offenhauser","indianapolis-500",1960
"51","2","Jack Brabham","Australia","Cooper Car Co","Cooper T53","Climax 2.5 L4","4","Bruce McLaren","New Zealand","Cooper Car Co","Cooper T53","Climax 2.5 L4","belgian-grand-prix",1960
"52","6","Jo Bonnier","Sweden","Owen Racing Organisation","BRM P48","BRM 2.5 L4","8","Dan Gurney","USA","Owen Racing Organisation","BRM P48","BRM 2.5 L4","belgian-grand-prix",1960
"53","10","Graham Hill","Great Britain","Owen Racing Organisation","BRM P48","BRM 2.5 L4","14","Innes Ireland","Great Britain","Team Lotus","Lotus 18","Climax 2.5 L4","belgian-grand-prix",1960
"54","16","Alan Stacey","Great Britain","Team Lotus","Lotus 18","Climax 2.5 L4","18","Jim Clark","Great Britain","Team Lotus","Lotus 18","Climax 2.5 L4","belgian-grand-prix",1960
"55","18","Tony Brooks","Great Britain","Yeoman Credit Racing Team","Cooper T51","Climax 2.5 L4","20","Mike Taylor","Great Britain","Taylor-Crawley Racing Team","Lotus 18","Climax FPF2.5","belgian-grand-prix",1960
"56","22","Willy Mairesse","Belgium","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","24","Phil Hill","USA","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","belgian-grand-prix",1960
"57","26","Wolfgang von Trips","Germany","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","28","Stirling Moss","Great Britain","Rob Walker Racing Team","Lotus 18","Climax 2.5 L4","belgian-grand-prix",1960
"58","28","Lance Reventlow","USA","Reventlow Automobiles Inc","Scarab","Scarab","30","Chuck Daigh","USA","Reventlow Automobiles Inc","Scarab","Scarab","belgian-grand-prix",1960
"59","32","Lucien Bianchi","Belgium","Equipe Nationale Belge","Cooper T45","Climax 2.5 L4","2","Jack Brabham","Australia","Cooper Car Co","Cooper T53","Climax 2.5 L4","belgian-grand-prix",1960
"60","1","Phil Hill","USA","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","2","Wolfgang von Trips","Germany","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","dutch-grand-prix",1960
"61","3","Richie Ginther","USA","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","4","Innes Ireland","Great Britain","Team Lotus","Lotus 18","Climax 2.5 L4","dutch-grand-prix",1960
"62","5","Alan Stacey","Great Britain","Team Lotus","Lotus 18","Climax 2.5 L4","6","Jim Clark","Great Britain","Team Lotus","Lotus 18","Climax 2.5 L4","dutch-grand-prix",1960
"63","11","Jack Brabham","Australia","Cooper Car Co","Cooper T53","Climax 2.5 L4","12","Bruce McLaren","New Zealand","Cooper Car Co","Cooper T53","Climax 2.5 L4","dutch-grand-prix",1960
"64","14","Jo Bonnier","Sweden","Owen Racing Organisation","BRM P48","BRM 2.5 L4","15","Dan Gurney","USA","Owen Racing Organisation","BRM P48","BRM 2.5 L4","dutch-grand-prix",1960
"65","16","Graham Hill","Great Britain","Owen Racing Organisation","BRM P48","BRM 2.5 L4","16","Chris Bristow","Great Britain","Yeoman Credit Racing Team","Cooper T51","Climax 2.5 L4","dutch-grand-prix",1960
"66","17","Roy Salvadori","Great Britain","David Brown Corporation","Aston Martin DBR4/250","Aston Martin DBR4","18","Maurice Trintignant","France","Scuderia Centro Sud","Cooper T51","Maserati 250S","dutch-grand-prix",1960
"67","18","Tony Brooks","Great Britain","Yeoman Credit Racing Team","Cooper T51","Climax 2.5 L4","20","Carel Godin de Beaufort","Netherlands","Ecurie Maarsbergen","Cooper T51","Climax 2.5 L4","dutch-grand-prix",1960
"68","21","Lance Reventlow","USA","Reventlow Automobiles Inc","Scarab","Scarab","22","Chuck Daigh","USA","Reventlow Automobiles Inc","Scarab","Scarab","dutch-grand-prix",1960
"69","22","Chuck Daigh","USA","","","","28","Stirling Moss","Great Britain","Rob Walker Racing Team","Lotus 18","Climax 2.5 L4","dutch-grand-prix",1960
"70","40","Masten Gregory","USA","Scuderia Centro Sud","Cooper T51","Maserati 250S","1","Phil Hill","USA","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","dutch-grand-prix",1960
"71","2","Jo Bonnier","Sweden","Owen Racing Organisation","BRM P48","BRM P259","4","Dan Gurney","USA","Owen Racing Organisation","BRM P48","BRM P259","monaco-grand-prix",1960
"72","6","Graham Hill","Great Britain","Owen Racing Organisation","BRM P48","BRM P259","8","Jack Brabham","Australia","Cooper Car Co","Cooper T53","Climax FPF2.5","monaco-grand-prix",1960
"73","10","Bruce McLaren","New Zealand","Cooper Car Co","Cooper T53","Climax FPF2.5","12","Bruce Halford","Great Britain","Fred Tuck Cars","Cooper T45","Climax FPF2.5","monaco-grand-prix",1960
"74","14","Roy Salvadori","Great Britain","High Efficiency Motors","Cooper T51","Climax FPF2.5","16","Chris Bristow","Great Britain","Yeoman Credit Racing Team","Cooper T51","Climax FPF2.5","monaco-grand-prix",1960
"75","18","Tony Brooks","Great Britain","Yeoman Credit Racing Team","Cooper T51","Climax FPF2.5","20","Brian Naylor","Great Britain","J B Naylor","JBW","Maserati 250S","monaco-grand-prix",1960
"76","22","Innes Ireland","Great Britain","Team Lotus","Lotus 18","Climax FPF2.5","24","Alan Stacey","Great Britain","Team Lotus","Lotus 18","Climax FPF2.5","monaco-grand-prix",1960
"77","26","John Surtees","Great Britain","Team Lotus","Lotus 18","Climax FPF2.5","28","Stirling Moss","Great Britain","Rob Walker Racing Team","Lotus 18","Climax FPF2.5","monaco-grand-prix",1960
"78","28","Stirling Moss","Great Britain","Reventlow Automobiles Inc","Scarab","Scarab","30","Giorgio Scarlatti","Italy","Scuderia Eugenio Castellotti","Cooper T51","Castellotti","monaco-grand-prix",1960
"79","32","Cliff Allison","Great Britain","Scuderia Ferrari","Ferrari 246","Ferrari 246","34","Richie Ginther","USA","Scuderia Ferrari","Ferrari 246P","Ferrari 246","monaco-grand-prix",1960
"80","36","Phil Hill","USA","Scuderia Ferrari","Ferrari 246","Ferrari 246","38","Wolfgang von Trips","Germany","Scuderia Ferrari","Ferrari 246","Ferrari 246","monaco-grand-prix",1960
"81","40","Masten Gregory","USA","Scuderia Centro Sud","Cooper T51","Maserati 250S","42","Ian Burgess","Great Britain","Scuderia Centro Sud","Cooper T51","Maserati 250S","monaco-grand-prix",1960
"82","44","Maurice Trintignant","France","Scuderia Centro Sud","Cooper T51","Maserati 250S","46","Chuck Daigh","USA","Reventlow Automobiles Inc","Scarab","Scarab","monaco-grand-prix",1960
"83","48","Lance Reventlow","USA","Reventlow Automobiles Inc","Scarab","Scarab","2","Jo Bonnier","Sweden","Owen Racing Organisation","BRM P48","BRM P259","monaco-grand-prix",1960
"84","1","Jack Brabham","Australia","Cooper Car Co","Cooper T53","Climax 2.5 L4","2","Bruce McLaren","New Zealand","Cooper Car Co","Cooper T53","Climax 2.5 L4","british-grand-prix",1960
"85","3","Chuck Daigh","USA","Cooper Car Co","Cooper T51","Climax 2.5 L4","3","Lance Reventlow","USA","Cooper Car Co","","","british-grand-prix",1960
"86","4","Graham Hill","Great Britain","Owen Racing Organisation","BRM P48","BRM 2.5 L4","5","Dan Gurney","USA","Owen Racing Organisation","BRM P48","BRM 2.5 L4","british-grand-prix",1960
"87","6","Jo Bonnier","Sweden","Owen Racing Organisation","BRM P48","BRM 2.5 L4","7","Innes Ireland","Great Britain","Team Lotus","Lotus 18","Climax 2.5 L4","british-grand-prix",1960
"88","8","Jim Clark","Great Britain","Team Lotus","Lotus 18","Climax 2.5 L4","9","John Surtees","Great Britain","Team Lotus","Lotus 18","Climax 2.5 L4","british-grand-prix",1960
"89","10","Phil Hill","USA","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","11","Wolfgang von Trips","Germany","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","british-grand-prix",1960
"90","17","Roy Salvadori","Great Britain","David Brown Corporation","Aston Martin DBR4/250","Aston Martin DBR4","18","Tony Brooks","Great Britain","Yeoman Credit Racing Team","Cooper T51","Climax 2.5 L4","british-grand-prix",1960
"91","19","Maurice Trintignant","France","David Brown Corporation","Aston Martin DBR5/250","Aston Martin DBR4","21","Brian Naylor","Great Britain","J B Naylor","JBW","Maserati 250S","british-grand-prix",1960
"92","22","Keith Greene","Great Britain","Gilby Engineering","Cooper T45","Maserati 250S","23","Jack Fairman","Great Britain","C T Atkins","Cooper T51","Climax FPF2.5","british-grand-prix",1960
"93","24","Lucien Bianchi","Belgium","Fred Tuck Cars","Cooper T45","Climax FPF2.5","30","Gino Munaron","Italy","Scuderia Eugenio Castellotti","Cooper T51","Castellotti","british-grand-prix",1960
"94","34","David Piper","Great Britain","Robert Bodle Ltd","Lotus 16","Climax FPF2.5","40","Masten Gregory","USA","Scuderia Centro Sud","Cooper T51","Maserati 250S","british-grand-prix",1960
"95","42","Ian Burgess","Great Britain","Scuderia Centro Sud","Cooper T51","Maserati 250S","1","Jack Brabham","Australia","Cooper Car Co","Cooper T53","Climax 2.5 L4","british-grand-prix",1960
"96","2","Phil Hill","USA","Scuderia Ferrari SpA SEFAC","Ferrari 156","Ferrari 1.5 V6","4","Wolfgang von Trips","Germany","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","french-grand-prix",1960
"97","6","Willy Mairesse","Belgium","Scuderia Ferrari SpA SEFAC","Ferrari 156","Ferrari 1.5 V6","8","Jo Bonnier","Sweden","Owen Racing Organisation","BRM P48","BRM 2.5 L4","french-grand-prix",1960
"98","10","Dan Gurney","USA","Owen Racing Organisation","BRM P48","BRM 2.5 L4","12","Graham Hill","Great Britain","Owen Racing Organisation","BRM P48","BRM 2.5 L4","french-grand-prix",1960
"99","14","Tony Brooks","Great Britain","Vandervell Products","","","16","Jack Brabham","Australia","Cooper Car Co","Cooper T53","Climax 2.5 L4","french-grand-prix",1960
"100","18","Bruce McLaren","New Zealand","Cooper Car Co","Cooper T53","Climax 2.5 L4","20","Innes Ireland","Great Britain","Team Lotus","Lotus 18","Climax 2.5 L4","french-grand-prix",1960
"101","22","Ron Flockhart","Great Britain","Team Lotus","Lotus 18","Climax 2.5 L4","24","Jim Clark","Great Britain","Team Lotus","Lotus 18","Climax 2.5 L4","french-grand-prix",1960
"102","26","Chuck Daigh","USA","Reventlow Automobiles Inc","Scarab","Scarab","26","Chuck Daigh","USA","","","","french-grand-prix",1960
"103","28","Richie Ginther","USA","Reventlow Automobiles Inc","Scarab","Scarab","30","Gino Munaron","Italy","Scuderia Eugenio Castellotti","Cooper T51","Castellotti","french-grand-prix",1960
"104","34","David Piper","Great Britain","Robert Bodle Ltd","Lotus 16","Climax FPF2.5","36","Lucien Bianchi","Belgium","Fred Tuck Cars","Cooper T45","Climax FPF2.5","french-grand-prix",1960
"105","38","Maurice Trintignant","France","Scuderia Centro Sud","Cooper T51","Maserati 250S","40","Masten Gregory","USA","Scuderia Centro Sud","Cooper T51","Maserati 250S","french-grand-prix",1960
"106","42","Ian Burgess","Great Britain","Scuderia Centro Sud","Cooper T51","Maserati 250S","48","Bruce Halford","Great Britain","Yeoman Credit Racing Team","Cooper T51","Climax 2.5 L4","french-grand-prix",1960
"107","2","Jack Brabham","Australia","Cooper Car Co","Cooper T53","Climax 2.5 L4","4","Bruce McLaren","New Zealand","Cooper Car Co","Cooper T53","Climax 2.5 L4","portuguese-grand-prix",1960
"108","14","Jim Clark","Great Britain","Team Lotus","Lotus 18","Climax 2.5 L4","16","Innes Ireland","Great Britain","Team Lotus","Lotus 18","Climax 2.5 L4","portuguese-grand-prix",1960
"109","18","John Surtees","Great Britain","Team Lotus","Lotus 18","Climax 2.5 L4","18","Tony Brooks","Great Britain","Yeoman Credit Racing Team","Cooper T51","Climax 2.5 L4","portuguese-grand-prix",1960
"110","20","Jo Bonnier","Sweden","Owen Racing Organisation","BRM P48","BRM 2.5 L4","22","Graham Hill","Great Britain","Owen Racing Organisation","BRM P48","BRM 2.5 L4","portuguese-grand-prix",1960
"111","24","Dan Gurney","USA","Owen Racing Organisation","BRM P48","BRM 2.5 L4","26","Phil Hill","USA","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","portuguese-grand-prix",1960
"112","28","Stirling Moss","Great Britain","Rob Walker Racing Team","Lotus 18","Climax 2.5 L4","28","Wolfgang von Trips","Germany","Scuderia Ferrari","Ferrari 246","Ferrari 2.4 V6","portuguese-grand-prix",1960
"113","32","Nicha Cabral","Portugal","Scuderia Centro Sud","Cooper T51","Maserati 250S","34","Olivier Gendebien","Belgium","Yeoman Credit Racing Team","Cooper T51","Climax 2.5 L4","portuguese-grand-prix",1960
"114","40","Masten Gregory","USA","Scuderia Centro Sud","Cooper T51","Maserati 250S","2","Jack Brabham","Australia","Cooper Car Co","Cooper T53","Climax 2.5 L4","portuguese-grand-prix",1960
