"","#","Driver","Nat","Team","Car","Engine","NA","NA","NA","NA","NA","NA","gp_name","year"
"1","1","Jimmy Bryan","USA","George Salih","Salih","Offenhauser","2","Jim Rathmann","USA","Lindsey Hopkins","Epperly","Offenhauser","indianapolis-500",1958
"2","4","Pat O'Connor","USA","Chapman S Root","Kurtis Kraft 500G","Offenhauser","5","Ed Elisian","USA","Ellen McKinney Zink","Watson","Offenhauser","indianapolis-500",1958
"3","7","Johnny Thomson","USA","Racing Associates","Kurtis Kraft","Offenhauser","8","Rodger Ward","USA","Roger Wolcott","Lesovsky","Offenhauser","indianapolis-500",1958
"4","9","Johnny Boyd","USA","Robert M Bowes II","Kurtis Kraft 500G","Offenhauser","14","Bob Veith","USA","Robert M Bowes II","Kurtis Kraft 500G","Offenhauser","indianapolis-500",1958
"5","15","Paul Russo","USA","Novi Racing Corp","Kurtis Kraft","Novi","16","Jimmy Reece","USA","John Zink","Watson","Offenhauser","indianapolis-500",1958
"6","19","Johnnie Tolan","USA","Lysle Greenman","Kuzma","Offenhauser","25","Jack Turner","USA","Joseph Massaglia Jr","Lesovsky","Offenhauser","indianapolis-500",1958
"7","26","Don Freeland","USA","Bob Estes","Phillips","Offenhauser","29","A.J. Foyt","USA","Dean Van Lines","Kuzma","Offenhauser","indianapolis-500",1958
"8","31","Paul Goldsmith","USA","Henry Yunik","Kurtis Kraft 500G","Offenhauser","33","Tony Bettenhausen","USA","Cars Inc","Epperly","Offenhauser","indianapolis-500",1958
"9","43","Billy Garrett","USA","H A Chapman","Kurtis Kraft 500G","Offenhauser","44","Jud Larson","USA","John Zink","Watson","Offenhauser","indianapolis-500",1958
"10","45","Johnnie Parsons","USA","Fred Gerhardt","Kurtis Kraft","Offenhauser","52","Al Keller","USA","Pat Clancy","Kurtis Kraft 500G2","Offenhauser","indianapolis-500",1958
"11","54","Bill Cheesbourg","USA","Novi Racing Corp","Kurtis Kraft","Novi","57","Art Bisch","USA","H H Johnson","Kuzma","Offenhauser","indianapolis-500",1958
"12","59","Dempsey Wilson","USA","Bob Sorenson","Kuzma","Offenhauser","61","Eddie Johnson","USA","J S Donaldson","Kurtis Kraft 500G","Offenhauser","indianapolis-500",1958
"13","65","Bob Christie","USA","Federal Auto Associates","Kurtis Kraft 500C","Offenhauser","68","Len Sutton","USA","Jim Robbins","Kurtis Kraft 500G","Offenhauser","indianapolis-500",1958
"14","77","Mike Magill","USA","George Walther Jr","Kurtis Kraft 500G","Offenhauser","83","Shorty Templeman","USA","Kalamazoo Sports Inc","Kurtis Kraft 500D","Offenhauser","indianapolis-500",1958
"15","88","Eddie Sachs","USA","Peter Schmidt","Kuzma","Offenhauser","89","Chuck Weyant","USA","Harry Dunn","Dunn","Offenhauser","indianapolis-500",1958
"16","92","Jerry Unser","USA","Roy McKay","Kurtis Kraft 500G","Offenhauser","97","Dick Rathmann","USA","Kalamazoo Sports Inc","Watson","Offenhauser","indianapolis-500",1958
"17","99","George Amick","USA","Norman C Demler","Epperly","Offenhauser","1","Jimmy Bryan","USA","George Salih","Salih","Offenhauser","indianapolis-500",1958
"18","1","Peter Collins","Great Britain","Scuderia Ferrari","Ferrari 246","Ferrari 246","2","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 246","Ferrari 246","british-grand-prix",1958
"19","3","Wolfgang von Trips","Germany","Scuderia Ferrari","Ferrari 246","Ferrari 246","4","Maurice Trintignant","France","R R C Walker Racing Team","Cooper T43","Climax FPF2.0","british-grand-prix",1958
