"","#","Driver","Nat","Team","Car","Engine","NA","NA","NA","NA","NA","NA","gp_name","year"
"1","2","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","4","Jose Froilan Gonzalez","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","argentine-grand-prix",1953
"2","6","Felice Bonetto","Italy","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","8","Oscar Galvez","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","argentine-grand-prix",1953
"3","10","Alberto Ascari","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","12","Nino Farina","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","argentine-grand-prix",1953
"4","14","Luigi Villoresi","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","16","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 500","Ferrari 500","argentine-grand-prix",1953
"5","20","Alan Brown","Great Britain","Cooper Car Co","Cooper T20","Bristol BS","22","John Barber","Great Britain","Cooper Car Co","Cooper T23","Bristol BS","argentine-grand-prix",1953
"6","24","Adolfo Schwelm Cruz","Argentina","Cooper Car Co","Cooper T20","Bristol BS","26","Robert Manzon","France","Equipe Gordini","Gordini T16","Gordini 20","argentine-grand-prix",1953
"7","28","Maurice Trintignant","France","Equipe Gordini","Gordini T16","Gordini 20","28","Harry Schell","USA","Equipe Gordini","Gordini T16","Gordini 20","argentine-grand-prix",1953
"8","30","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 20","32","Carlos Menditeguy","Argentina","Equipe Gordini","Gordini T16","Gordini 20","argentine-grand-prix",1953
"9","34","Pablo Birger","Argentina","Equipe Gordini","Simca-Gordini T15","Gordini 18","2","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","argentine-grand-prix",1953
"10","2","Jacques Swaters","Belgium","Ecurie Francorchamps","Ferrari 500","Ferrari 500","4","Chico Landi","Brazil","Escuderia Bandeirantes","Maserati A6GCM","Maserati A6GCM","swiss-grand-prix",1953
"11","6","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 20","8","Maurice Trintignant","France","Equipe Gordini","Gordini T16","Gordini 20","swiss-grand-prix",1953
"12","10","Louis Rosier","France","Ecurie Rosier","Ferrari 500","Ferrari 500","12","Louis Chiron","Monaco","Louis Chiron","OSCA 20","Osca","swiss-grand-prix",1953
"13","14","Paul Frere","Belgium","HW Motors","HWM","Alta","16","Lance Macklin","Great Britain","HW Motors","HWM","Alta","swiss-grand-prix",1953
"14","18","Albert Scherrer","Switzerland","HW Motors","HWM","Alta","20","Ken Wharton","Great Britain","Ken Wharton","Cooper T23","Bristol BS","swiss-grand-prix",1953
"15","22","Elie Bayol","France","Elie Bayol","OSCA 20","Osca","24","Nino Farina","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","swiss-grand-prix",1953
"16","26","Mike Hawthorn","Great Britain","Scuderia Ferrari","Ferrari 500","Ferrari 500","28","Luigi Villoresi","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","swiss-grand-prix",1953
"17","30","Felice Bonetto","Italy","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","30","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","swiss-grand-prix",1953
"18","32","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","32","Felice Bonetto","Italy","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","swiss-grand-prix",1953
"19","34","Hermann Lang","Germany","Officine Alfieri Maserati","Maserati A6GCM","Maserati A6GCM","36","Onofre Marimon","Argentina","Officine Alfieri Maserati","Maserati A6GCM-53","Maserati A6GCM-53","swiss-grand-prix",1953
"20","38","Peter Hirt","Switzerland","Ecurie Espadon","Ferrari 500","Ferrari 500","40","Max de Terra","Switzerland","Ecurie Espadon","Ferrari 166C","Ferrari 166","swiss-grand-prix",1953
"21","42","Emmanuel de Graffenried","Switzerland","Emmanuel de Graffenried","Maserati A6GCM-53","Maserati A6GCM-53","44","Fred Wacker","USA","Equipe Gordini","Gordini T16","Gordini 20","swiss-grand-prix",1953
"22","46","Alberto Ascari","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","2","Jacques Swaters","Belgium","Ecurie Francorchamps","Ferrari 500","Ferrari 500","swiss-grand-prix",1953
"23","2","Jim Rathmann","USA","Ernest L Ruiz","Kurtis Kraft 500B","Offenhauser","2","Eddie Johnson","USA","Ernest L Ruiz","Kurtis Kraft 500B","Offenhauser","indianapolis-500",1953
"24","3","Sam Hanks","USA","Ed Walsh","Kurtis Kraft 4000","Offenhauser","3","Duane Carter","USA","Ed Walsh","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1953
"25","4","Duane Carter","USA","Murrell Belanger","Lesovsky","Offenhauser","5","Jack McGrath","USA","Jack B Hinkle","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1953
"26","7","Paul Russo","USA","Federal Auto Associates","Kurtis Kraft 3000","Offenhauser","8","Jimmy Bryan","USA","John L McDaniel","Schroeder","Offenhauser","indianapolis-500",1953
"27","9","Duke Nalon","USA","Jean Marcenac","Kurtis Kraft","Novi","12","Ernie McCoy","USA","H A Chapman","Stevens","Offenhauser","indianapolis-500",1953
"28","14","Bill Vukovich","USA","Howard Keck Co","Kurtis Kraft 500A","Offenhauser","16","Art Cross","USA","Bessie Lee Paoli","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1953
"29","21","Johnnie Parsons","USA","J S Belond","Kurtis Kraft 500B","Offenhauser","22","Marshall Teague","USA","Hart Fullerton","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1953
"30","23","Walt Faulkner","USA","Eugene A Casaroll","Kurtis Kraft 500A","Offenhauser","23","Johnny Mantz","USA","Eugene A Casaroll","Kurtis Kraft 500A","Offenhauser","indianapolis-500",1953
"31","29","Bob Scott","USA","Louis & Bruce Bromme","Bromme","Offenhauser","32","Andy Linden","USA","Rotary Engineering Corp","Stevens","Offenhauser","indianapolis-500",1953
