"","#","Driver","Nat","Team","Car","Engine","NA","NA","NA","NA","NA","NA","gp_name","year"
"1","101","Alberto Ascari","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","102","Nino Farina","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","german-grand-prix",1952
"2","103","Piero Taruffi","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 500","104","Piero Carini","Italy","Scuderia Marzotto","Ferrari 166F2-50","Ferrari 166","german-grand-prix",1952
"3","105","Felice Bonetto","Italy","Officine Alfieri Maserati","Maserati A6GCM","Maserati","107","Robert Manzon","France","Equipe Gordini","Gordini T16","Gordini 20","german-grand-prix",1952
"4","108","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 20","109","Maurice Trintignant","France","Equipe Gordini","Gordini T16","Gordini 20","german-grand-prix",1952
"5","110","Marcel Balsa","France","Marcel Balsa","BMW","BMW 328","111","Peter Collins","Great Britain","HW Motors","HWM","Alta","german-grand-prix",1952
"6","112","Paul Frere","Belgium","HW Motors","HWM","Alta","113","Johnny Claes","Belgium","HW Motors","HWM","Alta","german-grand-prix",1952
"7","114","Bill Aston","Great Britain","W S Aston","Aston","Butterworth","115","Gino Bianco","Brazil","Escuderia Bandeirantes","Maserati A6GCM","Maserati","german-grand-prix",1952
"8","116","Eitel Cantoni","Uruguay","Escuderia Bandeirantes","Maserati A6GCM","Maserati","117","RudI Fischer","Switzerland","Ecurie Espadon","Ferrari 500","Ferrari 500","german-grand-prix",1952
"9","118","Rudolf Schoeller","Switzerland","Ecurie Espadon","Ferrari 212","Ferrari 166","119","Roger Laurent","Great Britain","Ecurie Francorchamps","Ferrari 500","Ferrari 500","german-grand-prix",1952
"10","120","Tony Gaze","Australia","Tony Gaze","HWM","Alta","121","Fritz Riess","Germany","Fritz Riess","Veritas RS","BMW 328","german-grand-prix",1952
"11","122","Theo Helfrich","Germany","Theo Helfrich","Veritas RS","BMW 328","123","Willi Heeks","Germany","Willi Heeks","AFM","BMW 328","german-grand-prix",1952
"12","124","Helmut Niedermayr","Germany","Helmut Niedermayr","AFM","BMW 328","125","Toni Ulmen","Germany","Toni Ulmen","Veritas Meteor","BMW 328","german-grand-prix",1952
"13","126","Adolf Brudes","Germany","Adolf Brudes","Veritas RS","BMW 328","127","Paul Pietsch","Germany","Motor Press Verlag","Veritas Meteor","Veritas","german-grand-prix",1952
"14","128","Hans Klenk","Germany","Hans Klenk","Veritas Meteor","Veritas","129","Josef Peters","Germany","Josef Peters","Veritas RS","BMW 328","german-grand-prix",1952
"15","130","Günther Bechem","Germany","Bernd Nacke","BMW","BMW 328","131","Ludwig Fischer","Germany","Ludwig Fischer","AFM","BMW 328","german-grand-prix",1952
"16","133","Willi Krakau","Switzerland","Willi Krakau","AFM","BMW 328","134","Harry Merkel","Germany","Willi Krakau","BMW","BMW 328","german-grand-prix",1952
"17","135","Ernst Klodwig","Germany","Ernst Klodwig","BMW","BMW 328","136","Rudolf Krause","Germany","Rudolf Krause","BMW","BMW 328","german-grand-prix",1952
"18","2","Robert Manzon","France","Equipe Gordini","Gordini T16","Gordini 20","2","Hans Von Stuck","Germany","AFM","AFM","Kuchen","swiss-grand-prix",1952
"19","6","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 20","14","Maurice Trintignant","France","Ecurie Rosier","Ferrari 166F2-50","Ferrari 166","swiss-grand-prix",1952
"20","16","George Abecassis","Great Britain","HW Motors","HWM","Alta","18","RudI Fischer","Switzerland","Ecurie Espadon","Ferrari 500","Ferrari 500","swiss-grand-prix",1952
"21","20","Peter Hirt","Switzerland","Ecurie Espadon","Ferrari 212","Ferrari 166","26","Prince Bira","Thailand","Equipe Gordini","Simca-Gordini T15","Simca-Gordini 18","swiss-grand-prix",1952
"22","28","Nino Farina","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 2.0 L4","30","Piero Taruffi","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 2.0 L4","swiss-grand-prix",1952
"23","32","Andre Simon","France","Scuderia Ferrari","Ferrari 500","Ferrari 2.0 L4","32","Nino Farina","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 2.0 L4","swiss-grand-prix",1952
"24","33","Harry Schell","USA","Scuderia Enrico Platé","Maserati 4CLT-48","","36","Eric Brandon","Great Britain","Ecurie Richmond","Cooper T20","Bristol BS","swiss-grand-prix",1952
"25","38","Alan Brown","Great Britain","Ecurie Richmond","Cooper T20","Bristol BS","40","Ken Wharton","Great Britain","Scuderia Franera","Frazer-Nash FN48","Bristol BS","swiss-grand-prix",1952
"26","46","Stirling Moss","Great Britain","HW Motors","HWM","Alta","50","Max de Terra","Switzerland","Alfred Dattner","Simca-Gordini T11","Simca 508S","swiss-grand-prix",1952
"27","52","Lance Macklin","Great Britain","HW Motors","HWM","Alta","54","Peter Collins","Great Britain","HW Motors","HWM","Alta","swiss-grand-prix",1952
"28","60","Emmanuel de Graffenried","Switzerland","Scuderia Enrico Platé","Maserati 4CLT-48","","62","Louis Rosier","France","Ecurie Rosier","Ferrari 500","Ferrari 500","swiss-grand-prix",1952
"29","125","Toni Ulmen","Germany","Toni Ulmen","Veritas Meteor","Veritas","2","Robert Manzon","France","Equipe Gordini","Gordini T16","Gordini 20","swiss-grand-prix",1952
"30","1","Duane Carter","USA","Murrell Belanger","Lesovsky","Offenhauser","2","Henry Banks","USA","Lindsey Hopkins","Lesovsky","Offenhauser","indianapolis-500",1952
"31","4","Jack McGrath","USA","Jack B Hinkle","Kurtis Kraft 3000","Offenhauser","5","Johnnie Parsons","USA","Jim Robbins","Kurtis Kraft","Offenhauser","indianapolis-500",1952
"32","7","Bill Schindler","USA","H A Chapman","Stevens","Offenhauser","8","Manny Ayulo","USA","Coast Grain Co","Lesovsky","Offenhauser","indianapolis-500",1952
"33","9","Andy Linden","USA","Hart Fullerton","Kurtis Kraft 4000","Offenhauser S","12","Alberto Ascari","Italy","Enzo Ferrari","Ferrari 375 Special","Ferrari 375Indy","indianapolis-500",1952
"34","12","Alberto Ascari","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 2.0 L4","14","Joe James","USA","Ed Walsh","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1952
"35","16","Chuck Stevenson","USA","Bessie Lee Paoli","Kurtis Kraft 4000","Offenhauser","18","Sam Hanks","USA","Ed Walsh","Kurtis Kraft 3000","Offenhauser","indianapolis-500",1952
"36","21","Chet Miller","USA","Lewis W Welch","Kurtis Kraft","Novi","22","Cliff Griffith","USA","Tom Sarafoff","Kurtis Kraft 2000","Offenhauser","indianapolis-500",1952
"37","26","Bill Vukovich","USA","Howard Keck Co","Kurtis Kraft 500A","Offenhauser","27","Tony Bettenhausen","USA","Earl F Slick","Deidt","Offenhauser","indianapolis-500",1952
"38","28","Fred Agabashian","USA","Cummins Engine Co","Kurtis Kraft","Cummins","29","Jim Rigsby","USA","Bob Estes","Watson","Offenhauser","indianapolis-500",1952
"39","31","Johnny McDowell","USA","Roger Wolcott","Kurtis Kraft 2000","Offenhauser","33","Art Cross","USA","Ray T Brady","Kurtis Kraft 4000","Offenhauser","indianapolis-500",1952
"40","34","Rodger Ward","USA","Federal Auto Associates","Kurtis Kraft 4000","Offenhauser","36","Duke Nalon","USA","Lewis W Welch","Kurtis Kraft","Novi","indianapolis-500",1952
"41","37","Jimmy Reece","USA","John Zink","Kurtis Kraft 4000","Offenhauser","48","Spider Webb","USA","Vincent Granatelli","Bromme","Offenhauser","indianapolis-500",1952
"42","54","George Connor","USA","Federal Auto Associates","Kurtis Kraft 3000","Offenhauser","55","Bobby Ball","USA","Rotary Engineering Corp","Stevens","Offenhauser","indianapolis-500",1952
"43","59","Jim Rathmann","USA","Grancor Auto Specialists","Kurtis Kraft 3000","Offenhauser","65","George Fonder","USA","George H Leitenberger","Sherman","Offenhauser","indianapolis-500",1952
"44","67","Gene Hartley","USA","Mel B Wiggers","Kurtis Kraft 4000","Offenhauser","73","Bob Sweikert","USA","Lee Elkins","Kurtis Kraft 2000","Offenhauser","indianapolis-500",1952
"45","77","Jimmy Bryan","USA","Peter Schmidt","Kurtis Kraft 3000","Offenhauser","81","Eddie Johnson","USA","Pete Salemi","Kuzma","Offenhauser","indianapolis-500",1952
"46","93","Bob Scott","USA","Ludson D Morris","Kurtis Kraft 2000","Offenhauser","98","Troy Ruttman","USA","J C Agajanian","Kuzma","Offenhauser","indianapolis-500",1952
"47","2","Robert Manzon","France","Equipe Gordini","Gordini T16","Gordini 20","2","Nino Farina","Italy","Scuderia Ferrari","Ferrari D50","Ferrari 2.5 L4","belgian-grand-prix",1952
"48","4","Alberto Ascari","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 2.0 L4","6","Piero Taruffi","Italy","Scuderia Ferrari","Ferrari 500","Ferrari 2.0 L4","belgian-grand-prix",1952
"49","6","Jean Behra","France","Equipe Gordini","Gordini T16","Gordini 20","8","Mike Hawthorn","Great Britain","Leslie Hawthorn","Cooper T20","Bristol BS","belgian-grand-prix",1952
"50","18","Johnny Claes","Belgium","Equipe Gordini","Gordini T16","Gordini 20","26","Prince Bira","Thailand","Equipe Gordini","Simca-Gordini T15","Simca-Gordini 18","belgian-grand-prix",1952
"51","30","Roger Laurent","Great Britain","HW Motors","HWM","Alta","36","Stirling Moss","Great Britain","ERA","ERA G","Bristol BS","belgian-grand-prix",1952
"52","36","Eric Brandon","Great Britain","Ecurie Richmond","Cooper T20","Bristol BS","38","Arthur Legat","Belgium","Arthur Legat","Veritas Meteor","Veritas","belgian-grand-prix",1952
"53","38","Alan Brown","Great Britain","Ecurie Richmond","Cooper T20","Bristol BS","40","Ken Wharton","Great Britain","Scuderia Franera","Frazer-Nash FN48","Bristol BS","belgian-grand-prix",1952
