"","#","Driver","Nat","Team","Car","Engine","NA","NA","NA","NA","NA","NA","gp_name","year"
"1","1","Jimmy Bryan","USA","A E Dean","Kuzma","Offenhauser","3","Jack McGrath","USA","Jack B Hinkle","Kurtis Kraft 500C","Offenhauser","indianapolis-500",1955
"2","4","Bill Vukovich","USA","Lindsey Hopkins","Kurtis Kraft 500C","Offenhauser","5","Jimmy Reece","USA","Emmett J Malloy","Pankratz","Offenhauser","indianapolis-500",1955
"3","6","Bob Sweikert","USA","John Zink","Kurtis Kraft 500C","Offenhauser","8","Sam Hanks","USA","Cars Inc","Kurtis Kraft 500C","Offenhauser","indianapolis-500",1955
"4","10","Tony Bettenhausen","USA","H A Chapman","Kurtis Kraft 500C","Offenhauser","10","Paul Russo","USA","H A Chapman","Kurtis Kraft 500C","Offenhauser","indianapolis-500",1955
"5","12","Don Freeland","USA","Bob Estes","Phillips","Offenhauser","14","Fred Agabashian","USA","Federal Auto Associates","Kurtis Kraft 500C","Offenhauser","indianapolis-500",1955
"6","15","Jimmy Davies","USA","Pat Clancy","Kurtis Kraft 500B","Offenhauser","16","Johnnie Parsons","USA","Carl L Anderson","Kurtis Kraft 500C","Offenhauser","indianapolis-500",1955
"7","19","Andy Linden","USA","Joseph Massaglia Jr","Kurtis Kraft 4000","Offenhauser","22","Cal Niday","USA","Racing Associates","Kurtis Kraft 500B","Offenhauser","indianapolis-500",1955
"8","23","Jerry Hoyt","USA","Jim Robbins","Stevens","Offenhauser","27","Rodger Ward","USA","E R Casale","Kuzma","Offenhauser","indianapolis-500",1955
"9","29","Pat O'Connor","USA","Rotary Engineering Corp","Kurtis Kraft 500D","Offenhauser","31","Keith Andrews","USA","John L McDaniel","Schroeder","Offenhauser","indianapolis-500",1955
"10","33","Jim Rathmann","USA","South California Muffler Co","Epperly","Offenhauser","37","Eddie Russo","USA","R N Sabourin","Pawl","Offenhauser","indianapolis-500",1955
"11","39","Johnny Boyd","USA","Chapman S Root","Kurtis Kraft 500D","Offenhauser","41","Chuck Weyant","USA","Federal Auto Associates","Kurtis Kraft 3000","Offenhauser","indianapolis-500",1955
"12","42","Al Keller","USA","Samuel W Traylor III","Kurtis Kraft 2000","Offenhauser","44","Johnny Thomson","USA","Peter Schmidt","Kuzma","Offenhauser","indianapolis-500",1955
"13","48","Jimmy Daywalt","USA","Chapman S Root","Kurtis Kraft","Offenhauser","49","Ray Crawford","USA","Ray Crawford","Kurtis Kraft 500D","Offenhauser","indianapolis-500",1955
"14","68","Ed Elisian","USA","M Pete Wales","Kurtis Kraft 4000","Offenhauser","71","Al Herman","USA","T W & W T Martin","Kurtis Kraft","Offenhauser","indianapolis-500",1955
"15","77","Walt Faulkner","USA","Merz Engineering Inc","Kurtis Kraft 500C","Offenhauser","77","Bill Homeier","USA","Merz Engineering Inc","Kurtis Kraft 500C","Offenhauser","indianapolis-500",1955
"16","81","Shorty Templeman","USA","Pete Salemi","Trevis","Offenhauser","83","Eddie Johnson","USA","Kalamazoo Sports Inc","Trevis","Offenhauser","indianapolis-500",1955
"17","89","Pat Flaherty","USA","Harry Dunn","Kurtis Kraft 500B","Offenhauser","98","Duane Carter","USA","J C Agajanian","Kuzma","Offenhauser","indianapolis-500",1955
"18","99","Art Cross","USA","Murrell Belanger","Kurtis Kraft 500C","Offenhauser","1","Jimmy Bryan","USA","A E Dean","Kuzma","Offenhauser","indianapolis-500",1955
"19","2","Juan Manuel Fangio","Argentina","Daimler Benz AG","Mercedes W196","Mercedes M196","4","Karl Kling","Germany","Daimler Benz AG","Mercedes W196","Mercedes M196","argentine-grand-prix",1955
"20","6","Stirling Moss","Great Britain","Daimler Benz AG","Mercedes W196","Mercedes M196","8","Hans Herrmann","Germany","Daimler Benz AG","Mercedes W196","Mercedes M196","argentine-grand-prix",1955
"21","8","Karl Kling","Germany","Daimler Benz AG","Mercedes W196","Mercedes M196","8","Stirling Moss","Great Britain","Daimler Benz AG","Mercedes W196","Mercedes M196","argentine-grand-prix",1955
"22","10","Nino Farina","Italy","Scuderia Ferrari","Ferrari 625","Ferrari 625","10","Maurice Trintignant","France","Scuderia Ferrari","Ferrari 625","Ferrari 625","argentine-grand-prix",1955
"23","10","Umberto Maglioli","Italy","Scuderia Ferrari","Ferrari 625","Ferrari 625","12","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","Ferrari 625","Ferrari 625","argentine-grand-prix",1955
"24","12","Nino Farina","Italy","Scuderia Ferrari","Ferrari 625","Ferrari 625","12","Maurice Trintignant","France","Scuderia Ferrari","Ferrari 625","Ferrari 625","argentine-grand-prix",1955
"25","14","Maurice Trintignant","France","Scuderia Ferrari","Ferrari 625","Ferrari 625","16","Jean Behra","France","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","argentine-grand-prix",1955
"26","18","Roberto Mieres","Argentina","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","20","Sergio Mantovani","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","argentine-grand-prix",1955
"27","20","Jean Behra","France","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","20","Luigi Musso","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","argentine-grand-prix",1955
"28","22","Luigi Musso","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","22","Sergio Mantovani","Italy","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","argentine-grand-prix",1955
"29","22","Harry Schell","USA","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","24","Carlos Menditeguy","Argentina","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","argentine-grand-prix",1955
"30","26","Clemar Bucci","Argentina","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","26","Carlos Menditeguy","Argentina","Officine Alfieri Maserati","Maserati 250F","Maserati 250F","argentine-grand-prix",1955
