"","#","Driver","Nat","Team","Car","Engine","NA","NA","NA","NA","NA","NA","gp_name","year"
"1","2","Nino Farina","Italy","Alfa Romeo SpA","Alfa Romeo 159","Alfa Romeo 158","6","Consalvo Sanesi","Italy","Alfa Romeo SpA","Alfa Romeo 159","Alfa Romeo 158","french-grand-prix",1951
"2","8","Luigi Fagioli","Italy","Alfa Romeo SpA","Alfa Romeo 159","Alfa Romeo 158","10","Luigi Villoresi","Italy","Scuderia Ferrari","Ferrari 375","Ferrari V12","french-grand-prix",1951
"3","12","Maurice Trintignant","France","Equipe Gordini","Simca-Gordini T15","Simca-Gordini 16","12","Alberto Ascari","Italy","Scuderia Ferrari","Ferrari 375","Ferrari V12","french-grand-prix",1951
"4","14","Robert Manzon","France","Equipe Gordini","Simca-Gordini T15","Simca-Gordini 16","14","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","Ferrari 375","Ferrari V12","french-grand-prix",1951
"5","14","Alberto Ascari","Italy","Scuderia Ferrari","Ferrari 375","Ferrari V12","16","Andre Simon","France","Equipe Gordini","Simca-Gordini T15","Simca-Gordini 16","french-grand-prix",1951
"6","22","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","Alfa Romeo 159","Alfa Romeo 158","24","Peter Whitehead","Great Britain","Ferrari","Ferrari 125","Ferrari 125","french-grand-prix",1951
"7","24","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","Alfa Romeo 159","Alfa Romeo 158","24","Luigi Fagioli","Italy","Alfa Romeo SpA","Alfa Romeo 159","Alfa Romeo 158","french-grand-prix",1951
"8","26","Reg Parnell","Great Britain","G A Vandervell","Ferrari 375","Ferrari 375","28","Louis Rosier","France","Ecurie Rosier","Talbot-Lago T26C-DA","Talbot 23CV","french-grand-prix",1951
"9","30","Louis Chiron","Monaco","Ecurie Rosier","Talbot-Lago T26C","Talbot 23CV","32","Yves Giraud-Cabantous","France","Yves Giraud-Cabantous","Talbot-Lago T26C","Talbot 23CV","french-grand-prix",1951
"10","32","Harry Schell","USA","Scuderia Enrico Platé","Maserati 4CLT-48","Maserati 4CL","34","Philippe Etancelin","France","Philippe Etancelin","Talbot-Lago T26C-DA","Talbot 23CV","french-grand-prix",1951
"11","36","Aldo Gordini","France","Equipe Gordini","Simca-Gordini T11","Simca-Gordini 16","36","Johnny Claes","Belgium","Ecurie Belge","Talbot-Lago T26C-DA","Talbot 23CV","french-grand-prix",1951
"12","40","Guy Mairesse","France","Yves Giraud-Cabantous","Talbot-Lago T26C","Talbot 23CV","44","Eugene Chaboud","France","Eugene Chaboud","Talbot-Lago T26C-GS","Talbot 23CV","french-grand-prix",1951
"13","50","Onofre Marimon","Argentina","Scuderia Milano","Maserati 4CLT-50","Milano","2","Nino Farina","Italy","Alfa Romeo SpA","Alfa Romeo 159","Alfa Romeo 158","french-grand-prix",1951
