"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","gp_name","year"
"1","1","36","Stirling Moss","Great Britain","Rob Walker Racing Team","","1:36.900","","","","","","argentine-grand-prix",1960
"2","2","20","Innes Ireland","Great Britain","Team Lotus","","1:38.500","+ 1.600","+ 1.600","","","","argentine-grand-prix",1960
"3","3","42","Graham Hill","Great Britain","Owen Racing Organisation","","1:38.900","+ 2.000","+ 0.400","","","","argentine-grand-prix",1960
"4","4","40","Jo Bonnier","Sweden","Owen Racing Organisation","","1:38.900","+ 2.000","+ 0.400","","","","argentine-grand-prix",1960
"5","5","30","Wolfgang von Trips","Germany","Scuderia Ferrari","","1:39.200","+ 2.300","+ 0.300","","","","argentine-grand-prix",1960
"6","6","26","Phil Hill","USA","Scuderia Ferrari","","1:39.300","+ 2.400","+ 0.100","","","","argentine-grand-prix",1960
"7","7","24","Cliff Allison","Great Britain","Scuderia Ferrari","","1:39.700","+ 2.800","+ 0.400","","","","argentine-grand-prix",1960
"8","8","38","Maurice Trintignant","France","Rob Walker Racing Team","","1:39.900","+ 3.000","+ 0.200","","","","argentine-grand-prix",1960
"9","9","34","Harry Schell","USA","Ecurie Bleue","","1:40.300","+ 3.400","+ 0.400","","","","argentine-grand-prix",1960
"10","10","18","Jack Brabham","Australia","Cooper Car Co","","1:40.600","+ 3.700","+ 0.300","","","","argentine-grand-prix",1960
"11","11","32","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","","1:41.000","+ 4.100","+ 0.400","","","","argentine-grand-prix",1960
"12","12","6","Carlos Menditeguy","Argentina","Cooper","","1:41.800","+ 4.900","+ 0.800","","","","argentine-grand-prix",1960
"13","13","16","Bruce McLaren","New Zealand","Cooper Car Co","","1:41.800","+ 4.900","+ 0.800","","","","argentine-grand-prix",1960
"14","14","22","Alan Stacey","Great Britain","Team Lotus","","1:43.600","+ 6.700","+ 1.800","","","","argentine-grand-prix",1960
"15","15","46","Alberto Rodriguez Larreta","Argentina","Team Lotus","","1:45.000","+ 8.100","+ 1.400","","","","argentine-grand-prix",1960
"16","16","2","Masten Gregory","USA","Camoradi International","","1:45.500","+ 8.600","+ 0.500","","","","argentine-grand-prix",1960
"17","17","4","Roberto Bonomi","Argentina","Scuderia Centro Sud","","1:46.100","+ 9.200","+ 0.600","","","","argentine-grand-prix",1960
"18","18","8","Giorgio Scarlatti","Italy","Giorgio Scarlatti","","1:46.100","+ 9.200","","","","","argentine-grand-prix",1960
"19","19","14","Gino Munaron","Italy","Gino Munaron","","1:49.000","+ 12.100","+ 2.900","","","","argentine-grand-prix",1960
"20","20","10","Nasif Estefano","Argentina","Scuderia Centro Sud","","1:50.100","+ 13.200","+ 1.100","","","","argentine-grand-prix",1960
"21","21","44","Ettore Chimeri","Venezuela","Ettore Chimeri","","1:50.500","+ 13.600","+ 0.400","","","","argentine-grand-prix",1960
"22","22","12","Antonio Creus","Spain","Antonio Creus","","1:52.800","+ 15.900","+ 2.300","","","","argentine-grand-prix",1960
"23","1","20","Phil Hill","USA","Scuderia Ferrari","","2:41.400","","","","","","italian-grand-prix",1960
"24","2","18","Richie Ginther","USA","Scuderia Ferrari","","2:43.300","+ 1.900","+ 1.900","","","","italian-grand-prix",1960
"25","3","16","Willy Mairesse","Belgium","Scuderia Ferrari","","2:43.900","+ 2.500","+ 0.600","","","","italian-grand-prix",1960
"26","4","2","Giulio Cabianca","Italy","Cooper","","2:49.300","+ 7.900","+ 5.400","","","","italian-grand-prix",1960
"27","5","36","Giorgio Scarlatti","Italy","Scuderia Eugenio Castellotti","","2:49.700","+ 8.300","+ 0.400","","","","italian-grand-prix",1960
"28","6","22","Wolfgang von Trips","Germany","Scuderia Ferrari","","2:51.900","+ 10.500","+ 2.200","","","","italian-grand-prix",1960
"29","7","6","Brian Naylor","Great Britain","","","2:52.400","+ 11.000","+ 0.500","","","","italian-grand-prix",1960
"30","8","4","Gino Munaron","Italy","Scuderia Eugenio Castellotti","","2:53.100","+ 11.700","+ 0.700","","","","italian-grand-prix",1960
"31","9","34","Alfonso Thiele","Italy","Scuderia Centro Sud","","2:55.600","+ 14.200","+ 2.500","","","","italian-grand-prix",1960
"32","10","26","Hans Herrmann","Germany","Porsche System Engineering","","2:58.300","+ 16.900","+ 2.700","","","","italian-grand-prix",1960
"33","11","8","Arthur Owen","Great Britain","Arthur Owen","","3:01.500","+ 20.100","+ 3.200","","","","italian-grand-prix",1960
"34","12","24","Edgar Barth","Germany","Dr Ing F Porsche KG","","3:02.100","+ 20.700","+ 0.600","","","","italian-grand-prix",1960
"35","13","10","Wolfgang Seidel","Germany","Wolfgang Seidel","","3:07.000","+ 25.600","+ 4.900","","","","italian-grand-prix",1960
"36","14","28","Fred Gamble","USA","Camoradi International","","3:10.600","+ 29.200","+ 3.600","","","","italian-grand-prix",1960
"37","15","12","Piero Drogo","Italy","Scuderia Colonia","","3:11.900","+ 30.500","+ 1.300","","","","italian-grand-prix",1960
"38","16","30","Vic Wilson","Great Britain","Equipe Prideaux/Dick Gibson","","3:16.500","+ 35.100","+ 4.600","","","","italian-grand-prix",1960
"39","17","14","Horace Gould","Great Britain","H H Gould","","","","","","","","italian-grand-prix",1960
"40","1","5","Stirling Moss","Great Britain","Rob Walker Racing Team","","1:55.400","+ 0.400","+ 0.200","","","","united-states-grand-prix",1960
"41","2","2","Jack Brabham","Australia","Cooper Car Co","","1:55.000","","","","","","united-states-grand-prix",1960
"42","3","16","Dan Gurney","USA","Owen Racing Organisation","","1:55.200","+ 0.200","+ 0.200","","","","united-states-grand-prix",1960
"43","4","15","Jo Bonnier","Sweden","Owen Racing Organisation","","1:55.600","+ 0.200","+ 0.400","","","","united-states-grand-prix",1960
"44","5","12","Jim Clark","Great Britain","Team Lotus","","1:55.600","+ 0.200","+ 0.200","","","","united-states-grand-prix",1960
"45","6","11","John Surtees","Great Britain","Team Lotus","","1:56.600","+ 1.200","+ 1.000","","","","united-states-grand-prix",1960
"46","7","10","Innes Ireland","Great Britain","Team Lotus","","1:57.000","+ 1.600","+ 0.400","","","","united-states-grand-prix",1960
"47","8","7","Olivier Gendebien","Belgium","BRP","","1:57.200","+ 1.800","+ 0.200","","","","united-states-grand-prix",1960
"48","9","6","Tony Brooks","Great Britain","Yeoman Credit Racing Team","","1:57.200","+ 1.800","+ 0.200","","","","united-states-grand-prix",1960
"49","10","3","Bruce McLaren","New Zealand","Cooper Car Co","","1:57.400","+ 2.000","+ 0.200","","","","united-states-grand-prix",1960
"50","11","17","Graham Hill","Great Britain","Owen Racing Organisation","","1:57.600","+ 2.200","+ 0.200","","","","united-states-grand-prix",1960
"51","12","24","Jim Hall","USA","Jim Hall","","1:58.200","+ 2.800","+ 0.600","","","","united-states-grand-prix",1960
"52","13","9","Phil Hill","USA","Yeoman Credit Racing Team","","1:58.800","+ 3.400","+ 0.600","","","","united-states-grand-prix",1960
"53","14","8","Henry Taylor","Great Britain","Yeoman Credit Racing Team","","1:59.000","+ 3.600","+ 0.200","","","","united-states-grand-prix",1960
"54","15","14","Roy Salvadori","Great Britain","High Efficiency Motors","","1:59.600","+ 4.200","+ 0.600","","","","united-states-grand-prix",1960
"55","16","26","Wolfgang von Trips","Germany","Scuderia Centro Sud","","2:01.400","+ 6.000","+ 1.800","","","","united-states-grand-prix",1960
"56","17","21","Brian Naylor","Great Britain","","","2:02.200","+ 6.800","+ 0.800","","","","united-states-grand-prix",1960
"57","18","23","Chuck Daigh","USA","","","2:02.600","+ 7.200","+ 0.400","","","","united-states-grand-prix",1960
"58","19","18","Maurice Trintignant","France","Scuderia Centro Sud","","2:03.200","+ 7.800","+ 0.600","","","","united-states-grand-prix",1960
"59","20","25","Pete Lovely","USA","Fred Armbruster","","2:03.400","+ 8.000","+ 0.200","","","","united-states-grand-prix",1960
"60","21","4","Ron Flockhart","Great Britain","Cooper Car Co","","2:04.400","+ 9.000","+ 1.000","","","","united-states-grand-prix",1960
"61","22","20","Bob Drake","USA","Joe Lubin","","2:05.400","+ 10.000","+ 1.000","","","","united-states-grand-prix",1960
"62","23","19","Ian Burgess","Great Britain","Scuderia Centro Sud","","2:06.600","+ 11.200","+ 1.200","","","","united-states-grand-prix",1960
"63","1","6","Eddie Sachs","USA","Dean Van Lines","","4:05.580","+ 4.060","+ 4.060","","","","indianapolis-500",1960
"64","2","4","Jim Rathmann","USA","Ken-Paul Inc","","4:05.950","+ 0.370","+ 0.370","","","","indianapolis-500",1960
"65","3","1","Rodger Ward","USA","Leader Cards Inc","","4:07.320","+ 1.740","+ 1.370","","","","indianapolis-500",1960
"66","4","97","Dick Rathmann","USA","Jim Robbins","","4:07.350","+ 1.770","+ 0.030","","","","indianapolis-500",1960
"67","5","9","Len Sutton","USA","Peter Salemi & Nick Rini","","4:07.520","+ 1.940","+ 0.170","","","","indianapolis-500",1960
"68","6","28","Troy Ruttman","USA","John Zink","","4:07.650","+ 2.070","+ 0.130","","","","indianapolis-500",1960
"69","7","22","Eddie Johnson","USA","Jim Robbins","","4:08.270","+ 2.690","+ 0.620","","","","indianapolis-500",1960
"70","8","7","Don Branson","USA","Bob Estes","","4:08.700","+ 3.120","+ 0.430","","","","indianapolis-500",1960
"71","9","65","Chuck Stevenson","USA","Leader Cards Inc","","4:08.850","+ 3.270","+ 0.150","","","","indianapolis-500",1960
"72","10","10","Jimmy Bryan","USA","George Salih","","4:09.080","+ 3.500","+ 0.230","","","","indianapolis-500",1960
"73","11","73","Don Freeland","USA","Racing Associates","","4:09.390","+ 3.810","+ 0.310","","","","indianapolis-500",1960
"74","12","98","Lloyd Ruby","USA","J C Agajanian","","4:09.640","+ 4.060","+ 0.250","","","","indianapolis-500",1960
"75","13","8","Johnny Boyd","USA","Bignotti-Bowes Racing","","4:10.400","+ 4.820","+ 0.760","","","","indianapolis-500",1960
"76","14","38","Bob Christie","USA","Federal Auto Associates","","4:10.630","+ 5.050","+ 0.230","","","","indianapolis-500",1960
"77","15","32","Wayne Weiler","USA","Ansted Rotary Corp","","4:10.850","+ 5.270","+ 0.220","","","","indianapolis-500",1960
"78","16","5","A.J. Foyt","USA","Bignotti-Bowes Racing","","4:10.930","+ 5.350","+ 0.080","","","","indianapolis-500",1960
"79","17","3","Johnny Thomson","USA","Racing Associates","","4:05.830","+ 0.250","+ 0.250","","","","indianapolis-500",1960
"80","18","2","Tony Bettenhausen","USA","Lindsey Hopkins","","4:07.910","+ 2.330","+ 2.080","","","","indianapolis-500",1960
"81","19","26","Shorty Templeman","USA","Federal Auto Associates","","4:10.250","+ 4.670","+ 2.340","","","","indianapolis-500",1960
"82","20","37","Gene Force","USA","Roy McKay","","4:10.920","+ 5.340","+ 0.670","","","","indianapolis-500",1960
"83","21","14","Bobby Grim","USA","William P Forbes","","4:11.470","+ 5.890","+ 0.550","","","","indianapolis-500",1960
"84","22","27","Red Amick","USA","Leonard A Faas","","4:11.600","+ 6.020","+ 0.130","","","","indianapolis-500",1960
"85","23","56","Jim Hurtubise","USA","Ernest L Ruiz","","4:01.520","","","","","","indianapolis-500",1960
"86","24","48","Gene Hartley","USA","Chapman S Root","","4:10.180","+ 4.600","+ 8.660","","","","indianapolis-500",1960
"87","25","44","Bob Veith","USA","Peter Schmidt","","4:11.110","+ 5.530","+ 0.930","","","","indianapolis-500",1960
