"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","gp_name","year"
"1","1","23","Jerry Hoyt","USA","Jim Robbins","","4:17.060","+ 4.570","+ 0.130","","","","indianapolis-500",1955
"2","2","10","Tony Bettenhausen","USA","H A Chapman","","4:17.170","+ 0.110","+ 0.110","","","","indianapolis-500",1955
"3","3","3","Jack McGrath","USA","Jack B Hinkle","","4:12.490","","","","","","indianapolis-500",1955
"4","4","14","Fred Agabashian","USA","Federal Auto Associates","","4:13.640","+ 1.150","+ 1.150","","","","indianapolis-500",1955
"5","5","4","Bill Vukovich","USA","Lindsey Hopkins","","4:15.190","+ 2.700","+ 1.550","","","","indianapolis-500",1955
"6","6","8","Sam Hanks","USA","Cars Inc","","4:16.800","+ 4.310","+ 1.610","","","","indianapolis-500",1955
"7","7","77","Walt Faulkner","USA","Merz Engineering Inc","","4:17.580","+ 0.520","+ 0.780","","","","indianapolis-500",1955
"8","8","19","Andy Linden","USA","Joseph Massaglia Jr","","4:18.810","+ 1.750","+ 1.230","","","","indianapolis-500",1955
"9","9","22","Cal Niday","USA","Racing Associates","","4:16.590","+ 4.100","+ 1.400","","","","indianapolis-500",1955
"10","10","15","Jimmy Davies","USA","Pat Clancy","","4:16.640","+ 4.150","+ 0.050","","","","indianapolis-500",1955
"11","11","1","Jimmy Bryan","USA","A E Dean","","4:16.850","+ 4.360","+ 0.210","","","","indianapolis-500",1955
"12","12","89","Pat Flaherty","USA","Harry Dunn","","4:16.870","+ 4.380","+ 0.020","","","","indianapolis-500",1955
"13","13","37","Eddie Russo","USA","R N Sabourin","","4:16.930","+ 4.440","+ 0.060","","","","indianapolis-500",1955
"14","14","6","Bob Sweikert","USA","John Zink","","4:17.150","+ 0.090","+ 0.220","","","","indianapolis-500",1955
"15","15","5","Jimmy Reece","USA","Emmett J Malloy","","4:17.160","+ 0.100","+ 0.010","","","","indianapolis-500",1955
"16","16","71","Al Herman","USA","T W & W T Martin","","4:17.490","+ 0.430","+ 0.330","","","","indianapolis-500",1955
"17","17","48","Jimmy Daywalt","USA","Chapman S Root","","4:19.220","+ 2.160","+ 1.730","","","","indianapolis-500",1955
"18","18","98","Duane Carter","USA","J C Agajanian","","4:19.380","+ 2.320","+ 0.160","","","","indianapolis-500",1955
"19","19","29","Pat O'Connor","USA","Rotary Engineering Corp","","4:18.630","+ 1.570","+ 0.020","","","","indianapolis-500",1955
