"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","gp_name","year"
"1","1","97","Dick Rathmann","USA","Kalamazoo Sports Inc","","4:06.620","","","","","","indianapolis-500",1958
"2","2","5","Ed Elisian","USA","Ellen McKinney Zink","","4:06.700","+ 0.080","+ 0.080","","","","indianapolis-500",1958
"3","3","16","Jimmy Reece","USA","John Zink","","4:07.400","+ 0.780","+ 0.700","","","","indianapolis-500",1958
"4","4","14","Bob Veith","USA","Robert M Bowes II","","4:08.480","+ 1.860","+ 1.080","","","","indianapolis-500",1958
"5","5","4","Pat O'Connor","USA","Chapman S Root","","4:08.580","+ 1.960","+ 0.100","","","","indianapolis-500",1958
"6","6","45","Johnnie Parsons","USA","Fred Gerhardt","","4:08.820","+ 2.200","+ 0.240","","","","indianapolis-500",1958
"7","7","1","Jimmy Bryan","USA","George Salih","","4:09.680","+ 3.060","+ 0.860","","","","indianapolis-500",1958
"8","8","9","Johnny Boyd","USA","Robert M Bowes II","","4:09.960","+ 3.340","+ 0.280","","","","indianapolis-500",1958
"9","9","33","Tony Bettenhausen","USA","Cars Inc","","4:10.140","+ 3.520","+ 0.180","","","","indianapolis-500",1958
"10","10","25","Jack Turner","USA","Joseph Massaglia Jr","","4:10.980","+ 4.360","+ 0.840","","","","indianapolis-500",1958
"11","11","8","Rodger Ward","USA","Roger Wolcott","","4:11.280","+ 4.660","+ 0.300","","","","indianapolis-500",1958
"12","12","29","A.J. Foyt","USA","Dean Van Lines","","4:11.520","+ 4.900","+ 0.240","","","","indianapolis-500",1958
"13","13","26","Don Freeland","USA","Bob Estes","","4:11.690","+ 5.070","+ 0.170","","","","indianapolis-500",1958
"14","14","15","Paul Russo","USA","Novi Racing Corp","","4:11.820","+ 5.200","+ 0.130","","","","indianapolis-500",1958
"15","15","43","Billy Garrett","USA","H A Chapman","","4:12.140","+ 5.520","+ 0.320","","","","indianapolis-500",1958
"16","16","31","Paul Goldsmith","USA","Henry Yunik","","4:12.200","+ 5.580","+ 0.060","","","","indianapolis-500",1958
"17","17","65","Bob Christie","USA","Federal Auto Associates","","4:13.070","+ 6.450","+ 0.870","","","","indianapolis-500",1958
