"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","gp_name","year"
"1","1","2","Nino Farina","Italy","Alfa Romeo SpA","","1:50.800","","","151.063","","","british-grand-prix",1950
"2","2","3","Luigi Fagioli","Italy","Alfa Romeo SpA","","1:51.000","+ 0.200","+ 0.200","150.791","","","british-grand-prix",1950
"3","3","1","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","","1:51.000","+ 0.200","","150.791","","","british-grand-prix",1950
"4","4","4","Reg Parnell","Great Britain","Alfa Romeo SpA","","1:52.200","+ 1.400","+ 1.200","149.178","","","british-grand-prix",1950
"5","5","21","Prince Bira","Thailand","Enrico Plate","","1:52.600","+ 1.800","+ 0.400","148.648","","","british-grand-prix",1950
"6","6","14","Yves Giraud-Cabantous","France","Automobiles Talbot-Darracq","","1:53.400","+ 2.600","+ 0.800","147.600","","","british-grand-prix",1950
"7","7","17","Eugene Martin","France","Automobiles Talbot-Darracq","","1:55.400","+ 4.600","+ 2.000","145.041","","","british-grand-prix",1950
"8","8","20","Emmanuel de Graffenried","Switzerland","Enrico Plate","","1:55.800","+ 5.000","+ 0.400","144.540","","","british-grand-prix",1950
"9","9","15","Louis Rosier","France","Automobiles Talbot-Darracq","","1:56.000","+ 5.200","+ 0.200","144.291","","","british-grand-prix",1950
"10","10","9","Peter Walker","Great Britain","Peter Walker","","1:56.600","+ 5.800","+ 0.600","143.549","","","british-grand-prix",1950
"11","11","19","Louis Chiron","Monaco","Officine Alfieri Maserati","","1:56.600","+ 5.800","","143.549","","","british-grand-prix",1950
"12","12","8","Leslie Johnson","Great Britain","T A S O Mathieson","","1:57.400","+ 6.600","+ 0.800","142.571","","","british-grand-prix",1950
"13","13","12","Bob Gerard","Great Britain","Bob Gerard","","1:57.400","+ 6.600","","142.571","","","british-grand-prix",1950
"14","14","16","Philippe Etancelin","France","Automobiles Talbot-Darracq","","1:57.800","+ 7.000","+ 0.400","142.086","","","british-grand-prix",1950
"15","15","11","Cuth Harrison","Great Britain","Cuth Harrison","","1:58.400","+ 7.600","+ 0.600","141.366","","","british-grand-prix",1950
"16","16","6","David Hampshire","Great Britain","Scuderia Ambrosiana","","2:01.000","+ 10.200","+ 2.600","138.329","","","british-grand-prix",1950
"17","17","24","Geoff Crossley","Great Britain","Geoffrey Crossley","","2:02.600","+ 11.800","+ 1.600","136.523","","","british-grand-prix",1950
"18","18","5","David Murray","Great Britain","Scuderia Ambrosiana","","2:05.600","+ 14.800","+ 3.000","133.263","","","british-grand-prix",1950
"19","19","23","Joe Kelly","Ireland","Joe Kelly","","2:06.200","+ 15.400","+ 0.600","132.629","","","british-grand-prix",1950
"20","20","10","Joe Fry","Great Britain","Joe Fry","","2:07.000","+ 16.200","+ 0.800","131.794","","","british-grand-prix",1950
"21","21","18","Johnny Claes","Belgium","Ecurie Belge","","2:08.800","+ 18.000","+ 1.800","129.952","","","british-grand-prix",1950
"22","1","34","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","","1:50.200","","","103.883","","","monaco-grand-prix",1950
"23","2","32","Nino Farina","Italy","Alfa Romeo SpA","","1:52.800","+ 2.600","+ 2.600","101.489","","","monaco-grand-prix",1950
"24","3","2","Jose Froilan Gonzalez","Argentina","Scuderia Achille Varzi","","1:53.700","+ 3.500","+ 0.900","100.686","","","monaco-grand-prix",1950
"25","4","14","Philippe Etancelin","France","Philippe Etancelin","","1:54.100","+ 3.900","+ 0.400","100.333","","","monaco-grand-prix",1950
"26","5","36","Luigi Fagioli","Italy","Alfa Romeo SpA","","1:54.200","+ 4.000","+ 0.100","100.245","","","monaco-grand-prix",1950
"27","6","38","Luigi Villoresi","Italy","Scuderia Ferrari","","1:52.300","+ 2.100","","101.941","","","monaco-grand-prix",1950
"28","7","40","Alberto Ascari","Italy","Scuderia Ferrari","","1:53.800","+ 3.600","+ 1.500","100.597","","","monaco-grand-prix",1950
"29","8","48","Louis Chiron","Monaco","Officine Alfieri Maserati","","1:56.300","+ 6.100","+ 2.500","98.435","","","monaco-grand-prix",1950
"30","9","42","Raymond Sommer","France","Scuderia Ferrari","","1:56.600","+ 6.400","+ 0.300","98.181","","","monaco-grand-prix",1950
"31","10","16","Louis Rosier","France","Ecurie Rosier","","1:57.700","+ 7.500","+ 1.100","97.264","","","monaco-grand-prix",1950
"32","11","10","Robert Manzon","France","Equipe Gordini","","2:04.000","+ 13.800","+ 6.300","92.322","","","monaco-grand-prix",1950
"33","12","52","Emmanuel de Graffenried","Switzerland","Enrico Plate","","2:00.700","+ 10.500","","94.846","","","monaco-grand-prix",1950
"34","13","12","Maurice Trintignant","France","Equipe Gordini","","2:19.400","+ 29.200","+ 18.700","82.123","","","monaco-grand-prix",1950
"35","14","24","Cuth Harrison","Great Britain","Cuth Harrison","","2:01.600","+ 11.400","","94.144","","","monaco-grand-prix",1950
"36","15","50","Prince Bira","Thailand","Enrico Plate","","2:02.200","+ 12.000","+ 0.600","93.682","","","monaco-grand-prix",1950
"37","16","26","Bob Gerard","Great Britain","Bob Gerard","","2:03.400","+ 13.200","+ 1.200","92.771","","","monaco-grand-prix",1950
"38","17","44","Franco Rol","Italy","Officine Alfieri Maserati","","2:04.500","+ 14.300","+ 1.100","91.951","","","monaco-grand-prix",1950
"39","18","6","Johnny Claes","Belgium","Ecurie Belge","","2:12.000","+ 21.800","+ 7.500","86.727","","","monaco-grand-prix",1950
"40","19","8","Harry Schell","USA","Horschell Racing Corporation","","","","","","","","monaco-grand-prix",1950
"41","1","98","Walt Faulkner","USA","J C Agajanian","","4:27.970","","","216.206","","","indianapolis-500",1950
"42","2","28","Fred Agabashian","USA","Kurtis Kraft Inc","","4:31.100","+ 3.130","+ 3.130","213.710","","","indianapolis-500",1950
"43","3","31","Mauri Rose","USA","Howard Keck Co","","4:32.070","+ 4.100","+ 0.970","212.948","","","indianapolis-500",1950
