"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","gp_name","year"
"1","1","10","Juan Manuel Fangio","Argentina","Scuderia Ferrari","","2:23.300","","","","","","french-grand-prix",1956
"2","2","12","Eugenio Castellotti","Italy","Scuderia Ferrari","","2:24.600","+ 1.300","+ 1.300","","","","french-grand-prix",1956
"3","3","14","Peter Collins","Great Britain","Scuderia Ferrari","","2:25.600","+ 2.300","+ 1.000","","","","french-grand-prix",1956
"4","4","22","Harry Schell","USA","Vandervell Products Ltd","","2:26.100","+ 2.800","+ 0.500","","","","french-grand-prix",1956
"5","5","26","Colin Chapman","Great Britain","Vandervell Products Ltd","","2:26.800","+ 3.500","+ 0.700","","","","french-grand-prix",1956
"6","6","24","Mike Hawthorn","Great Britain","Vandervell Products Ltd","","2:27.000","+ 3.700","+ 0.200","","","","french-grand-prix",1956
"7","7","4","Jean Behra","France","Officine Alfieri Maserati","","2:27.800","+ 4.500","+ 0.800","","","","french-grand-prix",1956
"8","8","2","Stirling Moss","Great Britain","Officine Alfieri Maserati","","2:29.900","+ 6.600","+ 2.100","","","","french-grand-prix",1956
"9","9","16","Alfonso de Portago","Spain","Scuderia Ferrari","","2:30.900","+ 7.600","+ 1.000","","","","french-grand-prix",1956
"10","10","38","Luigi Villoresi","Italy","L Piotti","","2:33.300","+ 10.000","+ 2.400","","","","french-grand-prix",1956
"11","11","44","Olivier Gendebien","Belgium","Scuderia Ferrari","","2:34.500","+ 11.200","+ 1.200","","","","french-grand-prix",1956
"12","12","36","Louis Rosier","France","Ecurie Rosier","","2:35.300","+ 12.000","+ 0.800","","","","french-grand-prix",1956
"13","13","8","Piero Taruffi","Italy","Officine Alfieri Maserati","","2:35.600","+ 12.300","+ 0.300","","","","french-grand-prix",1956
"14","14","32","Nano da Silva Ramos","Brazil","Equipe Gordini","","2:35.900","+ 12.600","+ 0.300","","","","french-grand-prix",1956
"15","15","30","Robert Manzon","France","Equipe Gordini","","2:36.000","+ 12.700","+ 0.100","","","","french-grand-prix",1956
"16","16","6","Cesare Perdisa","Italy","Officine Alfieri Maserati","","2:36.400","+ 13.100","+ 0.400","","","","french-grand-prix",1956
"17","17","40","Paco Godia","Spain","Officine Alfieri Maserati","","2:40.000","+ 16.700","+ 3.600","","","","french-grand-prix",1956
"18","18","28","Maurice Trintignant","France","Automobiles Bugatti","","2:41.900","+ 18.600","+ 1.900","","","","french-grand-prix",1956
"19","19","34","Andre Pilette","Belgium","Equipe Gordini","","2:46.800","+ 23.500","+ 4.900","","","","french-grand-prix",1956
"20","20","42","Andre Simon","France","A Simon","","2:47.900","+ 24.600","+ 1.100","","","","french-grand-prix",1956
"21","1","1","Juan Manuel Fangio","Argentina","Scuderia Ferrari","","9:59.200","+ 4.800","+ 4.800","","","","german-grand-prix",1956
"22","2","2","Peter Collins","Great Britain","Scuderia Ferrari","","9:59.500","+ 0.300","+ 0.300","","","","german-grand-prix",1956
"23","3","3","Eugenio Castellotti","Italy","Scuderia Ferrari","","9:54.400","","","","","","german-grand-prix",1956
"24","4","7","Stirling Moss","Great Britain","Officine Alfieri Maserati","","10:03.400","+ 4.200","+ 9.000","","","","german-grand-prix",1956
"25","5","4","Luigi Musso","Italy","Scuderia Ferrari","","10:20.300","+ 21.100","+ 16.900","","","","german-grand-prix",1956
"26","6","8","Cesare Perdisa","Italy","Officine Alfieri Maserati","","","","","","","","german-grand-prix",1956
"27","7","8","Umberto Maglioli","Italy","Officine Alfieri Maserati","","10:26.700","+ 27.500","+ 6.400","","","","german-grand-prix",1956
"28","8","6","Jean Behra","France","Officine Alfieri Maserati","","10:31.600","+ 32.400","+ 4.900","","","","german-grand-prix",1956
"29","9","16","Roy Salvadori","Great Britain","Gilby Engineering","","10:32.400","+ 33.200","+ 0.800","","","","german-grand-prix",1956
"30","10","5","Alfonso de Portago","Spain","Scuderia Ferrari","","10:37.100","+ 37.900","+ 4.700","","","","german-grand-prix",1956
"31","11","21","Bruce Halford","Great Britain","B Halford","","11:04.100","+ 1:04.900","+ 27.000","","","","german-grand-prix",1956
"32","12","12","Harry Schell","USA","Scuderia Centro Sud","","11:16.500","+ 1:17.300","+ 12.400","","","","german-grand-prix",1956
"33","13","19","Horace Gould","Great Britain","H H Gould","","11:32.200","+ 1:33.000","+ 15.700","","","","german-grand-prix",1956
"34","14","15","Louis Rosier","France","Ecurie Rosier","","11:39.000","+ 1:39.800","+ 6.800","","","","german-grand-prix",1956
"35","15","10","Robert Manzon","France","Equipe Gordini","","11:55.800","+ 1:56.600","+ 16.800","","","","german-grand-prix",1956
"36","16","20","Paco Godia","Spain","Officine Alfieri Maserati","","11:57.600","+ 1:58.400","+ 1.800","","","","german-grand-prix",1956
"37","17","14","Giorgio Scarlatti","Italy","Scuderia Centro Sud","","13:05.200","+ 3:06.000","+ 1:07.600","","","","german-grand-prix",1956
"38","18","11","Andre Pilette","Belgium","Equipe Gordini","","","","","","","","german-grand-prix",1956
"39","19","22","Ottorino Volonterio","Switzerland","Ottorino Volonterio","","14:17.100","+ 4:17.900","+ 1:11.900","","","","german-grand-prix",1956
"40","20","18","Luigi Villoresi","Italy","L Piotti","","","","","","","","german-grand-prix",1956
"41","21","11","Andre Milhoux","Belgium","Equipe Gordini","","","","","","","","german-grand-prix",1956
"42","22","18","Luigi Piotti","Italy","L Piotti","","","","","","","","german-grand-prix",1956
"43","1","7","Stirling Moss","Great Britain","Officine Alfieri Maserati","","1:41.000","","","","","","british-grand-prix",1956
"44","2","1","Juan Manuel Fangio","Argentina","Scuderia Ferrari","","1:41.000","","","","","","british-grand-prix",1956
"45","3","23","Mike Hawthorn","Great Britain","Owen Racing Organisation","","1:43.000","+ 2.000","+ 2.000","","","","british-grand-prix",1956
