"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","gp_name","year"
"1","1","10","Alberto Ascari","Italy","Scuderia Ferrari","","3:35.400","","","","","","argentine-grand-prix",1953
"2","2","2","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","","3:36.100","+ 0.700","+ 0.700","","","","argentine-grand-prix",1953
"3","3","14","Luigi Villoresi","Italy","Scuderia Ferrari","","3:36.500","+ 1.100","+ 0.400","","","","argentine-grand-prix",1953
"4","4","12","Nino Farina","Italy","Scuderia Ferrari","","3:37.100","+ 1.700","+ 0.600","","","","argentine-grand-prix",1953
"5","5","4","Jose Froilan Gonzalez","Argentina","Officine Alfieri Maserati","","3:38.500","+ 3.100","+ 1.400","","","","argentine-grand-prix",1953
"6","6","16","Mike Hawthorn","Great Britain","Scuderia Ferrari","","3:39.400","+ 4.000","+ 0.900","","","","argentine-grand-prix",1953
"7","7","28","Maurice Trintignant","France","Equipe Gordini","","3:40.400","+ 5.000","+ 1.000","","","","argentine-grand-prix",1953
"8","8","26","Robert Manzon","France","Equipe Gordini","","3:40.900","+ 5.500","+ 0.500","","","","argentine-grand-prix",1953
"9","9","8","Oscar Galvez","Argentina","Officine Alfieri Maserati","","3:41.300","+ 5.900","+ 0.400","","","","argentine-grand-prix",1953
"10","10","32","Carlos Menditeguy","Argentina","Equipe Gordini","","3:41.800","+ 6.400","+ 0.500","","","","argentine-grand-prix",1953
"11","11","30","Jean Behra","France","Equipe Gordini","","3:42.600","+ 7.200","+ 0.800","","","","argentine-grand-prix",1953
"12","12","20","Alan Brown","Great Britain","Cooper Car Co","","3:43.200","+ 7.800","+ 0.600","","","","argentine-grand-prix",1953
"13","13","24","Adolfo Schwelm Cruz","Argentina","Cooper Car Co","","3:43.700","+ 8.300","+ 0.500","","","","argentine-grand-prix",1953
"14","14","34","Pablo Birger","Argentina","Equipe Gordini","","3:43.800","+ 8.400","+ 0.100","","","","argentine-grand-prix",1953
"15","15","6","Felice Bonetto","Italy","Officine Alfieri Maserati","","3:44.200","+ 8.800","+ 0.400","","","","argentine-grand-prix",1953
"16","16","22","John Barber","Great Britain","Cooper Car Co","","3:46.800","+ 11.400","+ 2.600","","","","argentine-grand-prix",1953
"17","1","32","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","","2:40.100","","","163.697","","","swiss-grand-prix",1953
"18","2","46","Alberto Ascari","Italy","Scuderia Ferrari","","2:40.700","+ 0.600","+ 0.600","163.086","","","swiss-grand-prix",1953
"19","3","24","Nino Farina","Italy","Scuderia Ferrari","","2:42.600","+ 2.500","+ 1.900","161.180","","","swiss-grand-prix",1953
"20","4","8","Maurice Trintignant","France","Equipe Gordini","","2:43.800","+ 3.700","+ 1.200","160.000","","","swiss-grand-prix",1953
"21","5","36","Onofre Marimon","Argentina","Officine Alfieri Maserati","","2:44.500","+ 4.400","+ 0.700","159.319","","","swiss-grand-prix",1953
"22","6","28","Luigi Villoresi","Italy","Scuderia Ferrari","","2:44.600","+ 4.500","+ 0.100","159.222","","","swiss-grand-prix",1953
"23","7","26","Mike Hawthorn","Great Britain","Scuderia Ferrari","","2:48.100","+ 8.000","+ 3.500","155.907","","","swiss-grand-prix",1953
"24","8","42","Emmanuel de Graffenried","Switzerland","Emmanuel de Graffenried","","2:49.900","+ 9.800","+ 1.800","154.255","","","swiss-grand-prix",1953
"25","9","20","Ken Wharton","Great Britain","Ken Wharton","","2:51.500","+ 11.400","+ 1.600","152.816","","","swiss-grand-prix",1953
"26","10","30","Felice Bonetto","Italy","Officine Alfieri Maserati","","2:52.000","+ 11.900","+ 0.500","152.372","","","swiss-grand-prix",1953
"27","11","34","Hermann Lang","Germany","Officine Alfieri Maserati","","2:54.800","+ 14.700","+ 2.800","149.931","","","swiss-grand-prix",1953
"28","12","6","Jean Behra","France","Equipe Gordini","","2:55.000","+ 14.900","+ 0.200","149.760","","","swiss-grand-prix",1953
"29","13","2","Jacques Swaters","Belgium","Ecurie Francorchamps","","2:55.100","+ 15.000","+ 0.100","149.674","","","swiss-grand-prix",1953
"30","14","10","Louis Rosier","France","Ecurie Rosier","","2:55.400","+ 15.300","+ 0.300","149.418","","","swiss-grand-prix",1953
"31","15","16","Lance Macklin","Great Britain","HW Motors","","2:57.100","+ 17.000","+ 1.700","147.984","","","swiss-grand-prix",1953
"32","16","14","Paul Frere","Belgium","HW Motors","","2:57.900","+ 17.800","+ 0.800","147.318","","","swiss-grand-prix",1953
"33","17","38","Peter Hirt","Switzerland","Ecurie Espadon","","3:01.500","+ 21.400","+ 3.600","144.396","","","swiss-grand-prix",1953
"34","18","18","Albert Scherrer","Switzerland","HW Motors","","3:07.400","+ 27.300","+ 5.900","139.850","","","swiss-grand-prix",1953
"35","19","40","Max de Terra","Switzerland","Ecurie Espadon","","3:21.100","+ 41.000","+ 13.700","130.323","","","swiss-grand-prix",1953
"36","20","4","Chico Landi","Brazil","Escuderia Bandeirantes","","3:29.700","+ 49.600","+ 8.600","124.978","","","swiss-grand-prix",1953
"37","1","14","Bill Vukovich","USA","Howard Keck Co","","4:20.130","","","","","","indianapolis-500",1953
"38","2","59","Fred Agabashian","USA","Grancor Auto Specialists","","4:21.730","+ 1.600","+ 1.600","","","","indianapolis-500",1953
"39","3","5","Jack McGrath","USA","Jack B Hinkle","","4:23.540","+ 3.410","+ 1.810","","","","indianapolis-500",1953
"40","4","88","Manny Ayulo","USA","Peter Schmidt","","4:23.960","+ 3.830","+ 0.420","","","","indianapolis-500",1953
"41","5","32","Andy Linden","USA","Rotary Engineering Corp","","4:24.590","+ 4.460","+ 0.630","","","","indianapolis-500",1953
"42","6","98","Tony Bettenhausen","USA","J C Agajanian","","4:24.660","+ 4.530","+ 0.070","","","","indianapolis-500",1953
"43","7","55","Jerry Hoyt","USA","John Zink","","4:25.230","+ 5.100","+ 0.570","","","","indianapolis-500",1953
"44","8","21","Johnnie Parsons","USA","J S Belond","","4:21.500","+ 1.370","+ 0.380","","","","indianapolis-500",1953
"45","9","3","Sam Hanks","USA","Ed Walsh","","4:21.760","+ 1.630","+ 0.260","","","","indianapolis-500",1953
"46","10","92","Rodger Ward","USA","M A Walker","","4:21.880","+ 1.750","+ 0.120","","","","indianapolis-500",1953
"47","11","29","Bob Scott","USA","Louis & Bruce Bromme","","4:21.950","+ 1.820","+ 0.070","","","","indianapolis-500",1953
"48","12","16","Art Cross","USA","Bessie Lee Paoli","","4:22.180","+ 2.050","+ 0.230","","","","indianapolis-500",1953
"49","13","41","Gene Hartley","USA","J C Agajanian","","4:22.270","+ 2.140","+ 0.090","","","","indianapolis-500",1953
"50","14","23","Walt Faulkner","USA","Eugene A Casaroll","","4:22.550","+ 2.420","+ 0.280","","","","indianapolis-500",1953
"51","15","38","Don Freeland","USA","Bob Estes","","4:23.020","+ 2.890","+ 0.470","","","","indianapolis-500",1953
"52","16","97","Chuck Stevenson","USA","J C Agajanian","","4:23.620","+ 3.490","+ 0.600","","","","indianapolis-500",1953
"53","17","7","Paul Russo","USA","Federal Auto Associates","","4:24.280","+ 4.150","+ 0.660","","","","indianapolis-500",1953
"54","18","62","Spider Webb","USA","3-L Racing Team","","4:24.380","+ 4.250","+ 0.100","","","","indianapolis-500",1953
"55","19","73","Carl Scarborough","USA","Lee Elkins","","4:24.830","+ 4.700","+ 0.450","","","","indianapolis-500",1953
"56","20","12","Ernie McCoy","USA","H A Chapman","","4:24.850","+ 4.720","+ 0.020","","","","indianapolis-500",1953
"57","21","48","Jimmy Daywalt","USA","Chapman S Root","","4:25.200","+ 5.070","+ 0.350","","","","indianapolis-500",1953
"58","22","22","Marshall Teague","USA","Hart Fullerton","","4:25.250","+ 5.120","+ 0.050","","","","indianapolis-500",1953
"59","23","83","Mike Nazaruk","USA","Lee Elkins","","4:25.280","+ 5.150","+ 0.030","","","","indianapolis-500",1953
"60","24","77","Pat Flaherty","USA","Peter Schmidt","","4:25.350","+ 5.220","+ 0.070","","","","indianapolis-500",1953
"61","25","2","Jim Rathmann","USA","Ernest L Ruiz","","4:25.360","+ 5.230","+ 0.010","","","","indianapolis-500",1953
"62","26","9","Duke Nalon","USA","Jean Marcenac","","4:25.760","+ 5.630","+ 0.400","","","","indianapolis-500",1953
"63","27","4","Duane Carter","USA","Murrell Belanger","","4:26.140","+ 6.010","+ 0.380","","","","indianapolis-500",1953
"64","28","49","Bill Holland","USA","Ray Crawford","","4:21.120","+ 0.990","+ 0.990","","","","indianapolis-500",1953
"65","29","51","Bob Sweikert","USA","A E Dean","","4:23.020","+ 2.890","+ 1.900","","","","indianapolis-500",1953
"66","30","99","Cal Niday","USA","Murrell Belanger","","4:24.520","+ 4.390","+ 1.500","","","","indianapolis-500",1953
"67","31","8","Jimmy Bryan","USA","John L McDaniel","","4:25.670","+ 5.540","+ 1.150","","","","indianapolis-500",1953
"68","32","53","Jimmy Davies","USA","Pat Clancy","","4:26.070","+ 5.940","+ 0.400","","","","indianapolis-500",1953
"69","33","56","Johnny Thomson","USA","R N Sabourin","","4:26.150","+ 6.020","+ 0.080","","","","indianapolis-500",1953
"70","1","1","Alberto Ascari","Italy","Scuderia Ferrari","","9:59.800","","","136.905","","","german-grand-prix",1953
