"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","gp_name","year"
"1","1","7","Stirling Moss","Great Britain","R R C Walker Racing Team","","3:00.000","","","","","","united-states-grand-prix",1959
"2","2","8","Jack Brabham","Australia","Cooper Car Co","","3:03.000","+ 3.000","+ 3.000","","","","united-states-grand-prix",1959
"3","3","19","Harry Schell","USA","Ecurie Bleue","","3:05.200","+ 5.200","+ 2.200","","","","united-states-grand-prix",1959
"4","4","2","Tony Brooks","Great Britain","Scuderia Ferrari","","3:05.900","+ 5.900","+ 0.700","","","","united-states-grand-prix",1959
"5","5","6","Maurice Trintignant","France","R R C Walker Racing Team","","3:06.000","+ 6.000","+ 0.100","","","","united-states-grand-prix",1959
"6","6","4","Wolfgang von Trips","Germany","Scuderia Ferrari","","3:06.200","+ 6.200","+ 0.200","","","","united-states-grand-prix",1959
"7","7","3","Cliff Allison","Great Britain","Scuderia Ferrari","","3:06.800","+ 6.800","+ 0.600","","","","united-states-grand-prix",1959
"8","8","5","Phil Hill","USA","Scuderia Ferrari","","3:07.200","+ 7.200","+ 0.400","","","","united-states-grand-prix",1959
"9","9","10","Innes Ireland","Great Britain","Team Lotus","","3:08.200","+ 8.200","+ 1.000","","","","united-states-grand-prix",1959
"10","10","9","Bruce McLaren","New Zealand","Cooper Car Co","","3:08.600","+ 8.600","+ 0.400","","","","united-states-grand-prix",1959
"11","11","12","Roy Salvadori","Great Britain","High Efficiency Motors","","3:12.000","+ 12.000","+ 3.400","","","","united-states-grand-prix",1959
"12","12","11","Alan Stacey","Great Britain","Team Lotus","","3:13.800","+ 13.800","+ 1.800","","","","united-states-grand-prix",1959
"13","13","18","Bob Said","USA","Connaught Cars-Paul Emery","","3:27.300","+ 27.300","+ 13.500","","","","united-states-grand-prix",1959
"14","14","14","Alessandro de Tomaso","Argentina","Automobili OSCA","","3:28.000","+ 28.000","+ 0.700","","","","united-states-grand-prix",1959
"15","15","16","George Constantine","USA","Taylor-Crawley Racing Team","","3:30.600","+ 30.600","+ 2.600","","","","united-states-grand-prix",1959
"16","16","17","Harry Blanchard","USA","Blanchard Automobile Co","","3:32.700","+ 32.700","+ 2.100","","","","united-states-grand-prix",1959
"17","17","15","Fritz d'Orey","Brazil","","","3:33.400","+ 33.400","+ 0.700","","","","united-states-grand-prix",1959
"18","18","22","Phil Cade","USA","Phil Cade","","3:39.000","+ 39.000","+ 5.600","","","","united-states-grand-prix",1959
"19","19","1","Rodger Ward","USA","Leader Cards Inc","","3:43.800","+ 43.800","+ 4.800","","","","united-states-grand-prix",1959
"20","1","3","Johnny Thomson","USA","Racing Associates","","4:06.730","","","","","","indianapolis-500",1959
"21","2","44","Eddie Sachs","USA","Peter Schmidt","","4:07.550","+ 0.820","+ 0.820","","","","indianapolis-500",1959
"22","3","16","Jim Rathmann","USA","Lindsey Hopkins","","4:09.250","+ 2.520","+ 1.700","","","","indianapolis-500",1959
"23","4","73","Dick Rathmann","USA","Kalamazoo Sports Inc","","4:09.570","+ 2.840","+ 0.320","","","","indianapolis-500",1959
"24","5","48","Bobby Grim","USA","Chapman S Root","","4:09.610","+ 2.880","+ 0.040","","","","indianapolis-500",1959
"25","6","5","Rodger Ward","USA","Leader Cards Inc","","4:09.940","+ 3.210","+ 0.330","","","","indianapolis-500",1959
"26","7","74","Bob Veith","USA","John Zink","","4:09.960","+ 3.230","+ 0.020","","","","indianapolis-500",1959
"27","8","19","Eddie Johnson","USA","J S Donaldson","","4:10.000","+ 3.270","+ 0.040","","","","indianapolis-500",1959
"28","9","88","Gene Hartley","USA","R T Marley Sr","","4:10.740","+ 4.010","+ 0.740","","","","indianapolis-500",1959
"29","10","9","Don Branson","USA","Bob Estes","","4:11.200","+ 4.470","+ 0.460","","","","indianapolis-500",1959
"30","11","33","Johnny Boyd","USA","Bignotti-Bowes Racing","","4:12.080","+ 5.350","+ 0.880","","","","indianapolis-500",1959
"31","12","37","Duane Carter","USA","Yunick, Glover & Lathrop","","4:12.110","+ 5.380","+ 0.030","","","","indianapolis-500",1959
"32","13","66","Jimmy Daywalt","USA","Federal Auto Associates","","4:08.820","+ 2.090","+ 1.270","","","","indianapolis-500",1959
"33","14","24","Jack Turner","USA","Ernest L Ruiz","","4:10.910","+ 4.180","+ 2.090","","","","indianapolis-500",1959
"34","15","1","Tony Bettenhausen","USA","John R Wills","","4:12.240","+ 5.510","+ 1.330","","","","indianapolis-500",1959
"35","16","99","Paul Goldsmith","USA","Norman C Demler","","4:12.330","+ 5.600","+ 0.090","","","","indianapolis-500",1959
"36","17","10","A.J. Foyt","USA","A E Dean","","4:12.370","+ 5.640","+ 0.040","","","","indianapolis-500",1959
"37","18","64","Pat Flaherty","USA","John Zink","","4:12.810","+ 6.080","+ 0.440","","","","indianapolis-500",1959
"38","19","7","Jud Larson","USA","Bignotti-Bowes Racing","","4:12.990","+ 6.260","+ 0.180","","","","indianapolis-500",1959
"39","20","6","Jimmy Bryan","USA","George Salih","","4:13.310","+ 6.580","+ 0.320","","","","indianapolis-500",1959
"40","21","71","Chuck Arnold","USA","Karl Hall","","4:13.310","+ 6.580","+ 0.320","","","","indianapolis-500",1959
"41","22","8","Len Sutton","USA","Wolcott Memorial Racing Team","","4:13.330","+ 6.600","+ 0.020","","","","indianapolis-500",1959
"42","23","89","Al Herman","USA","Harry Dunn","","4:13.630","+ 6.900","+ 0.300","","","","indianapolis-500",1959
"43","24","65","Bob Christie","USA","Federal Auto Associates","","4:11.320","+ 4.590","+ 0.120","","","","indianapolis-500",1959
"44","25","15","Don Freeland","USA","Jim Robbins","","4:11.650","+ 4.920","+ 0.330","","","","indianapolis-500",1959
"45","26","87","Red Amick","USA","LeRoy E Foutch Jr","","4:11.880","+ 5.150","+ 0.230","","","","indianapolis-500",1959
"46","27","45","Paul Russo","USA","Fred Gerhardt","","4:12.840","+ 6.110","+ 0.960","","","","indianapolis-500",1959
"47","28","57","Al Keller","USA","H H Johnson","","4:13.420","+ 6.690","+ 0.580","","","","indianapolis-500",1959
"48","29","47","Chuck Weyant","USA","Roy McKay","","4:13.610","+ 6.880","+ 0.190","","","","indianapolis-500",1959
"49","30","53","Bill Cheesbourg","USA","Lysle Greenman","","4:13.900","+ 7.170","+ 0.290","","","","indianapolis-500",1959
"50","31","77","Mike Magill","USA","George Walther Jr","","4:14.450","+ 7.720","+ 0.550","","","","indianapolis-500",1959
"51","32","49","Ray Crawford","USA","Ray Crawford","","4:14.690","+ 7.960","+ 0.240","","","","indianapolis-500",1959
"52","33","58","Jim McWithey","USA","Ray T Brady","","4:14.930","+ 8.200","+ 0.240","","","","indianapolis-500",1959
"53","1","12","Jack Brabham","Australia","Cooper Car Co","","1:58.000","","","","","","british-grand-prix",1959
"54","2","2","Roy Salvadori","Great Britain","David Brown Corporation","","1:58.000","","","","","","british-grand-prix",1959
"55","3","8","Harry Schell","USA","Owen Racing Organisation","","1:59.200","+ 1.200","+ 1.200","","","","british-grand-prix",1959
"56","4","18","Maurice Trintignant","France","R R C Walker Racing Team","","1:59.200","+ 1.200","","","","","british-grand-prix",1959
"57","5","14","Masten Gregory","USA","Cooper Car Co","","1:59.400","+ 1.400","+ 0.200","","","","british-grand-prix",1959
"58","6","4","Carroll Shelby","USA","David Brown Corporation","","1:59.600","+ 1.600","+ 0.200","","","","british-grand-prix",1959
"59","7","6","Stirling Moss","Great Britain","British Racing Partnership","","1:59.600","+ 1.600","","","","","british-grand-prix",1959
"60","8","16","Bruce McLaren","New Zealand","Cooper Car Co","","1:59.600","+ 1.600","+ 0.200","","","","british-grand-prix",1959
"61","9","28","Graham Hill","Great Britain","Team Lotus","","2:00.000","+ 2.000","+ 0.400","","","","british-grand-prix",1959
"62","10","10","Jo Bonnier","Sweden","Owen Racing Organisation","","2:00.000","+ 2.000","","","","","british-grand-prix",1959
"63","11","42","Ron Flockhart","Great Britain","Owen Racing Organisation","","2:00.200","+ 2.200","+ 0.200","","","","british-grand-prix",1959
"64","12","30","Alan Stacey","Great Britain","Team Lotus","","2:02.800","+ 4.800","+ 2.600","","","","british-grand-prix",1959
"65","13","22","Ian Burgess","Great Britain","Scuderia Centro Sud","","2:03.000","+ 5.000","+ 0.200","","","","british-grand-prix",1959
"66","14","36","Brian Naylor","Great Britain","","","2:03.000","+ 5.000","+ 0.200","","","","british-grand-prix",1959
"67","15","38","Jack Fairman","Great Britain","High Efficiency Motors","","2:04.200","+ 6.200","+ 1.200","","","","british-grand-prix",1959
"68","16","48","Chris Bristow","Great Britain","British Racing Partnership","","2:04.400","+ 6.400","+ 0.200","","","","british-grand-prix",1959
"69","17","20","Tony Brooks","Great Britain","Vandervell Products","","2:04.600","+ 6.600","+ 0.200","","","","british-grand-prix",1959
"70","18","46","Ivor Bueb","Great Britain","British Racing Partnership","","2:04.800","+ 6.800","+ 0.200","","","","british-grand-prix",1959
"71","19","24","Hans Herrmann","Germany","Scuderia Centro Sud","","2:05.600","+ 7.600","+ 0.800","","","","british-grand-prix",1959
"72","20","40","Fritz d'Orey","Brazil","Scuderia Centro Sud","","2:05.600","+ 7.600","","","","","british-grand-prix",1959
"73","21","58","Henry Taylor","Great Britain","R H H Parnell","","2:05.600","+ 7.600","","","","","british-grand-prix",1959
"74","22","64","David Piper","Great Britain","Dorchester Service Station","","2:06.000","+ 8.000","+ 0.400","","","","british-grand-prix",1959
"75","23","52","Peter Ashdown","Great Britain","Alan Brown Equipe","","2:06.200","+ 8.200","+ 0.200","","","","british-grand-prix",1959
"76","24","50","Mike Taylor","Great Britain","Alan Brown Equipe","","2:07.000","+ 9.000","+ 0.800","","","","british-grand-prix",1959
"77","25","56","Bill Moss","Great Britain","United Racing Stable","","2:07.200","+ 9.200","+ 0.200","","","","british-grand-prix",1959
"78","26","60","Mike Parkes","Great Britain","","","2:07.600","+ 9.600","+ 0.400","","","","british-grand-prix",1959
