"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","gp_name","year"
"30","7","14","Louis Rosier","France","Ecurie Rosier","","4:45.000","+ 20.000","+ 9.000","","","","belgian-grand-prix",1951
"31","8","22","Yves Giraud-Cabantous","France","Yves Giraud-Cabantous","","4:52.000","+ 27.000","+ 7.000","","","","belgian-grand-prix",1951
"32","9","18","Louis Chiron","Monaco","Ecurie Rosier","","5:01.000","+ 36.000","+ 9.000","","","","belgian-grand-prix",1951
"33","10","20","Philippe Etancelin","France","Philippe Etancelin","","5:04.000","+ 39.000","+ 3.000","","","","belgian-grand-prix",1951
"34","11","16","Johnny Claes","Belgium","Ecurie Belge","","5:09.000","+ 44.000","+ 5.000","","","","belgian-grand-prix",1951
"35","12","24","Andre Pilette","Belgium","Ecurie Belgique","","5:16.000","+ 51.000","+ 7.000","","","","belgian-grand-prix",1951
"36","13","26","Pierre Levegh","France","Pierre Levegh","","5:17.000","+ 52.000","+ 1.000","","","","belgian-grand-prix",1951
"37","1","18","Duke Nalon","USA","Jean Marcenac","","4:23.740","+ 0.720","+ 0.720","","","","indianapolis-500",1951
"38","2","99","Lee Wallard","USA","Murrell Belanger","","4:26.590","+ 2.850","+ 2.850","","","","indianapolis-500",1951
"39","3","9","Jack McGrath","USA","Jack B Hinkle","","4:28.050","+ 4.310","+ 1.460","","","","indianapolis-500",1951
"40","4","27","Duane Carter","USA","Rotary Engineering Corp","","4:29.160","+ 5.420","+ 1.110","","","","indianapolis-500",1951
"41","5","16","Mauri Rose","USA","Howard Keck Co","","4:29.820","+ 6.080","+ 0.660","","","","indianapolis-500",1951
"42","6","98","Troy Ruttman","USA","J C Agajanian","","4:32.080","+ 8.340","+ 2.260","","","","indianapolis-500",1951
"43","7","83","Mike Nazaruk","USA","Jim Robbins","","4:32.350","+ 8.610","+ 0.270","","","","indianapolis-500",1951
"44","8","3","Johnnie Parsons","USA","Ed Walsh","","4:32.410","+ 8.670","+ 0.060","","","","indianapolis-500",1951
"45","9","5","Tony Bettenhausen","USA","Rotary Engineering Corp","","4:32.830","+ 9.090","+ 0.420","","","","indianapolis-500",1951
"46","10","4","Cecil Green","USA","M A Walker","","4:32.920","+ 9.180","+ 0.090","","","","indianapolis-500",1951
"47","11","59","Fred Agabashian","USA","Grancor Auto Specialists","","4:36.610","+ 12.870","+ 3.690","","","","indianapolis-500",1951
"48","12","25","Sam Hanks","USA","Peter Schmidt","","4:30.680","+ 6.940","+ 0.210","","","","indianapolis-500",1951
"49","13","44","Walt Brown","USA","Federal Engineering Association","","4:32.920","+ 9.180","+ 2.240","","","","indianapolis-500",1951
"50","14","2","Walt Faulkner","USA","J C Agajanian","","4:23.020","","","","","","indianapolis-500",1951
"51","15","73","Carl Scarborough","USA","Lee Elkins","","4:25.460","+ 1.720","+ 2.440","","","","indianapolis-500",1951
"52","16","10","Bill Schindler","USA","H A Chapman","","4:28.590","+ 4.850","+ 3.130","","","","indianapolis-500",1951
"53","17","1","Henry Banks","USA","Lindsey Hopkins","","4:28.860","+ 5.120","+ 0.270","","","","indianapolis-500",1951
"54","18","23","Cliff Griffith","USA","Ludson D Morris","","4:28.980","+ 5.240","+ 0.120","","","","indianapolis-500",1951
"55","19","8","Chuck Stevenson","USA","Carl Marchese","","4:29.130","+ 5.390","+ 0.150","","","","indianapolis-500",1951
"56","20","81","Bill Vukovich","USA","Pete Salemi","","4:29.210","+ 5.470","+ 0.080","","","","indianapolis-500",1951
"57","21","22","George Connor","USA","Lou Moore","","4:29.960","+ 6.220","+ 0.750","","","","indianapolis-500",1951
"58","22","69","Gene Force","USA","Brown Motor Co","","4:30.470","+ 6.730","+ 0.510","","","","indianapolis-500",1951
"59","23","19","Mack Hellings","USA","C G Tuffanelli & J Derrico","","4:30.830","+ 7.090","+ 0.360","","","","indianapolis-500",1951
"60","24","68","Carl Forberg","USA","Louis Rassey","","4:30.900","+ 7.160","+ 0.070","","","","indianapolis-500",1951
"61","25","48","Rodger Ward","USA","Louis & Bruce Bromme","","4:26.930","+ 3.190","+ 0.340","","","","indianapolis-500",1951
"62","26","12","Johnny McDowell","USA","Maserati Race Cars","","4:31.750","+ 8.010","+ 4.820","","","","indianapolis-500",1951
"63","27","76","Jimmy Davies","USA","L E Parks","","4:29.630","+ 5.890","+ 0.420","","","","indianapolis-500",1951
"64","28","32","Chet Miller","USA","Jean Marcenac","","4:25.100","+ 1.360","+ 1.360","","","","indianapolis-500",1951
"65","29","52","Bobby Ball","USA","John L McDaniel","","4:28.460","+ 4.720","+ 3.360","","","","indianapolis-500",1951
"66","30","26","Joe James","USA","Bob Estes","","4:28.820","+ 5.080","+ 0.360","","","","indianapolis-500",1951
"67","31","57","Andy Linden","USA","George H Leitenberger","","4:32.260","+ 8.520","+ 3.440","","","","indianapolis-500",1951
"68","32","6","Duke Dinsmore","USA","Brown Motor Co","","4:32.780","+ 9.040","+ 0.520","","","","indianapolis-500",1951
"69","33","71","Bill Mackey","USA","Karl Hall","","4:33.820","+ 10.080","+ 1.040","","","","indianapolis-500",1951
"70","1","38","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","","1:53.200","","","","","","italian-grand-prix",1951
"71","2","34","Nino Farina","Italy","Alfa Romeo SpA","","1:53.900","+ 0.700","+ 0.700","","","","italian-grand-prix",1951
"72","3","2","Alberto Ascari","Italy","Scuderia Ferrari","","1:55.100","+ 1.900","+ 1.200","","","","italian-grand-prix",1951
"73","4","6","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","","1:55.900","+ 2.700","+ 0.800","","","","italian-grand-prix",1951
"74","5","4","Luigi Villoresi","Italy","Scuderia Ferrari","","1:57.900","+ 4.700","+ 2.000","","","","italian-grand-prix",1951
"75","6","8","Piero Taruffi","Italy","Scuderia Ferrari","","1:58.200","+ 5.000","+ 0.300","","","","italian-grand-prix",1951
"76","7","40","Felice Bonetto","Italy","Alfa Romeo SpA","","1:58.300","+ 5.100","+ 0.100","","","","italian-grand-prix",1951
"77","8","30","Reg Parnell","Great Britain","BRM Ltd","","2:02.200","+ 9.000","+ 3.900","","","","italian-grand-prix",1951
"78","9","36","Emmanuel de Graffenried","Switzerland","Alfa Romeo SpA","","2:05.200","+ 12.000","+ 3.000","","","","italian-grand-prix",1951
"79","10","32","Ken Richardson","Great Britain","BRM Ltd","","2:05.600","+ 12.400","+ 0.400","","","","italian-grand-prix",1951
"80","11","48","Andre Simon","France","Equipe Gordini","","2:08.000","+ 14.800","+ 2.400","","","","italian-grand-prix",1951
"81","12","50","Maurice Trintignant","France","Equipe Gordini","","2:08.900","+ 15.700","+ 0.900","","","","italian-grand-prix",1951
"82","13","46","Robert Manzon","France","Equipe Gordini","","2:09.000","+ 15.800","+ 0.100","","","","italian-grand-prix",1951
"83","14","24","Yves Giraud-Cabantous","France","Yves Giraud-Cabantous","","2:09.300","+ 16.100","+ 0.300","","","","italian-grand-prix",1951
"84","15","18","Louis Rosier","France","Ecurie Rosier","","2:10.800","+ 17.600","+ 1.500","","","","italian-grand-prix",1951
"85","16","12","Chico Landi","Brazil","Francisco Landi","","2:11.200","+ 18.000","+ 0.400","","","","italian-grand-prix",1951
"86","17","20","Louis Chiron","Monaco","Ecurie Rosier","","2:12.100","+ 18.900","+ 0.900","","","","italian-grand-prix",1951
"87","18","44","Franco Rol","Italy","Automobili OSCA","","2:13.400","+ 20.200","+ 1.300","","","","italian-grand-prix",1951
"88","19","16","Peter Whitehead","Great Britain","Peter Whitehead","","2:16.200","+ 23.000","+ 2.800","","","","italian-grand-prix",1951
"89","20","22","Pierre Levegh","France","Pierre Levegh","","2:16.500","+ 23.300","+ 0.300","","","","italian-grand-prix",1951
"90","21","26","Johnny Claes","Belgium","Ecurie Belge","","2:18.600","+ 25.400","+ 2.100","","","","italian-grand-prix",1951
"91","22","28","Jacques Swaters","Belgium","Ecurie Belgique","","2:18.800","+ 25.600","+ 0.200","","","","italian-grand-prix",1951
"92","23","14","RudI Fischer","Switzerland","Ecurie Espadon","","","","","","","","italian-grand-prix",1951
"93","1","12","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","","1:43.400","","","","","","british-grand-prix",1951
"94","2","2","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","","1:44.400","+ 1.000","+ 1.000","","","","british-grand-prix",1951
"95","3","1","Nino Farina","Italy","Alfa Romeo SpA","","1:45.000","+ 1.600","+ 0.600","","","","british-grand-prix",1951
"96","4","11","Alberto Ascari","Italy","Scuderia Ferrari","","1:45.400","+ 2.000","+ 0.400","","","","british-grand-prix",1951
"97","5","10","Luigi Villoresi","Italy","Scuderia Ferrari","","1:45.800","+ 2.400","+ 0.400","","","","british-grand-prix",1951
"98","6","3","Consalvo Sanesi","Italy","Alfa Romeo SpA","","1:50.200","+ 6.800","+ 4.400","","","","british-grand-prix",1951
"99","7","4","Felice Bonetto","Italy","Alfa Romeo SpA","","1:52.000","+ 8.600","+ 1.800","","","","british-grand-prix",1951
"100","8","14","Peter Whitehead","Great Britain","G A Vandervell","","1:54.600","+ 11.200","+ 2.600","","","","british-grand-prix",1951
"101","9","22","Louis Rosier","France","Ecurie Rosier","","1:56.000","+ 12.600","+ 1.400","","","","british-grand-prix",1951
"102","10","8","Bob Gerard","Great Britain","Bob Gerard","","1:57.000","+ 13.600","+ 1.000","","","","british-grand-prix",1951
"103","11","18","Duncan Hamilton","Great Britain","Duncan Hamilton","","1:57.200","+ 13.800","+ 0.200","","","","british-grand-prix",1951
"104","12","9","Brian Shawe-Taylor","Great Britain","Brian Shawe-Taylor","","1:58.200","+ 14.800","+ 1.000","","","","british-grand-prix",1951
"105","13","23","Louis Chiron","Monaco","Ecurie Rosier","","2:00.200","+ 16.800","+ 2.000","","","","british-grand-prix",1951
"106","14","25","Johnny Claes","Belgium","Ecurie Belge","","2:05.800","+ 22.400","+ 5.600","","","","british-grand-prix",1951
"107","15","15","David Murray","Great Britain","Scuderia Ambrosiana","","2:06.000","+ 22.600","+ 0.200","","","","british-grand-prix",1951
"108","16","17","Philip Fotheringham-Parker","Great Britain","Philip Fotheringham-Parker","","2:13.200","+ 29.800","+ 7.200","","","","british-grand-prix",1951
"109","17","16","John James","Great Britain","John James","","2:17.000","+ 33.600","+ 3.800","","","","british-grand-prix",1951
"110","18","5","Joe Kelly","Ireland","Joe Kelly","","2:18.400","+ 35.000","+ 1.400","","","","british-grand-prix",1951
"111","19","7","Peter Walker","Great Britain","BRM Ltd","","","","","","","","british-grand-prix",1951
"112","20","6","Reg Parnell","Great Britain","BRM Ltd","","","","","","","","british-grand-prix",1951
"113","1","24","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","","2:35.900","","","","","","swiss-grand-prix",1951
"114","2","22","Nino Farina","Italy","Alfa Romeo SpA","","2:37.800","+ 1.900","+ 1.900","","","","swiss-grand-prix",1951
"115","3","18","Luigi Villoresi","Italy","Scuderia Ferrari","","2:39.300","+ 3.400","+ 1.500","","","","swiss-grand-prix",1951
"116","4","28","Consalvo Sanesi","Italy","Alfa Romeo SpA","","2:40.300","+ 4.400","+ 1.000","","","","swiss-grand-prix",1951
"117","5","26","Emmanuel de Graffenried","Switzerland","Alfa Romeo SpA","","2:41.800","+ 5.900","+ 1.500","","","","swiss-grand-prix",1951
"118","6","44","Piero Taruffi","Italy","Scuderia Ferrari","","2:45.200","+ 9.300","+ 3.400","","","","swiss-grand-prix",1951
"119","7","20","Alberto Ascari","Italy","Scuderia Ferrari","","2:46.000","+ 10.100","+ 0.800","","","","swiss-grand-prix",1951
"120","8","8","Louis Rosier","France","Ecurie Rosier","","2:52.700","+ 16.800","+ 6.700","","","","swiss-grand-prix",1951
"121","9","16","Peter Whitehead","Great Britain","Scuderia Ferrari","","2:52.900","+ 17.000","+ 0.200","","","","swiss-grand-prix",1951
"122","10","38","RudI Fischer","Switzerland","Ecurie Espadon","","2:54.100","+ 18.200","+ 1.200","","","","swiss-grand-prix",1951
"123","11","10","Henri Louveau","France","Ecurie Rosier","","2:56.200","+ 20.300","+ 2.100","","","","swiss-grand-prix",1951
"124","12","4","Philippe Etancelin","France","Philippe Etancelin","","2:57.300","+ 21.400","+ 1.100","","","","swiss-grand-prix",1951
"125","13","42","Jose Froilan Gonzalez","Argentina","Ecurie Rosier","","2:57.300","+ 21.400","+ 1.100","","","","swiss-grand-prix",1951
"126","14","14","Stirling Moss","Great Britain","HW Motors","","2:58.400","+ 22.500","+ 1.100","","","","swiss-grand-prix",1951
"127","15","6","Yves Giraud-Cabantous","France","Yves Giraud-Cabantous","","3:00.300","+ 24.400","+ 1.900","","","","swiss-grand-prix",1951
"128","16","52","Peter Hirt","Switzerland","Ecurie Espadon","","3:01.600","+ 25.700","+ 1.300","","","","swiss-grand-prix",1951
"129","17","32","Harry Schell","USA","Scuderia Enrico Platé","","3:02.400","+ 26.500","+ 0.800","","","","swiss-grand-prix",1951
"130","18","2","Johnny Claes","Belgium","Ecurie Belge","","3:02.500","+ 26.600","+ 0.100","","","","swiss-grand-prix",1951
"131","19","30","Louis Chiron","Monaco","Scuderia Enrico Platé","","3:03.100","+ 27.200","+ 0.600","","","","swiss-grand-prix",1951
"132","20","12","George Abecassis","Great Britain","HW Motors","","3:03.800","+ 27.900","+ 0.700","","","","swiss-grand-prix",1951
"133","21","40","Guy Mairesse","France","Yves Giraud-Cabantous","","3:12.000","+ 36.100","+ 8.200","","","","swiss-grand-prix",1951
"134","1","2","Alberto Ascari","Italy","Scuderia Ferrari","","2:10.590","","","","","","spanish-grand-prix",1951
"135","2","22","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","","2:12.270","+ 1.680","+ 1.680","","","","spanish-grand-prix",1951
"136","3","6","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","","2:14.010","+ 3.420","+ 1.740","","","","spanish-grand-prix",1951
"137","4","20","Nino Farina","Italy","Alfa Romeo SpA","","2:14.940","+ 4.350","+ 0.930","","","","spanish-grand-prix",1951
"138","5","4","Luigi Villoresi","Italy","Scuderia Ferrari","","2:16.380","+ 5.790","+ 1.440","","","","spanish-grand-prix",1951
"139","6","26","Emmanuel de Graffenried","Switzerland","Alfa Romeo SpA","","2:16.400","+ 5.810","+ 0.020","","","","spanish-grand-prix",1951
"140","7","8","Piero Taruffi","Italy","Scuderia Ferrari","","2:16.800","+ 6.210","+ 0.400","","","","spanish-grand-prix",1951
"141","8","24","Felice Bonetto","Italy","Alfa Romeo SpA","","2:21.800","+ 11.210","+ 5.000","","","","spanish-grand-prix",1951
"142","9","14","Robert Manzon","France","Equipe Gordini","","2:23.810","+ 13.220","+ 2.010","","","","spanish-grand-prix",1951
"143","10","16","Andre Simon","France","Equipe Gordini","","2:24.600","+ 14.010","+ 0.790","","","","spanish-grand-prix",1951
"144","11","12","Maurice Trintignant","France","Equipe Gordini","","2:25.250","+ 14.660","+ 0.650","","","","spanish-grand-prix",1951
"145","12","30","Louis Chiron","Monaco","Ecurie Rosier","","2:30.320","+ 19.730","+ 5.070","","","","spanish-grand-prix",1951
"146","13","34","Philippe Etancelin","France","Philippe Etancelin","","2:31.000","+ 20.410","+ 0.680","","","","spanish-grand-prix",1951
"147","14","32","Yves Giraud-Cabantous","France","Yves Giraud-Cabantous","","2:32.180","+ 21.590","+ 1.180","","","","spanish-grand-prix",1951
"148","15","36","Johnny Claes","Belgium","Ecurie Belge","","2:34.460","+ 23.870","+ 2.280","","","","spanish-grand-prix",1951
"149","16","38","Georges Grignard","France","Georges Grignard","","2:36.580","+ 25.990","+ 2.120","","","","spanish-grand-prix",1951
"150","17","44","Paco Godia","Spain","Scuderia Milano","","2:37.450","+ 26.860","+ 0.870","","","","spanish-grand-prix",1951
"151","18","46","Juan Jover","Spain","Scuderia Milano","","2:41.990","+ 31.400","+ 4.540","","","","spanish-grand-prix",1951
"152","19","18","Prince Bira","Thailand","Prince Bira","","2:45.990","+ 35.400","+ 4.000","","","","spanish-grand-prix",1951
"153","20","28","Louis Rosier","France","Ecurie Rosier","","2:46.780","+ 36.190","+ 0.790","","","","spanish-grand-prix",1951
"154","1","71","Alberto Ascari","Italy","Scuderia Ferrari","","9:55.800","","","","","","german-grand-prix",1951
"155","2","74","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","","9:57.500","+ 1.700","+ 1.700","","","","german-grand-prix",1951
"156","3","75","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","","9:59.000","+ 3.200","+ 1.500","","","","german-grand-prix",1951
"157","4","76","Nino Farina","Italy","Alfa Romeo SpA","","10:01.000","+ 5.200","+ 2.000","","","","german-grand-prix",1951
"158","5","72","Luigi Villoresi","Italy","Scuderia Ferrari","","10:06.600","+ 10.800","+ 5.600","","","","german-grand-prix",1951
"159","6","73","Piero Taruffi","Italy","Scuderia Ferrari","","10:12.900","+ 17.100","+ 6.300","","","","german-grand-prix",1951
"160","7","78","Paul Pietsch","Germany","Alfa Romeo SpA","","10:15.700","+ 19.900","+ 2.800","","","","german-grand-prix",1951
"161","8","91","RudI Fischer","Switzerland","Ecurie Espadon","","10:23.800","+ 28.000","+ 8.100","","","","german-grand-prix",1951
"162","9","82","Robert Manzon","France","Equipe Gordini","","10:28.900","+ 33.100","+ 5.100","","","","german-grand-prix",1951
"163","10","77","Felice Bonetto","Italy","Alfa Romeo SpA","","10:46.100","+ 50.300","+ 17.200","","","","german-grand-prix",1951
"164","11","87","Yves Giraud-Cabantous","France","Yves Giraud-Cabantous","","10:52.800","+ 57.000","+ 6.700","","","","german-grand-prix",1951
"165","12","83","Andre Simon","France","Equipe Gordini","","10:57.500","+ 1:01.700","+ 4.700","","","","german-grand-prix",1951
"166","13","85","Louis Chiron","Monaco","Ecurie Rosier","","11:00.200","+ 1:04.400","+ 2.700","","","","german-grand-prix",1951
"167","14","81","Maurice Trintignant","France","Equipe Gordini","","11:07.500","+ 1:11.700","+ 7.300","","","","german-grand-prix",1951
"168","15","84","Louis Rosier","France","Ecurie Rosier","","11:08.200","+ 1:12.400","+ 0.700","","","","german-grand-prix",1951
"169","16","79","Emmanuel de Graffenried","Switzerland","Scuderia Enrico Platé","","11:25.600","+ 1:29.800","+ 17.400","","","","german-grand-prix",1951
"170","17","92","Toni Branca","Switzerland","Antonio Branca","","11:26.700","+ 1:30.900","+ 1.100","","","","german-grand-prix",1951
"171","18","94","Johnny Claes","Belgium","Ecurie Belge","","11:33.600","+ 1:37.800","+ 6.900","","","","german-grand-prix",1951
"172","19","90","Pierre Levegh","France","Pierre Levegh","","11:41.900","+ 1:46.100","+ 8.300","","","","german-grand-prix",1951
"173","20","88","Duncan Hamilton","Great Britain","Duncan Hamilton","","11:49.300","+ 1:53.500","+ 7.400","","","","german-grand-prix",1951
"174","21","86","Philippe Etancelin","France","Philippe Etancelin","","11:52.900","+ 1:57.100","+ 3.600","","","","german-grand-prix",1951
"175","22","93","Jacques Swaters","Belgium","Ecurie Belgique","","12:09.100","+ 2:13.300","+ 16.200","","","","german-grand-prix",1951
"176","23","89","David Murray","Great Britain","Scuderia Ambrosiana","","","","","","","","german-grand-prix",1951
