"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","gp_name","year"
"1","1","4","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","","3:05.700","","","","","","french-grand-prix",1951
"2","2","2","Nino Farina","Italy","Alfa Romeo SpA","","3:07.400","+ 1.700","+ 1.700","","","","french-grand-prix",1951
"3","3","12","Alberto Ascari","Italy","Scuderia Ferrari","","3:08.100","+ 2.400","+ 0.700","","","","french-grand-prix",1951
"4","4","10","Luigi Villoresi","Italy","Scuderia Ferrari","","3:08.500","+ 2.800","+ 0.400","","","","french-grand-prix",1951
"5","5","6","Consalvo Sanesi","Italy","Alfa Romeo SpA","","3:08.900","+ 3.200","+ 0.400","","","","french-grand-prix",1951
"6","6","14","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","","3:10.800","+ 5.100","+ 1.900","","","","french-grand-prix",1951
"7","7","8","Luigi Fagioli","Italy","Alfa Romeo SpA","","3:13.100","+ 7.400","+ 2.300","","","","french-grand-prix",1951
"8","8","42","Louis Chiron","Monaco","Ecurie Rosier","","3:23.700","+ 18.000","+ 10.600","","","","french-grand-prix",1951
"9","9","26","Reg Parnell","Great Britain","G A Vandervell","","3:24.000","+ 18.300","+ 0.300","","","","french-grand-prix",1951
"10","10","38","Philippe Etancelin","France","Philippe Etancelin","","3:24.800","+ 19.100","+ 0.800","","","","french-grand-prix",1951
"11","11","46","Yves Giraud-Cabantous","France","Yves Giraud-Cabantous","","3:25.700","+ 20.000","+ 0.900","","","","french-grand-prix",1951
"12","12","28","Johnny Claes","Belgium","Ecurie Belge","","3:26.600","+ 20.900","+ 0.900","","","","french-grand-prix",1951
"13","13","40","Louis Rosier","France","Ecurie Rosier","","3:28.000","+ 22.300","+ 1.400","","","","french-grand-prix",1951
"14","14","44","Eugene Chaboud","France","Eugene Chaboud","","3:29.600","+ 23.900","+ 1.600","","","","french-grand-prix",1951
"15","15","50","Onofre Marimon","Argentina","Scuderia Milano","","3:29.800","+ 24.100","+ 0.200","","","","french-grand-prix",1951
"16","16","18","Emmanuel de Graffenried","Switzerland","Scuderia Enrico Platé","","3:30.100","+ 24.400","+ 0.300","","","","french-grand-prix",1951
"17","17","36","Aldo Gordini","France","Equipe Gordini","","3:30.300","+ 24.600","+ 0.200","","","","french-grand-prix",1951
"18","18","32","Maurice Trintignant","France","Equipe Gordini","","3:30.300","+ 24.600","+ 0.200","","","","french-grand-prix",1951
"19","19","48","Guy Mairesse","France","Yves Giraud-Cabantous","","3:38.400","+ 32.700","+ 8.100","","","","french-grand-prix",1951
"20","20","24","Peter Whitehead","Great Britain","Ferrari","","","","","","","","french-grand-prix",1951
"21","21","34","Andre Simon","France","Equipe Gordini","","","","","","","","french-grand-prix",1951
"22","22","20","Harry Schell","USA","Scuderia Enrico Platé","","","","","","","","french-grand-prix",1951
"23","23","30","Robert Manzon","France","Equipe Gordini","","","","","","","","french-grand-prix",1951
"24","1","2","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","","4:25.000","","","","","","belgian-grand-prix",1951
"25","2","4","Nino Farina","Italy","Alfa Romeo SpA","","4:28.000","+ 3.000","+ 3.000","","","","belgian-grand-prix",1951
"26","3","10","Luigi Villoresi","Italy","Scuderia Ferrari","","4:29.000","+ 4.000","+ 1.000","","","","belgian-grand-prix",1951
"27","4","8","Alberto Ascari","Italy","Scuderia Ferrari","","4:30.000","+ 5.000","+ 1.000","","","","belgian-grand-prix",1951
"28","5","12","Piero Taruffi","Italy","Scuderia Ferrari","","4:32.000","+ 7.000","+ 2.000","","","","belgian-grand-prix",1951
"29","6","6","Consalvo Sanesi","Italy","Alfa Romeo SpA","","4:36.000","+ 11.000","+ 4.000","","","","belgian-grand-prix",1951
