"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","gp_name","year"
"1","1","101","Alberto Ascari","Italy","Scuderia Ferrari","","10:04.400","","","135.863","","","german-grand-prix",1952
"2","2","102","Nino Farina","Italy","Scuderia Ferrari","","10:07.300","+ 2.900","+ 2.900","135.214","","","german-grand-prix",1952
"3","3","109","Maurice Trintignant","France","Equipe Gordini","","10:19.100","+ 14.700","+ 11.800","132.637","","","german-grand-prix",1952
"4","4","107","Robert Manzon","France","Equipe Gordini","","10:25.300","+ 20.900","+ 6.200","131.322","","","german-grand-prix",1952
"5","5","103","Piero Taruffi","Italy","Scuderia Ferrari","","10:26.300","+ 21.900","+ 1.000","131.112","","","german-grand-prix",1952
"6","6","117","RudI Fischer","Switzerland","Ecurie Espadon","","10:41.900","+ 37.500","+ 15.600","127.926","","","german-grand-prix",1952
"7","7","127","Paul Pietsch","Germany","Motor Press Verlag","","10:56.300","+ 51.900","+ 14.400","125.119","","","german-grand-prix",1952
"8","8","128","Hans Klenk","Germany","Hans Klenk","","","","","","","","german-grand-prix",1952
"9","9","123","Willi Heeks","Germany","Willi Heeks","","","","","","","","german-grand-prix",1952
"10","10","105","Felice Bonetto","Italy","Officine Alfieri Maserati","","","","","","","","german-grand-prix",1952
"11","11","108","Jean Behra","France","Equipe Gordini","","","","","","","","german-grand-prix",1952
"12","12","121","Fritz Riess","Germany","Fritz Riess","","","","","","","","german-grand-prix",1952
"13","13","112","Paul Frere","Belgium","HW Motors","","","","","","","","german-grand-prix",1952
"14","14","120","Tony Gaze","Australia","Tony Gaze","","","","","","","","german-grand-prix",1952
"15","15","125","Toni Ulmen","Germany","Toni Ulmen","","","","","","","","german-grand-prix",1952
"16","16","115","Gino Bianco","Brazil","Escuderia Bandeirantes","","","","","","","","german-grand-prix",1952
"17","17","119","Roger Laurent","Great Britain","Ecurie Francorchamps","","","","","","","","german-grand-prix",1952
