"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","gp_name","year"
"1","1","2","Jack McGrath","USA","Jack B Hinkle","","4:15.260","","","226.972","","","indianapolis-500",1954
"2","2","19","Jimmy Daywalt","USA","Chapman S Root","","4:17.530","+ 2.270","+ 2.270","224.971","","","indianapolis-500",1954
"3","3","9","Jimmy Bryan","USA","A E Dean","","4:17.760","+ 2.500","+ 0.230","224.770","","","indianapolis-500",1954
"4","4","43","Johnny Thomson","USA","H A Chapman","","4:19.390","+ 4.130","+ 1.630","223.358","","","indianapolis-500",1954
"5","5","98","Chuck Stevenson","USA","J C Agajanian","","4:19.410","+ 4.150","+ 0.020","223.341","","","indianapolis-500",1954
"6","6","7","Don Freeland","USA","Bob Estes","","4:20.230","+ 4.970","+ 0.820","222.637","","","indianapolis-500",1954
"7","7","25","Jimmy Reece","USA","Emmett J Malloy","","4:20.280","+ 5.020","+ 0.050","222.594","","","indianapolis-500",1954
"8","8","16","Duane Carter","USA","Eugene A Casaroll","","4:20.420","+ 5.160","+ 0.140","222.475","","","indianapolis-500",1954
"9","9","17","Bob Sweikert","USA","Francis Bardazon","","4:20.480","+ 5.220","+ 0.060","222.423","","","indianapolis-500",1954
"10","10","1","Sam Hanks","USA","Ed Walsh","","4:20.880","+ 5.620","+ 0.400","222.082","","","indianapolis-500",1954
"11","11","34","Troy Ruttman","USA","Eugene A Casaroll","","4:21.370","+ 6.110","+ 0.490","221.666","","","indianapolis-500",1954
"12","12","35","Pat O'Connor","USA","Motor Racers Inc","","4:20.710","+ 5.450","","222.227","","","indianapolis-500",1954
"13","13","24","Cal Niday","USA","Jim Robbins","","4:17.460","+ 2.200","","225.032","","","indianapolis-500",1954
"14","14","73","Mike Nazaruk","USA","Lee Elkins","","4:17.900","+ 2.640","+ 0.440","224.648","","","indianapolis-500",1954
"15","15","15","Johnnie Parsons","USA","South California Muffler Co","","4:17.920","+ 2.660","+ 0.020","224.631","","","indianapolis-500",1954
"16","16","12","Rodger Ward","USA","R N Sabourin","","4:18.440","+ 3.180","+ 0.520","224.179","","","indianapolis-500",1954
"17","17","31","Gene Hartley","USA","John Zink","","4:18.880","+ 3.620","+ 0.440","223.798","","","indianapolis-500",1954
"18","18","51","Bill Homeier","USA","Cars Inc","","4:19.090","+ 3.830","+ 0.210","223.617","","","indianapolis-500",1954
"19","19","14","Bill Vukovich","USA","Howard Keck Co","","4:19.970","+ 4.710","+ 0.880","222.860","","","indianapolis-500",1954
"20","20","32","Ernie McCoy","USA","Ray Crawford","","4:20.080","+ 4.820","+ 0.110","222.765","","","indianapolis-500",1954
"21","21","10","Tony Bettenhausen","USA","Mel B Wiggers","","4:20.350","+ 5.090","+ 0.270","222.534","","","indianapolis-500",1954
"22","22","88","Manny Ayulo","USA","Peter Schmidt","","4:20.560","+ 5.300","+ 0.210","222.355","","","indianapolis-500",1954
"23","23","74","Andy Linden","USA","Brown Motor Co","","4:21.210","+ 5.950","+ 0.650","221.802","","","indianapolis-500",1954
"24","24","77","Fred Agabashian","USA","Miklos Sperling","","4:21.350","+ 6.090","+ 0.140","221.683","","","indianapolis-500",1954
"25","25","28","Larry Crockett","USA","Federal Auto Associates","","4:17.960","+ 2.700","","224.596","","","indianapolis-500",1954
"26","26","33","Len Duncan","USA","Ray T Brady","","4:18.590","+ 3.330","+ 0.630","224.049","","","indianapolis-500",1954
"27","27","45","Art Cross","USA","Ed Walsh","","4:19.600","+ 4.340","+ 1.010","223.177","","","indianapolis-500",1954
"28","28","38","Jim Rathmann","USA","Ed Walsh","","4:20.440","+ 5.180","+ 0.840","222.457","","","indianapolis-500",1954
"29","29","65","Spider Webb","USA","Bruce Bromme","","4:20.910","+ 5.650","+ 0.470","222.057","","","indianapolis-500",1954
"30","30","99","Jerry Hoyt","USA","Murrell Belanger","","4:21.200","+ 5.940","+ 0.290","221.810","","","indianapolis-500",1954
"31","31","27","Ed Elisian","USA","H A Chapman","","4:21.260","+ 6.000","+ 0.060","221.759","","","indianapolis-500",1954
"32","32","5","Paul Russo","USA","Hoosier Racing Team","","4:21.480","+ 6.220","+ 0.220","221.573","","","indianapolis-500",1954
"33","33","71","Frank Armi","USA","T W & W T Martin","","4:21.490","+ 6.230","+ 0.010","221.564","","","indianapolis-500",1954
"34","1","1","Juan Manuel Fangio","Argentina","Daimler Benz AG","","1:45.000","","","","","","british-grand-prix",1954
"35","2","9","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","","1:46.000","+ 1.000","+ 1.000","","","","british-grand-prix",1954
"36","3","11","Mike Hawthorn","Great Britain","Scuderia Ferrari","","1:46.000","+ 1.000","","","","","british-grand-prix",1954
"37","4","7","Stirling Moss","Great Britain","A E Moss","","1:47.000","+ 2.000","+ 1.000","","","","british-grand-prix",1954
"38","5","17","Jean Behra","France","Equipe Gordini","","1:48.000","+ 3.000","+ 1.000","","","","british-grand-prix",1954
"39","6","2","Karl Kling","Germany","Daimler Benz AG","","1:48.000","+ 3.000","","","","","british-grand-prix",1954
"40","7","5","Roy Salvadori","Great Britain","Gilby Engineering","","1:48.000","+ 3.000","","","","","british-grand-prix",1954
"41","8","10","Maurice Trintignant","France","Scuderia Ferrari","","1:48.000","+ 3.000","","","","","british-grand-prix",1954
"42","9","8","Ken Wharton","Great Britain","BRM","","1:49.000","+ 4.000","+ 1.000","","","","british-grand-prix",1954
"43","10","6","Prince Bira","Thailand","Prince Bira","","1:49.000","+ 4.000","","","","","british-grand-prix",1954
"44","11","20","Peter Collins","Great Britain","G A Vandervell","","1:50.000","+ 5.000","+ 1.000","","","","british-grand-prix",1954
"45","12","19","Andre Pilette","Belgium","Equipe Gordini","","1:51.000","+ 6.000","+ 1.000","","","","british-grand-prix",1954
"46","13","18","Clemar Bucci","Argentina","Equipe Gordini","","1:52.000","+ 7.000","+ 1.000","","","","british-grand-prix",1954
"47","14","12","Reg Parnell","Great Britain","Scuderia Ambrosiana","","1:52.000","+ 7.000","","","","","british-grand-prix",1954
"48","15","14","Robert Manzon","France","Ecurie Rosier","","1:52.000","+ 7.000","","","","","british-grand-prix",1954
"49","16","3","Harry Schell","USA","Harry Schell","","1:52.000","+ 7.000","","","","","british-grand-prix",1954
"50","17","25","Don Beauman","Great Britain","Sir Jeremy Boles","","1:55.000","+ 10.000","+ 3.000","","","","british-grand-prix",1954
"51","18","29","Bob Gerard","Great Britain","F R Gerard","","1:55.000","+ 10.000","","","","","british-grand-prix",1954
"52","19","22","Bill Whitehouse","Great Britain","W J Whitehouse","","1:56.000","+ 11.000","+ 1.000","","","","british-grand-prix",1954
"53","20","28","Horace Gould","Great Britain","H H Gould","","1:56.000","+ 11.000","+ 1.000","","","","british-grand-prix",1954
"54","21","24","John Riseley-Prichard","Great Britain","R R C Walker Racing Team","","1:58.000","+ 13.000","+ 2.000","","","","british-grand-prix",1954
"55","22","23","Leslie Marr","Great Britain","L Marr","","1:58.000","+ 13.000","+ 2.000","","","","british-grand-prix",1954
"56","23","26","Leslie Thorne","Great Britain","Ecurie Ecosse","","1:59.000","+ 14.000","+ 1.000","","","","british-grand-prix",1954
"57","24","21","Peter Whitehead","Great Britain","Peter Whitehead","","2:00.000","+ 15.000","+ 1.000","","","","british-grand-prix",1954
"58","25","30","Eric Brandon","Great Britain","Ecurie Richmond","","2:05.000","+ 20.000","+ 5.000","","","","british-grand-prix",1954
"59","26","27","Alan Brown","Great Britain","R J Chase","","2:12.000","+ 27.000","+ 7.000","","","","british-grand-prix",1954
"60","27","32","Luigi Villoresi","Italy","Officine Alfieri Maserati","","","","","","","","british-grand-prix",1954
"61","28","33","Onofre Marimon","Argentina","Officine Alfieri Maserati","","","","","","","","british-grand-prix",1954
"62","29","15","Louis Rosier","France","Ecurie Rosier","","","","","","","","british-grand-prix",1954
"63","30","31","Alberto Ascari","Italy","Officine Alfieri Maserati","","","","","","","","british-grand-prix",1954
"64","31","4","Roberto Mieres","Argentina","Roberto Mieres","","","","","","","","british-grand-prix",1954
"65","32","30","Rodney Nuckey","Great Britain","Ecurie Richmond","","","","","","","","british-grand-prix",1954
"66","33","16","Jacques Swaters","Belgium","Ecurie Francorchamps","","","","","","","","british-grand-prix",1954
"67","1","18","Juan Manuel Fangio","Argentina","Daimler Benz AG","","2:29.400","","","","","","french-grand-prix",1954
"68","2","20","Karl Kling","Germany","Daimler Benz AG","","2:30.400","+ 1.000","+ 1.000","","","","french-grand-prix",1954
"69","3","10","Alberto Ascari","Italy","Officine Alfieri Maserati","","2:30.500","+ 1.100","+ 0.100","","","","french-grand-prix",1954
"70","4","2","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","","2:30.600","+ 1.200","+ 0.100","","","","french-grand-prix",1954
"71","5","12","Onofre Marimon","Argentina","Officine Alfieri Maserati","","2:31.600","+ 2.200","+ 1.000","","","","french-grand-prix",1954
"72","6","46","Prince Bira","Thailand","Prince Bira","","2:35.100","+ 5.700","+ 3.500","","","","french-grand-prix",1954
"73","7","22","Hans Herrmann","Germany","Daimler Benz AG","","2:35.300","+ 5.900","+ 0.200","","","","french-grand-prix",1954
"74","8","6","Mike Hawthorn","Great Britain","Scuderia Ferrari","","2:35.600","+ 6.200","+ 0.300","","","","french-grand-prix",1954
"75","9","4","Maurice Trintignant","France","Scuderia Ferrari","","2:36.100","+ 6.700","+ 0.500","","","","french-grand-prix",1954
"76","10","44","Roy Salvadori","Great Britain","Gilby Engineering","","2:36.300","+ 6.900","+ 0.200","","","","french-grand-prix",1954
"77","11","16","Roberto Mieres","Argentina","Roberto Mieres","","2:38.700","+ 9.300","+ 2.400","","","","french-grand-prix",1954
"78","12","34","Robert Manzon","France","Ecurie Rosier","","2:42.000","+ 12.600","+ 3.300","","","","french-grand-prix",1954
"79","13","36","Louis Rosier","France","Ecurie Rosier","","2:42.100","+ 12.700","+ 0.100","","","","french-grand-prix",1954
"80","14","14","Luigi Villoresi","Italy","Officine Alfieri Maserati","","2:42.700","+ 13.300","+ 0.600","","","","french-grand-prix",1954
