"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"1","1","2","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","100","3:00:55.900","","","129.741","","","Jan 13, 1957","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1957
"2","2","6","Jean Behra","France","Officine Alfieri Maserati","100","3:01:14.200","+ 18.300","+ 18.300","129.523","","","Jan 13, 1957","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1957
"3","3","8","Carlos Menditeguy","Argentina","Officine Alfieri Maserati","99","","1 Lap","1 Lap","","","","Jan 13, 1957","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1957
"4","4","22","Harry Schell","USA","Scuderia Centro Sud","98","","2 Laps","1 Lap","","","","Jan 13, 1957","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1957
"5","5","20","Jose Froilan Gonzalez/Alfonso de Portago/","Argentina","Scuderia Ferrari","98","","2 Laps","","","","","Jan 13, 1957","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1957
"6","6","18","Cesare Perdisa/Peter Collins/Wolfgang von Trips/","Italy","Scuderia Ferrari","98","","2 Laps","","","","","Jan 13, 1957","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1957
"7","7","24","Jo Bonnier","Sweden","Scuderia Centro Sud","95","","5 Laps","3 Laps","","","","Jan 13, 1957","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1957
"8","8","4","Stirling Moss","Great Britain","Officine Alfieri Maserati","93","","7 Laps","2 Laps","","1:44.700","75","Jan 13, 1957","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1957
"9","9","26","Alessandro de Tomaso","Argentina","Scuderia Centro Sud","91","","9 Laps","2 Laps","","","","Jan 13, 1957","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1957
"10","10","28","Luigi Piotti","Italy","L Piotti","90","","10 Laps","1 Lap","","","","Jan 13, 1957","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1957
"11","DNF","14","Eugenio Castellotti","Italy","Scuderia Ferrari","75","","","","","","","Jan 13, 1957","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1957
"12","DNF","16","Mike Hawthorn","Great Britain","Scuderia Ferrari","35","","","","","","","Jan 13, 1957","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1957
"13","DNF","12","Luigi Musso","Italy","Scuderia Ferrari","31","","","","","","","Jan 13, 1957","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1957
"14","DNF","10","Peter Collins","Great Britain","Scuderia Ferrari","26","","","","","","","Jan 13, 1957","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1957
"15","1","9","Sam Hanks","USA","George Salih","200","3:41:14.250","","","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"16","2","26","Jim Rathmann","USA","Lindsey Hopkins","200","3:41:35.710","+ 21.460","+ 21.460","","1:02.750","127","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"17","3","1","Jimmy Bryan","USA","A E Dean","200","3:43:28.220","+ 2:13.970","+ 1:52.510","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"18","4","54","Paul Russo","USA","Novi Racing Corp","200","3:44:11.110","+ 2:56.860","+ 42.890","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"19","5","73","Andy Linden","USA","Kalamazoo Sports Inc","200","3:44:28.520","+ 3:14.270","+ 17.410","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"20","6","6","Johnny Boyd","USA","George Bignotti","200","3:45:49.520","+ 4:35.270","+ 1:21.000","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
"21","7","48","Marshall Teague","USA","Chapman S Root","200","3:45:59.830","+ 4:45.580","+ 10.310","","","","May 30, 1957","Indianapolis Motor Speedway","indianapolis-500",1957
