"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"40","7","8","Tony Brooks","Great Britain","Vandervell Products","74","2:08:54.000","1 Lap","1 Lap","162.300","","","Jul 19, 1958","Silverstone Circuit","british-grand-prix",1958
"41","8","4","Maurice Trintignant","France","R R C Walker Racing Team","73","2:10:41.400","2 Laps","1 Lap","157.900","","","Jul 19, 1958","Silverstone Circuit","british-grand-prix",1958
"42","9","5","Carroll Shelby","USA","Scuderia Centro Sud","72","2:09:30.600","3 Laps","1 Lap","157.100","","","Jul 19, 1958","Silverstone Circuit","british-grand-prix",1958
"43","DNF","3","Wolfgang von Trips","Germany","Scuderia Ferrari","59","","","","","","","Jul 19, 1958","Silverstone Circuit","british-grand-prix",1958
"44","DNF","22","Jo Bonnier","Sweden","Jo Bonnier","49","","","","","","","Jul 19, 1958","Silverstone Circuit","british-grand-prix",1958
"45","DNF","6","Gerino Gerini","Italy","Scuderia Centro Sud","44","","","","","","","Jul 19, 1958","Silverstone Circuit","british-grand-prix",1958
"46","DNF","12","Ian Burgess","Great Britain","Cooper Car Co","40","","","","","","","Jul 19, 1958","Silverstone Circuit","british-grand-prix",1958
"47","DNF","7","Stirling Moss","Great Britain","Vandervell Products","25","","","","","","","Jul 19, 1958","Silverstone Circuit","british-grand-prix",1958
"48","DNF","17","Cliff Allison","Great Britain","Team Lotus","21","","","","","","","Jul 19, 1958","Silverstone Circuit","british-grand-prix",1958
"49","DNF","19","Jean Behra","France","Owen Racing Organisation","19","","","","","","","Jul 19, 1958","Silverstone Circuit","british-grand-prix",1958
"50","DNF","15","Ivor Bueb","Great Britain","B C Ecclestone","19","","","","","","","Jul 19, 1958","Silverstone Circuit","british-grand-prix",1958
"51","DNF","18","Alan Stacey","Great Britain","Team Lotus","19","","","","","","","Jul 19, 1958","Silverstone Circuit","british-grand-prix",1958
"52","DNF","16","Graham Hill","Great Britain","Team Lotus","17","","","","","","","Jul 19, 1958","Silverstone Circuit","british-grand-prix",1958
"53","DNF","14","Jack Fairman","Great Britain","B C Ecclestone","7","","","","","","","Jul 19, 1958","Silverstone Circuit","british-grand-prix",1958
"54","1","1","Stirling Moss","Great Britain","Vandervell Products","75","2:04:49.200","","","","1:37.600","","May 26, 1958","Circuit Zandvoort","dutch-grand-prix",1958
"55","2","15","Harry Schell","USA","Owen Racing Organisation","75","2:05:37.100","+ 47.900","+ 47.900","","","","May 26, 1958","Circuit Zandvoort","dutch-grand-prix",1958
"56","3","14","Jean Behra","France","Owen Racing Organisation","75","2:06:31.500","+ 1:42.300","+ 54.400","","","","May 26, 1958","Circuit Zandvoort","dutch-grand-prix",1958
"57","4","7","Roy Salvadori","Great Britain","Cooper Car Co","74","","1 Lap","1 Lap","","","","May 26, 1958","Circuit Zandvoort","dutch-grand-prix",1958
"58","5","5","Mike Hawthorn","Great Britain","Scuderia Ferrari","74","","1 Lap","","","","","May 26, 1958","Circuit Zandvoort","dutch-grand-prix",1958
