"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"1","1","8","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","77","3:22:11.000","","","","2:27.800","32","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"2","1","8","Luigi Fagioli","Italy","Alfa Romeo SpA","77","3:22:11.000","","","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"3","2","14","Alberto Ascari","Italy","Scuderia Ferrari","77","3:23:09.200","+ 58.200","","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"4","2","14","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","77","3:23:09.200","+ 58.200","+ 58.200","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"5","3","10","Luigi Villoresi","Italy","Scuderia Ferrari","74","","3 Laps","3 Laps","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"6","4","26","Reg Parnell","Great Britain","G A Vandervell","73","","4 Laps","1 Lap","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"7","5","2","Nino Farina","Italy","Alfa Romeo SpA","73","","4 Laps","","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"8","6","42","Louis Chiron","Monaco","Ecurie Rosier","71","","6 Laps","2 Laps","","2:46.400","18","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"9","7","46","Yves Giraud-Cabantous","France","Yves Giraud-Cabantous","71","","6 Laps","","","2:49.700","24","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"10","8","44","Eugene Chaboud","France","Eugene Chaboud","69","","8 Laps","2 Laps","","2:50.200","40","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"11","9","48","Guy Mairesse","France","Yves Giraud-Cabantous","66","","11 Laps","3 Laps","","2:57.500","10","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"12","10","6","Consalvo Sanesi","Italy","Alfa Romeo SpA","58","","19 Laps","8 Laps","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"13","11","4","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","55","","22 Laps","","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"14","11","4","Luigi Fagioli","Italy","Alfa Romeo SpA","55","","22 Laps","3 Laps","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"15","DNF","28","Johnny Claes","Belgium","Ecurie Belge","54","","","","","2:50.500","36","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"16","DNF","40","Louis Rosier","France","Ecurie Rosier","43","","","","","2:48.000","34","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"17","DNF","38","Philippe Etancelin","France","Philippe Etancelin","37","","","","","2:49.100","35","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"18","DNF","36","Aldo Gordini","France","Equipe Gordini","27","","","","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"19","DNF","20","Harry Schell","USA","Scuderia Enrico Platé","23","","","","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"20","DNF","32","Maurice Trintignant","France","Equipe Gordini","11","","","","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"21","DNF","12","Alberto Ascari","Italy","Scuderia Ferrari","10","","","","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"22","DNF","34","Andre Simon","France","Equipe Gordini","7","","","","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"23","DNF","30","Robert Manzon","France","Equipe Gordini","3","","","","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"24","DNF","50","Onofre Marimon","Argentina","Scuderia Milano","2","","","","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"25","DNF","18","Emmanuel de Graffenried","Switzerland","Scuderia Enrico Platé","1","","","","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"26","DNF","24","Peter Whitehead","Great Britain","Ferrari","1","","","","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"27","1","4","Nino Farina","Italy","Alfa Romeo SpA","36","2:45:46.200","","","","","","Jun 17, 1951","Circuit de Spa-Francorchamps","belgian-grand-prix",1951
"28","2","8","Alberto Ascari","Italy","Scuderia Ferrari","36","2:48:37.200","+ 2:51.000","+ 2:51.000","","","","Jun 17, 1951","Circuit de Spa-Francorchamps","belgian-grand-prix",1951
"29","3","10","Luigi Villoresi","Italy","Scuderia Ferrari","36","2:50:08.100","+ 4:21.900","+ 1:30.900","","","","Jun 17, 1951","Circuit de Spa-Francorchamps","belgian-grand-prix",1951
"30","4","14","Louis Rosier","France","Ecurie Rosier","34","","2 Laps","2 Laps","","4:46.900","9","Jun 17, 1951","Circuit de Spa-Francorchamps","belgian-grand-prix",1951
"31","5","22","Yves Giraud-Cabantous","France","Yves Giraud-Cabantous","34","","2 Laps","","","4:47.600","24","Jun 17, 1951","Circuit de Spa-Francorchamps","belgian-grand-prix",1951
"32","6","24","Andre Pilette","Belgium","Ecurie Belgique","33","","3 Laps","1 Lap","","4:56.200","14","Jun 17, 1951","Circuit de Spa-Francorchamps","belgian-grand-prix",1951
"33","7","16","Johnny Claes","Belgium","Ecurie Belge","33","","3 Laps","","","4:56.200","13","Jun 17, 1951","Circuit de Spa-Francorchamps","belgian-grand-prix",1951
"34","8","26","Pierre Levegh","France","Pierre Levegh","32","","4 Laps","1 Lap","","5:04.900","22","Jun 17, 1951","Circuit de Spa-Francorchamps","belgian-grand-prix",1951
"35","9","2","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","32","","4 Laps","","","4:22.100","10","Jun 17, 1951","Circuit de Spa-Francorchamps","belgian-grand-prix",1951
"36","DNF","18","Louis Chiron","Monaco","Ecurie Rosier","28","","","","","4:45.900","22","Jun 17, 1951","Circuit de Spa-Francorchamps","belgian-grand-prix",1951
"37","DNF","6","Consalvo Sanesi","Italy","Alfa Romeo SpA","11","","","","","","","Jun 17, 1951","Circuit de Spa-Francorchamps","belgian-grand-prix",1951
"38","DNF","12","Piero Taruffi","Italy","Scuderia Ferrari","8","","","","","","","Jun 17, 1951","Circuit de Spa-Francorchamps","belgian-grand-prix",1951
"39","DNF","20","Philippe Etancelin","France","Philippe Etancelin","","","","","","","","Jun 17, 1951","Circuit de Spa-Francorchamps","belgian-grand-prix",1951
"40","1","99","Lee Wallard","USA","Murrell Belanger","200","3:57:38.050","","","203.172","1:07.260","23","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"41","2","83","Mike Nazaruk","USA","Jim Robbins","200","3:59:25.290","+ 1:47.240","+ 1:47.240","201.656","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"42","3","9","Jack McGrath/Manny Ayulo/","USA","Jack B Hinkle","200","4:00:29.440","+ 2:51.390","+ 1:04.150","200.759","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"43","4","57","Andy Linden","USA","George H Leitenberger","200","4:02:18.170","+ 4:40.120","+ 1:48.730","199.258","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"44","5","52","Bobby Ball","USA","John L McDaniel","200","4:02:30.280","+ 4:52.230","+ 12.110","199.092","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"45","6","1","Henry Banks","USA","Lindsey Hopkins","200","4:03:18.070","+ 5:40.020","+ 47.790","198.440","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"46","7","68","Carl Forberg","USA","Louis Rassey","193","","7 Laps","7 Laps","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"47","8","27","Duane Carter","USA","Rotary Engineering Corp","180","","20 Laps","13 Laps","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"48","DNF","5","Tony Bettenhausen","USA","Rotary Engineering Corp","178","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"49","DNF","18","Duke Nalon","USA","Jean Marcenac","151","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"50","DNF","69","Gene Force","USA","Brown Motor Co","142","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"51","DNF","25","Sam Hanks","USA","Peter Schmidt","135","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"52","DNF","10","Bill Schindler","USA","H A Chapman","129","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"53","DNF","16","Mauri Rose","USA","Howard Keck Co","126","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"54","DNF","2","Walt Faulkner","USA","J C Agajanian","123","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"55","DNF","76","Jimmy Davies","USA","L E Parks","110","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"56","DNF","59","Fred Agabashian","USA","Grancor Auto Specialists","109","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"57","DNF","73","Carl Scarborough","USA","Lee Elkins","100","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"58","DNF","71","Bill Mackey","USA","Karl Hall","97","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"59","DNF","8","Chuck Stevenson","USA","Carl Marchese","93","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"60","DNF","3","Johnnie Parsons","USA","Ed Walsh","87","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"61","DNF","4","Cecil Green","USA","M A Walker","80","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"62","DNF","98","Troy Ruttman","USA","J C Agajanian","78","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"63","DNF","6","Duke Dinsmore","USA","Brown Motor Co","73","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"64","DNF","32","Chet Miller","USA","Jean Marcenac","56","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"65","DNF","44","Walt Brown","USA","Federal Engineering Association","55","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"66","DNF","48","Rodger Ward","USA","Louis & Bruce Bromme","34","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"67","DNF","23","Cliff Griffith","USA","Ludson D Morris","30","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"68","DNF","81","Bill Vukovich","USA","Pete Salemi","29","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"69","DNF","22","George Connor","USA","Lou Moore","29","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"70","DNF","19","Mack Hellings","USA","C G Tuffanelli & J Derrico","18","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"71","DNF","12","Johnny McDowell","USA","Maserati Race Cars","15","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"72","DNF","26","Joe James","USA","Bob Estes","8","","","","","","","May 30, 1951","Indianapolis Motor Speedway","indianapolis-500",1951
"73","1","2","Alberto Ascari","Italy","Scuderia Ferrari","80","2:42:39.300","","","","","","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"74","2","6","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","80","","","","","","","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"75","3","40","Nino Farina","Italy","Alfa Romeo SpA","79","","1 Lap","1 Lap","","1:56.500","64","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"76","3","40","Felice Bonetto","Italy","Alfa Romeo SpA","79","","1 Lap","","","","","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"77","4","4","Luigi Villoresi","Italy","Scuderia Ferrari","79","","1 Lap","","","","","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"78","5","8","Piero Taruffi","Italy","Scuderia Ferrari","78","","2 Laps","1 Lap","","","","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"79","6","48","Andre Simon","France","Equipe Gordini","74","","6 Laps","4 Laps","","","","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"80","7","18","Louis Rosier","France","Ecurie Rosier","73","","7 Laps","1 Lap","","2:11.400","36","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"81","8","24","Yves Giraud-Cabantous","France","Yves Giraud-Cabantous","72","","8 Laps","1 Lap","","2:13.400","65","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"82","9","44","Franco Rol","Italy","Automobili OSCA","67","","13 Laps","5 Laps","","","","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"83","DNF","38","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","39","","","","","","","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"84","DNF","50","Maurice Trintignant","France","Equipe Gordini","29","","","","","","","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"85","DNF","46","Robert Manzon","France","Equipe Gordini","29","","","","","","","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"86","DNF","20","Louis Chiron","Monaco","Ecurie Rosier","23","","","","","2:16.000","15","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
