"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"87","DNF","22","Pierre Levegh","France","Pierre Levegh","9","","","","","2:18.700","4","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"88","DNF","28","Jacques Swaters","Belgium","Ecurie Belgique","7","","","","","2:19.900","3","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"89","DNF","34","Nino Farina","Italy","Alfa Romeo SpA","6","","","","","","","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"90","DNF","26","Johnny Claes","Belgium","Ecurie Belge","4","","","","","2:17.400","4","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"91","DNF","36","Emmanuel de Graffenried","Switzerland","Alfa Romeo SpA","1","","","","","","","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"92","DNF","16","Peter Whitehead","Great Britain","Peter Whitehead","1","","","","","","","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"93","DNF","12","Chico Landi","Brazil","Francisco Landi","","","","","","","","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"94","DNS","30","Reg Parnell","Great Britain","BRM Ltd","","","","","","","","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"95","DNS","32","Ken Richardson","Great Britain","BRM Ltd","","","","","","","","Sep 16, 1951","Autodromo Nazionale Monza","italian-grand-prix",1951
"96","1","12","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","90","2:42:18.200","","","","","","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"97","2","2","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","90","2:43:09.200","+ 51.000","+ 51.000","","","","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"98","3","10","Luigi Villoresi","Italy","Scuderia Ferrari","88","","2 Laps","2 Laps","","","","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"99","4","4","Felice Bonetto","Italy","Alfa Romeo SpA","87","","3 Laps","1 Lap","","","","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"100","5","6","Reg Parnell","Great Britain","BRM Ltd","85","","5 Laps","2 Laps","","","","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"101","6","3","Consalvo Sanesi","Italy","Alfa Romeo SpA","84","","6 Laps","1 Lap","","","","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"102","7","7","Peter Walker","Great Britain","BRM Ltd","84","","6 Laps","","","","","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"103","8","9","Brian Shawe-Taylor","Great Britain","Brian Shawe-Taylor","84","","6 Laps","","","","","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"104","9","14","Peter Whitehead","Great Britain","G A Vandervell","83","","7 Laps","1 Lap","","","","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"105","10","22","Louis Rosier","France","Ecurie Rosier","83","","7 Laps","","","1:53.600","32","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"106","11","8","Bob Gerard","Great Britain","Bob Gerard","82","","8 Laps","1 Lap","","1:53.600","","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"107","12","18","Duncan Hamilton","Great Britain","Duncan Hamilton","81","","9 Laps","1 Lap","","1:54.000","","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"108","13","25","Johnny Claes","Belgium","Ecurie Belge","80","","10 Laps","1 Lap","","1:54.800","47","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"109","DNF","1","Nino Farina","Italy","Alfa Romeo SpA","75","","","","","1:44.000","38","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"110","DNF","5","Joe Kelly","Ireland","Joe Kelly","75","","","","","","","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"111","DNF","11","Alberto Ascari","Italy","Scuderia Ferrari","56","","","","","","","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"112","DNF","17","Philip Fotheringham-Parker","Great Britain","Philip Fotheringham-Parker","46","","","","","","","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"113","DNF","15","David Murray","Great Britain","Scuderia Ambrosiana","45","","","","","","","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"114","DNF","23","Louis Chiron","Monaco","Ecurie Rosier","41","","","","","1:58.600","4","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"115","DNF","16","John James","Great Britain","John James","23","","","","","","","Jul 14, 1951","Silverstone Circuit","british-grand-prix",1951
"116","1","24","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","42","2:07:53.640","","","","2:51.100","33","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"117","2","44","Piero Taruffi","Italy","Scuderia Ferrari","42","2:08:48.880","+ 55.240","+ 55.240","","","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"118","3","22","Nino Farina","Italy","Alfa Romeo SpA","42","2:09:12.950","+ 1:19.310","+ 24.070","","","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"119","4","28","Consalvo Sanesi","Italy","Alfa Romeo SpA","41","","1 Lap","1 Lap","","","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"120","5","26","Emmanuel de Graffenried","Switzerland","Alfa Romeo SpA","40","","2 Laps","1 Lap","","","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"121","6","20","Alberto Ascari","Italy","Scuderia Ferrari","40","","2 Laps","","","","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"122","7","30","Louis Chiron","Monaco","Scuderia Enrico Platé","40","","2 Laps","","","","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"123","8","14","Stirling Moss","Great Britain","HW Motors","40","","2 Laps","","","","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"124","9","8","Louis Rosier","France","Ecurie Rosier","39","","3 Laps","1 Lap","","3:09.000","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"125","10","4","Philippe Etancelin","France","Philippe Etancelin","39","","3 Laps","","","3:13.700","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"126","11","38","RudI Fischer","Switzerland","Ecurie Espadon","39","","3 Laps","","","","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"127","12","32","Harry Schell","USA","Scuderia Enrico Platé","38","","4 Laps","1 Lap","","","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"128","13","2","Johnny Claes","Belgium","Ecurie Belge","35","","7 Laps","3 Laps","","3:24.900","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"129","14","40","Guy Mairesse","France","Yves Giraud-Cabantous","31","","11 Laps","4 Laps","","3:27.000","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"130","DNF","16","Peter Whitehead","Great Britain","Scuderia Ferrari","36","","","","","","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"131","DNF","10","Henri Louveau","France","Ecurie Rosier","30","","","","","3:06.900","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"132","DNF","12","George Abecassis","Great Britain","HW Motors","23","","","","","","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"133","DNF","6","Yves Giraud-Cabantous","France","Yves Giraud-Cabantous","14","","","","","3:29.500","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"134","DNF","18","Luigi Villoresi","Italy","Scuderia Ferrari","12","","","","","","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"135","DNF","42","Jose Froilan Gonzalez","Argentina","Ecurie Rosier","10","","","","","3:25.800","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"136","DNF","52","Peter Hirt","Switzerland","Ecurie Espadon","","","","","","","","May 27, 1951","Circuit Bremgarten","swiss-grand-prix",1951
"137","1","22","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","70","2:46:54.100","","","","2:16.930","3","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"138","2","6","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","70","2:47:48.380","+ 54.280","+ 54.280","","","","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"139","3","20","Nino Farina","Italy","Alfa Romeo SpA","70","","","","","","","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"140","4","2","Alberto Ascari","Italy","Scuderia Ferrari","68","","2 Laps","2 Laps","","","","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"141","5","24","Felice Bonetto","Italy","Alfa Romeo SpA","68","","2 Laps","","","","","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"142","6","26","Emmanuel de Graffenried","Switzerland","Alfa Romeo SpA","66","","4 Laps","2 Laps","","","","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"143","7","28","Louis Rosier","France","Ecurie Rosier","64","","6 Laps","2 Laps","","2:32.570","15","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"144","8","34","Philippe Etancelin","France","Philippe Etancelin","63","","7 Laps","1 Lap","","2:34.590","16","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"145","9","14","Robert Manzon","France","Equipe Gordini","63","","7 Laps","","","","","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"146","10","44","Paco Godia","Spain","Scuderia Milano","60","","10 Laps","3 Laps","","","","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"147","DNF","4","Luigi Villoresi","Italy","Scuderia Ferrari","48","","","","","","","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"148","DNF","16","Andre Simon","France","Equipe Gordini","48","","","","","","","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"149","DNF","36","Johnny Claes","Belgium","Ecurie Belge","37","","","","","2:26.000","16","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"150","DNF","8","Piero Taruffi","Italy","Scuderia Ferrari","30","","","","","","","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"151","DNF","12","Maurice Trintignant","France","Equipe Gordini","25","","","","","","","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"152","DNF","38","Georges Grignard","France","Georges Grignard","23","","","","","2:41.100","23","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"153","DNF","32","Yves Giraud-Cabantous","France","Yves Giraud-Cabantous","7","","","","","2:40.260","4","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"154","DNF","30","Louis Chiron","Monaco","Ecurie Rosier","4","","","","","2:33.220","2","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"155","DNF","18","Prince Bira","Thailand","Prince Bira","1","","","","","","","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"156","DNS","46","Juan Jover","Spain","Scuderia Milano","","","","","","","","Oct 28, 1951","Pedralbes Circuit","spanish-grand-prix",1951
"157","1","71","Alberto Ascari","Italy","Scuderia Ferrari","20","3:23:03.300","","3 Laps","","","","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"158","2","75","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","20","3:23:33.800","+ 30.500","+ 30.500","","9:55.800","12","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"159","3","74","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","20","3:27:42.300","+ 4:39.000","+ 4:08.500","","","","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"160","4","72","Luigi Villoresi","Italy","Scuderia Ferrari","20","3:28:53.500","+ 5:50.200","+ 1:11.200","","","","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"161","5","73","Piero Taruffi","Italy","Scuderia Ferrari","20","3:30:52.400","+ 7:49.100","+ 1:58.900","","","","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"162","6","91","RudI Fischer","Switzerland","Ecurie Espadon","19","","1 Lap","1 Lap","","","","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"163","7","82","Robert Manzon","France","Equipe Gordini","19","","1 Lap","","","","","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"164","8","84","Louis Rosier","France","Ecurie Rosier","19","","1 Lap","","","10:44.500","10","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"165","9","90","Pierre Levegh","France","Pierre Levegh","18","","2 Laps","1 Lap","","11:24.700","8","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"166","10","93","Jacques Swaters","Belgium","Ecurie Belgique","18","","2 Laps","","","11:21.300","6","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"167","11","94","Johnny Claes","Belgium","Ecurie Belge","17","","3 Laps","1 Lap","","11:18.400","12","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"168","DNF","87","Yves Giraud-Cabantous","France","Yves Giraud-Cabantous","17","","","","","10:43.900","7","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"169","DNF","81","Maurice Trintignant","France","Equipe Gordini","13","","","","","","","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"170","DNF","77","Felice Bonetto","Italy","Alfa Romeo SpA","12","","","","","","","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"171","DNF","88","Duncan Hamilton","Great Britain","Duncan Hamilton","12","","","","","11:29.700","6","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"172","DNF","78","Paul Pietsch","Germany","Alfa Romeo SpA","11","","","","","","","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"173","DNF","83","Andre Simon","France","Equipe Gordini","11","","","","","","","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"174","DNF","76","Nino Farina","Italy","Alfa Romeo SpA","8","","","","","","","Jul 29, 1951","Nurburgring","german-grand-prix",1951
"175","DNF","86","Philippe Etancelin","France","Philippe Etancelin","4","","","","","10:58.700","3","Jul 29, 1951","Nurburgring","german-grand-prix",1951
