"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"1","1","9","Bruce McLaren","New Zealand","Cooper Car Co","42","2:12:35.700","","","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"2","2","6","Maurice Trintignant","France","R R C Walker Racing Team","42","2:12:36.300","+ 0.600","+ 0.600","","3:05.000","39","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"3","3","2","Tony Brooks","Great Britain","Scuderia Ferrari","42","2:15:36.600","+ 3:00.900","+ 3:00.300","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"4","4","8","Jack Brabham","Australia","Cooper Car Co","42","2:17:33.000","+ 4:57.300","+ 1:56.400","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"5","5","10","Innes Ireland","Great Britain","Team Lotus","39","","3 Laps","3 Laps","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"6","6","4","Wolfgang von Trips","Germany","Scuderia Ferrari","38","","4 Laps","1 Lap","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"7","7","17","Harry Blanchard","USA","Blanchard Automobile Co","38","","4 Laps","","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"8","DNF","3","Cliff Allison","Great Britain","Scuderia Ferrari","23","","","","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"9","DNF","12","Roy Salvadori","Great Britain","High Efficiency Motors","23","","","","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"10","DNF","1","Rodger Ward","USA","Leader Cards Inc","20","","","","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"11","DNF","14","Alessandro de Tomaso","Argentina","Automobili OSCA","13","","","","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"12","DNF","5","Phil Hill","USA","Scuderia Ferrari","8","","","","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"13","DNF","15","Fritz d'Orey","Brazil","","6","","","","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"14","DNF","7","Stirling Moss","Great Britain","R R C Walker Racing Team","5","","","","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"15","DNF","19","Harry Schell","USA","Ecurie Bleue","5","","","","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"16","DNF","16","George Constantine","USA","Taylor-Crawley Racing Team","5","","","","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"17","DNF","11","Alan Stacey","Great Britain","Team Lotus","2","","","","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"18","DNF","18","Bob Said","USA","Connaught Cars-Paul Emery","","","","","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"19","DNS","22","Phil Cade","USA","Phil Cade","","","","","","","","Dec 12, 1959","Sebring International Raceway","united-states-grand-prix",1959
"20","1","5","Rodger Ward","USA","Leader Cards Inc","200","3:40:49.200","","","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"21","2","16","Jim Rathmann","USA","Lindsey Hopkins","200","3:41:12.480","+ 23.280","+ 23.280","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"22","3","3","Johnny Thomson","USA","Racing Associates","200","3:41:39.840","+ 50.640","+ 27.360","","1:01.890","64","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"23","4","1","Tony Bettenhausen","USA","John R Wills","200","3:42:36.290","+ 1:47.090","+ 56.450","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"24","5","99","Paul Goldsmith","USA","Norman C Demler","200","3:42:55.640","+ 2:06.440","+ 19.350","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"25","6","33","Johnny Boyd","USA","Bignotti-Bowes Racing","200","3:44:06.180","+ 3:16.980","+ 1:10.540","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"26","7","37","Duane Carter","USA","Yunick, Glover & Lathrop","200","3:44:59.120","+ 4:09.920","+ 52.940","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"27","8","19","Eddie Johnson","USA","J S Donaldson","200","3:44:59.730","+ 4:10.530","+ 0.610","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"28","9","45","Paul Russo","USA","Fred Gerhardt","200","3:45:00.240","+ 4:11.040","+ 0.510","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"29","10","10","A.J. Foyt","USA","A E Dean","200","3:45:03.680","+ 4:14.480","+ 3.440","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"30","11","88","Gene Hartley","USA","R T Marley Sr","200","3:46:31.680","+ 5:42.480","+ 1:28.000","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"31","12","74","Bob Veith","USA","John Zink","200","3:46:58.930","+ 6:09.730","+ 27.250","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"32","13","89","Al Herman","USA","Harry Dunn","200","3:47:29.600","+ 6:40.400","+ 30.670","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"33","14","66","Jimmy Daywalt","USA","Federal Auto Associates","200","3:47:30.740","+ 6:41.540","+ 1.140","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"34","15","71","Chuck Arnold","USA","Karl Hall","200","3:49:09.060","+ 8:19.860","+ 1:38.320","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"35","16","58","Jim McWithey","USA","Ray T Brady","200","3:52:30.890","+ 11:41.690","+ 3:21.830","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"36","DNF","44","Eddie Sachs","USA","Peter Schmidt","182","","","","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"37","DNF","57","Al Keller","USA","H H Johnson","163","","","","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"38","DNF","64","Pat Flaherty","USA","John Zink","162","","","","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"39","DNF","73","Dick Rathmann","USA","Kalamazoo Sports Inc","150","","","","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"40","DNF","53","Bill Cheesbourg","USA","Lysle Greenman","147","","","","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"41","DNF","15","Don Freeland","USA","Jim Robbins","136","","","","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"42","DNF","49","Ray Crawford","USA","Ray Crawford","115","","","","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"43","DNF","9","Don Branson","USA","Bob Estes","112","","","","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"44","DNF","65","Bob Christie","USA","Federal Auto Associates","109","","","","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"45","DNF","48","Bobby Grim","USA","Chapman S Root","85","","","","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"46","DNF","24","Jack Turner","USA","Ernest L Ruiz","47","","","","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"47","DNF","47","Chuck Weyant","USA","Roy McKay","45","","","","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"48","DNF","7","Jud Larson","USA","Bignotti-Bowes Racing","45","","","","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
"49","DNF","77","Mike Magill","USA","George Walther Jr","45","","","","","","","May 30, 1959","Indianapolis Motor Speedway","indianapolis-500",1959
