"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"1","1","101","Alberto Ascari","Italy","Scuderia Ferrari","18","3:06:13.300","","","132.300","10:05.100","5","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"2","2","102","Nino Farina","Italy","Scuderia Ferrari","18","3:06:27.400","+ 14.100","+ 14.100","132.100","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"3","3","117","RudI Fischer","Switzerland","Ecurie Espadon","18","3:13:23.400","+ 7:10.100","+ 6:56.000","127.400","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"4","4","103","Piero Taruffi","Italy","Scuderia Ferrari","17","","1 Lap","1 Lap","","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"5","5","108","Jean Behra","France","Equipe Gordini","17","","1 Lap","","","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"6","6","119","Roger Laurent","Great Britain","Ecurie Francorchamps","16","","2 Laps","1 Lap","","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"7","7","121","Fritz Riess","Germany","Fritz Riess","16","","2 Laps","","","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"8","8","125","Toni Ulmen","Germany","Toni Ulmen","16","","2 Laps","","","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"9","9","124","Helmut Niedermayr","Germany","Helmut Niedermayr","15","","3 Laps","1 Lap","","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"10","10","113","Johnny Claes","Belgium","HW Motors","15","","3 Laps","","","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"11","11","128","Hans Klenk","Germany","Hans Klenk","14","","4 Laps","1 Lap","","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"12","12","135","Ernst Klodwig","Germany","Ernst Klodwig","14","","4 Laps","","","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"13","DNF","107","Robert Manzon","France","Equipe Gordini","8","","","","","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"14","DNF","123","Willi Heeks","Germany","Willi Heeks","7","","","","","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"15","DNF","120","Tony Gaze","Australia","Tony Gaze","6","","","","","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"16","DNF","126","Adolf Brudes","Germany","Adolf Brudes","5","","","","","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"17","DNF","110","Marcel Balsa","France","Marcel Balsa","5","","","","","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"18","DNF","130","Günther Bechem","Germany","Bernd Nacke","5","","","","","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
"19","DNF","116","Eitel Cantoni","Uruguay","Escuderia Bandeirantes","4","","","","","","","Aug 3, 1952","Nurburgring","german-grand-prix",1952
