"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"1","1","14","Peter Collins","Great Britain","Scuderia Ferrari","61","2:34:23.400","","","","","","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
"2","2","12","Eugenio Castellotti","Italy","Scuderia Ferrari","61","2:34:23.700","+ 0.300","+ 0.300","","","","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
"3","3","4","Jean Behra","France","Officine Alfieri Maserati","61","2:35:53.300","+ 1:29.900","+ 1:29.600","","","","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
"4","4","10","Juan Manuel Fangio","Argentina","Scuderia Ferrari","61","2:35:58.500","+ 1:35.100","+ 5.200","","2:25.800","61","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
"5","5","6","Stirling Moss","Great Britain","Officine Alfieri Maserati","59","","2 Laps","2 Laps","","","","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
"6","5","6","Cesare Perdisa","Italy","Officine Alfieri Maserati","59","","2 Laps","","","","","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
"7","6","36","Louis Rosier","France","Ecurie Rosier","58","","3 Laps","1 Lap","","","","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
"8","7","40","Paco Godia","Spain","Officine Alfieri Maserati","57","","4 Laps","1 Lap","","","","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
"9","8","32","Nano da Silva Ramos","Brazil","Equipe Gordini","57","","4 Laps","","","","","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
"10","9","30","Robert Manzon","France","Equipe Gordini","56","","5 Laps","1 Lap","","","","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
"11","10","24","Harry Schell","USA","Vandervell Products Ltd","56","","5 Laps","","","","","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
"12","10","24","Mike Hawthorn","Great Britain","Vandervell Products Ltd","56","","5 Laps","","","","","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
"13","11","34","Andre Pilette","Belgium","Equipe Gordini","55","","6 Laps","1 Lap","","","","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
"14","DNF","42","Andre Simon","France","A Simon","41","","","","","","","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
"15","DNF","8","Piero Taruffi","Italy","Officine Alfieri Maserati","40","","","","","","","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
"16","DNF","44","Olivier Gendebien","Belgium","Scuderia Ferrari","38","","","","","","","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
"17","DNF","38","Luigi Villoresi","Italy","L Piotti","23","","","","","","","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
"18","DNF","16","Alfonso de Portago","Spain","Scuderia Ferrari","20","","","","","","","Jul 1, 1956","Reims-Gueux","french-grand-prix",1956
