"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"1","1","14","Bill Vukovich","USA","Howard Keck Co","200","3:49:17.270","","","210.568","","","May 31, 1954","Indianapolis Motor Speedway","indianapolis-500",1954
"2","2","9","Jimmy Bryan","USA","A E Dean","200","3:50:27.220","+ 1:09.950","+ 1:09.950","209.503","","","May 31, 1954","Indianapolis Motor Speedway","indianapolis-500",1954
"3","3","2","Jack McGrath","USA","Jack B Hinkle","200","3:50:37.000","+ 1:19.730","+ 9.780","209.355","1:04.040","29","May 31, 1954","Indianapolis Motor Speedway","indianapolis-500",1954
"4","4","34","Troy Ruttman/Duane Carter/","USA","Eugene A Casaroll","200","3:52:09.950","+ 2:52.680","+ 1:32.950","207.958","","","May 31, 1954","Indianapolis Motor Speedway","indianapolis-500",1954
"5","5","73","Mike Nazaruk","USA","Lee Elkins","200","3:52:41.820","+ 3:24.550","+ 31.870","207.483","","","May 31, 1954","Indianapolis Motor Speedway","indianapolis-500",1954
"6","6","77","Fred Agabashian","USA","Miklos Sperling","200","3:53:04.820","+ 3:47.550","+ 23.000","207.142","","","May 31, 1954","Indianapolis Motor Speedway","indianapolis-500",1954
"7","7","7","Don Freeland","USA","Bob Estes","200","3:53:30.620","+ 4:13.350","+ 25.800","206.760","","","May 31, 1954","Indianapolis Motor Speedway","indianapolis-500",1954
"8","8","5","Paul Russo/Jerry Hoyt/","USA","Hoosier Racing Team","200","3:54:18.440","+ 5:01.170","+ 47.820","206.057","","","May 31, 1954","Indianapolis Motor Speedway","indianapolis-500",1954
"9","9","28","Larry Crockett","USA","Federal Auto Associates","200","3:56:24.510","+ 7:07.240","+ 2:06.070","204.226","","","May 31, 1954","Indianapolis Motor Speedway","indianapolis-500",1954
"10","10","24","Cal Niday","USA","Jim Robbins","200","3:56:24.960","+ 7:07.690","+ 0.450","204.219","","","May 31, 1954","Indianapolis Motor Speedway","indianapolis-500",1954
"11","11","45","Art Cross/Johnnie Parsons/Sam Hanks/Andy Linden/Jimmy Davies/","USA","Ed Walsh","200","3:57:39.460","+ 8:22.190","+ 1:14.500","203.152","","","May 31, 1954","Indianapolis Motor Speedway","indianapolis-500",1954
