"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"39","6","28","Harry Schell/Jean Behra/","USA","Officine Alfieri Maserati","88","3:03:43.400","8 Laps","3 Laps","112.437","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"40","7","22","Luigi Musso/Sergio Mantovani/Harry Schell/","Italy","Officine Alfieri Maserati","83","3:01:12.700","13 Laps","5 Laps","107.519","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"41","DNF","20","Sergio Mantovani/Jean Behra/Luigi Musso/","Italy","Officine Alfieri Maserati","55","","","","","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"42","DNF","26","Clemar Bucci/Carlos Menditeguy/Harry Schell/","Argentina","Officine Alfieri Maserati","55","","","","","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"43","DNF","42","Jesús Ricardo Iglesias","Argentina","Equipe Gordini","38","","","","","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"44","DNF","14","Maurice Trintignant","France","Scuderia Ferrari","36","","","","","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"45","DNF","36","Eugenio Castellotti/Luigi Villoresi/","Italy","Scuderia Lancia","35","","","","","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"46","DNF","6","Stirling Moss","Great Britain","Daimler Benz AG","29","","","","","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"47","DNF","30","Alberto Uria","Uruguay","A Uria","22","","","","","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"48","DNF","32","Alberto Ascari","Italy","Scuderia Lancia","21","","","","","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"49","DNF","38","Elie Bayol","France","Equipe Gordini","7","","","","","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"50","DNF","16","Jean Behra","France","Officine Alfieri Maserati","2","","","","","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"51","DNF","4","Karl Kling","Germany","Daimler Benz AG","2","","","","","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"52","DNF","40","Pablo Birger","Argentina","Equipe Gordini","1","","","","","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"53","DNF","34","Luigi Villoresi","Italy","Scuderia Lancia","1","","","","","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"54","DNF","24","Carlos Menditeguy","Argentina","Officine Alfieri Maserati","1","","","","","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"55","1","44","Maurice Trintignant","France","Scuderia Ferrari","100","2:58:09.800","","","105.914","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"56","2","30","Eugenio Castellotti","Italy","Scuderia Lancia","100","2:58:30.000","+ 20.200","+ 20.200","105.714","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"57","3","34","Jean Behra/Cesare Perdisa/","France","Officine Alfieri Maserati","99","2:59:22.300","1 Lap","1 Lap","104.148","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"58","4","42","Nino Farina","Italy","Scuderia Ferrari","99","2:59:28.400","1 Lap","+ 6.100","104.089","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"59","5","28","Luigi Villoresi","Italy","Scuderia Lancia","99","2:59:59.000","1 Lap","+ 30.600","103.794","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"60","6","32","Louis Chiron","Monaco","Scuderia Lancia","95","2:58:59.100","5 Laps","4 Laps","100.156","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"61","7","10","Jacques Pollet","France","Equipe Gordini","91","2:59:50.200","9 Laps","4 Laps","95.484","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"62","8","48","Piero Taruffi/Paul Frere/","Italy","Scuderia Ferrari","86","2:58:17.700","14 Laps","5 Laps","91.018","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"63","9","6","Stirling Moss","Great Britain","Daimler Benz AG","81","2:58:22.200","19 Laps","5 Laps","85.690","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"64","DNF","40","Cesare Perdisa/Jean Behra/","Italy","Officine Alfieri Maserati","86","","","","","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"65","DNF","26","Alberto Ascari","Italy","Scuderia Lancia","80","","","","","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"66","DNF","46","Harry Schell","USA","Scuderia Ferrari","68","","","","","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"67","DNF","36","Roberto Mieres","Argentina","Officine Alfieri Maserati","64","","","","","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"68","DNF","12","Elie Bayol","France","Equipe Gordini","63","","","","","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"69","DNF","2","Juan Manuel Fangio","Argentina","Daimler Benz AG","49","","","","","1:42.400","27","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"70","DNF","8","Robert Manzon","France","Equipe Gordini","38","","","","","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"71","DNF","4","Andre Simon","France","Daimler Benz AG","24","","","","","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"72","DNF","18","Mike Hawthorn","Great Britain","Vandervell Products","22","","","","","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"73","DNF","14","Louis Rosier","France","Ecurie Rosier","8","","","","","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"74","DNF","38","Luigi Musso","Italy","Officine Alfieri Maserati","7","","","","","","","May 22, 1955","Circuit de Monaco","monaco-grand-prix",1955
"75","1","12","Stirling Moss","Great Britain","Daimler Benz AG","90","3:07:21.200","","","","2:00.400","88","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"76","2","10","Juan Manuel Fangio","Argentina","Daimler Benz AG","90","3:07:21.400","+ 0.200","+ 0.200","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"77","3","14","Karl Kling","Germany","Daimler Benz AG","90","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"78","4","50","Piero Taruffi","Italy","Daimler Benz AG","89","","1 Lap","1 Lap","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"79","5","4","Luigi Musso","Italy","Officine Alfieri Maserati","89","","1 Lap","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"80","6","16","Mike Hawthorn","Great Britain","Scuderia Ferrari","87","","3 Laps","2 Laps","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"81","6","16","Eugenio Castellotti","Italy","Scuderia Ferrari","87","","3 Laps","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"82","7","26","Mike Sparken","France","Equipe Gordini","81","","9 Laps","6 Laps","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"83","8","46","Lance Macklin","Great Britain","Stirling Moss Ltd","79","","11 Laps","2 Laps","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"84","9","28","Ken Wharton","Great Britain","Vandervell Products Ltd","72","","18 Laps","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"85","9","28","Harry Schell","USA","Vandervell Products Ltd","72","","18 Laps","7 Laps","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"86","DNF","18","Maurice Trintignant","France","Scuderia Ferrari","59","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"87","DNF","6","Roberto Mieres","Argentina","Officine Alfieri Maserati","47","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"88","DNF","40","Jack Brabham","Australia","Cooper Car Co","30","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"89","DNF","32","Kenneth McAlpine","Great Britain","Connaught Engineering","30","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"90","DNF","42","Peter Collins","Great Britain","Owen Racing Organisation","28","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"91","DNF","24","Nano da Silva Ramos","Brazil","Equipe Gordini","26","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"92","DNF","44","Roy Salvadori","Great Britain","Gilby Engineering","23","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"93","DNF","48","Horace Gould","Great Britain","H H Gould","22","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"94","DNF","30","Harry Schell","USA","Vandervell Products Ltd","20","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"95","DNF","36","Tony Rolt","Great Britain","R R C Walker Racing Team","19","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"96","DNF","36","Peter Walker","Great Britain","R R C Walker Racing Team","19","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"97","DNF","38","Leslie Marr","Great Britain","L Marr","18","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"98","DNF","20","Eugenio Castellotti","Italy","Scuderia Ferrari","16","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"99","DNF","8","Andre Simon","France","Officine Alfieri Maserati","9","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"100","DNF","2","Jean Behra","France","Officine Alfieri Maserati","9","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"101","DNF","22","Robert Manzon","France","Equipe Gordini","4","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"102","DNS","34","Jack Fairman","Great Britain","Connaught Engineering","","","","","","","","Jul 16, 1955","Aintree Motor Racing Circuit","british-grand-prix",1955
"103","1","18","Juan Manuel Fangio","Argentina","Daimler Benz AG","50","2:25:04.400","","","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"104","2","14","Piero Taruffi","Italy","Daimler Benz AG","50","2:25:05.100","+ 0.700","+ 0.700","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"105","3","4","Eugenio Castellotti","Italy","Scuderia Ferrari","50","2:25:50.600","+ 46.200","+ 45.500","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"106","4","36","Jean Behra","France","Officine Alfieri Maserati","50","2:29:01.900","+ 3:57.500","+ 3:11.300","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"107","5","34","Carlos Menditeguy","Argentina","Officine Alfieri Maserati","49","","1 Lap","1 Lap","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"108","6","12","Umberto Maglioli","Italy","Scuderia Ferrari","49","","1 Lap","","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"109","7","28","Roberto Mieres","Argentina","Officine Alfieri Maserati","48","","2 Laps","1 Lap","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"110","8","8","Maurice Trintignant","France","Scuderia Ferrari","47","","3 Laps","1 Lap","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"111","9","40","John Fitch","USA","Stirling Moss Ltd","46","","4 Laps","1 Lap","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"112","DNF","6","Mike Hawthorn","Great Britain","Scuderia Ferrari","38","","","","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"113","DNF","20","Karl Kling","Germany","Daimler Benz AG","32","","","","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"114","DNF","30","Luigi Musso","Italy","Officine Alfieri Maserati","31","","","","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"115","DNF","38","Horace Gould","Great Britain","Officine Alfieri Maserati","31","","","","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"116","DNF","16","Stirling Moss","Great Britain","Daimler Benz AG","27","","","","","2:46.900","21","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"117","DNF","26","Jacques Pollet","France","Equipe Gordini","26","","","","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"118","DNF","22","Nano da Silva Ramos","Brazil","Equipe Gordini","23","","","","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"119","DNF","32","Peter Collins","Great Britain","Officine Alfieri Maserati","22","","","","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"120","DNF","42","Harry Schell","USA","Vandervell Products Ltd","7","","","","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"121","DNF","24","Jean Lucas","France","Equipe Gordini","7","","","","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"122","DNF","44","Ken Wharton","Great Britain","Vandervell Products Ltd","","","","","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"123","DNS","2","Nino Farina","Italy","Scuderia Ferrari","","","","","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"124","DNS","10","Luigi Villoresi","Italy","Scuderia Ferrari","","","","","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"125","DNA","46","Luigi Piotti","Italy","Arzani-Volpini","","","","","","","","Sep 11, 1955","Autodromo Nazionale Monza","italian-grand-prix",1955
"126","1","8","Juan Manuel Fangio","Argentina","Daimler Benz AG","100","2:54:23.800","","","","","","Jun 19, 1955","Circuit Zandvoort","dutch-grand-prix",1955
"127","2","10","Stirling Moss","Great Britain","Daimler Benz AG","100","2:54:24.100","+ 0.300","+ 0.300","","","","Jun 19, 1955","Circuit Zandvoort","dutch-grand-prix",1955
"128","3","18","Luigi Musso","Italy","Officine Alfieri Maserati","100","2:55:20.900","+ 57.100","+ 56.800","","","","Jun 19, 1955","Circuit Zandvoort","dutch-grand-prix",1955
"129","4","16","Roberto Mieres","Argentina","Officine Alfieri Maserati","99","","1 Lap","1 Lap","","1:40.900","3","Jun 19, 1955","Circuit Zandvoort","dutch-grand-prix",1955
"130","5","6","Eugenio Castellotti","Italy","Scuderia Ferrari","97","","3 Laps","2 Laps","","","","Jun 19, 1955","Circuit Zandvoort","dutch-grand-prix",1955
"131","6","14","Jean Behra","France","Officine Alfieri Maserati","97","","3 Laps","","","","","Jun 19, 1955","Circuit Zandvoort","dutch-grand-prix",1955
"132","7","2","Mike Hawthorn","Great Britain","Scuderia Ferrari","95","","5 Laps","2 Laps","","","","Jun 19, 1955","Circuit Zandvoort","dutch-grand-prix",1955
"133","8","22","Nano da Silva Ramos","Brazil","Equipe Gordini","92","","8 Laps","3 Laps","","","","Jun 19, 1955","Circuit Zandvoort","dutch-grand-prix",1955
"134","9","28","Louis Rosier","France","Ecurie Rosier","92","","8 Laps","","","","","Jun 19, 1955","Circuit Zandvoort","dutch-grand-prix",1955
"135","10","24","Jacques Pollet","France","Equipe Gordini","90","","10 Laps","2 Laps","","","","Jun 19, 1955","Circuit Zandvoort","dutch-grand-prix",1955
"136","11","30","Johnny Claes","Belgium","Equipe Nationale Belge","88","","12 Laps","2 Laps","","","","Jun 19, 1955","Circuit Zandvoort","dutch-grand-prix",1955
"137","DNF","4","Maurice Trintignant","France","Scuderia Ferrari","65","","","","","","","Jun 19, 1955","Circuit Zandvoort","dutch-grand-prix",1955
"138","DNF","20","Robert Manzon","France","Equipe Gordini","44","","","","","","","Jun 19, 1955","Circuit Zandvoort","dutch-grand-prix",1955
"139","DNF","32","Horace Gould","Great Britain","H H Gould","23","","","","","","","Jun 19, 1955","Circuit Zandvoort","dutch-grand-prix",1955
"140","DNF","12","Karl Kling","Germany","Daimler Benz AG","21","","","","","","","Jun 19, 1955","Circuit Zandvoort","dutch-grand-prix",1955
"141","DNF","26","Peter Walker","Great Britain","Stirling Moss Ltd","2","","","","","","","Jun 19, 1955","Circuit Zandvoort","dutch-grand-prix",1955
"142","1","10","Juan Manuel Fangio","Argentina","Daimler Benz AG","36","2:39:29.000","","","191.237","4:20.600","18","Jun 5, 1955","Circuit de Spa-Francorchamps","belgian-grand-prix",1955
"143","2","14","Stirling Moss","Great Britain","Daimler Benz AG","36","2:39:37.100","+ 8.100","+ 8.100","191.075","","","Jun 5, 1955","Circuit de Spa-Francorchamps","belgian-grand-prix",1955
"144","3","2","Nino Farina","Italy","Scuderia Ferrari","36","2:41:09.500","+ 1:40.500","+ 1:32.400","189.249","","","Jun 5, 1955","Circuit de Spa-Francorchamps","belgian-grand-prix",1955
"145","4","6","Paul Frere","Belgium","Scuderia Ferrari","36","2:42:54.500","+ 3:25.500","+ 1:45.000","187.216","","","Jun 5, 1955","Circuit de Spa-Francorchamps","belgian-grand-prix",1955
"146","5","24","Roberto Mieres/Jean Behra/","Argentina","Officine Alfieri Maserati","35","","1 Lap","1 Lap","","","","Jun 5, 1955","Circuit de Spa-Francorchamps","belgian-grand-prix",1955
"147","6","4","Maurice Trintignant","France","Scuderia Ferrari","35","","1 Lap","","","","","Jun 5, 1955","Circuit de Spa-Francorchamps","belgian-grand-prix",1955
"148","7","22","Luigi Musso","Italy","Officine Alfieri Maserati","34","","2 Laps","1 Lap","","","","Jun 5, 1955","Circuit de Spa-Francorchamps","belgian-grand-prix",1955
"149","8","26","Cesare Perdisa","Italy","Officine Alfieri Maserati","33","","3 Laps","1 Lap","","","","Jun 5, 1955","Circuit de Spa-Francorchamps","belgian-grand-prix",1955
"150","9","28","Louis Rosier","France","Ecurie Rosier","33","","3 Laps","","","","","Jun 5, 1955","Circuit de Spa-Francorchamps","belgian-grand-prix",1955
"151","DNF","12","Karl Kling","Germany","Daimler Benz AG","21","","","","","","","Jun 5, 1955","Circuit de Spa-Francorchamps","belgian-grand-prix",1955
"152","DNF","30","Eugenio Castellotti","Italy","Scuderia Lancia","16","","","","","","","Jun 5, 1955","Circuit de Spa-Francorchamps","belgian-grand-prix",1955
"153","DNF","40","Mike Hawthorn","Great Britain","Vandervell Products Ltd","8","","","","","","","Jun 5, 1955","Circuit de Spa-Francorchamps","belgian-grand-prix",1955
"154","DNF","20","Jean Behra","France","Officine Alfieri Maserati","3","","","","","","","Jun 5, 1955","Circuit de Spa-Francorchamps","belgian-grand-prix",1955
"155","DNS","8","Piero Taruffi","Italy","Scuderia Ferrari","","","","","","","","Jun 5, 1955","Circuit de Spa-Francorchamps","belgian-grand-prix",1955
"156","DNS","38","Johnny Claes","Belgium","Stirling Moss Ltd","","","","","","","","Jun 5, 1955","Circuit de Spa-Francorchamps","belgian-grand-prix",1955
"157","DNS","4","Harry Schell","USA","Scuderia Ferrari","","","","","","","","Jun 5, 1955","Circuit de Spa-Francorchamps","belgian-grand-prix",1955
