"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"1","1","6","Bob Sweikert","USA","John Zink","200","3:53:59.530","","","206.330","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"2","2","10","Tony Bettenhausen/Paul Russo/","USA","H A Chapman","200","3:56:43.090","+ 2:43.560","+ 2:43.560","203.960","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"3","3","15","Jimmy Davies","USA","Pat Clancy","200","3:57:31.890","+ 3:32.360","+ 48.800","203.260","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"4","4","44","Johnny Thomson","USA","Peter Schmidt","200","3:57:38.440","+ 3:38.910","+ 6.550","203.170","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"5","5","77","Walt Faulkner/Bill Homeier/","USA","Merz Engineering Inc","200","3:59:16.700","+ 5:17.170","+ 1:38.260","201.770","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"6","6","19","Andy Linden","USA","Joseph Massaglia Jr","200","3:59:57.470","+ 5:57.940","+ 40.770","201.200","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"7","7","71","Al Herman","USA","T W & W T Martin","200","4:00:23.770","+ 6:24.240","+ 26.300","200.840","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"8","8","29","Pat O'Connor","USA","Rotary Engineering Corp","200","4:00:41.130","+ 6:41.600","+ 17.360","200.600","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"9","9","48","Jimmy Daywalt","USA","Chapman S Root","200","4:01:09.340","+ 7:09.810","+ 28.210","200.200","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"10","10","89","Pat Flaherty","USA","Harry Dunn","200","4:01:46.070","+ 7:46.540","+ 36.730","199.700","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"11","11","98","Duane Carter","USA","J C Agajanian","197","","3 Laps","3 Laps","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"12","12","41","Chuck Weyant","USA","Federal Auto Associates","196","","4 Laps","1 Lap","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"13","13","83","Eddie Johnson","USA","Kalamazoo Sports Inc","196","","4 Laps","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"14","14","33","Jim Rathmann","USA","South California Muffler Co","191","","9 Laps","5 Laps","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"15","DNF","12","Don Freeland","USA","Bob Estes","178","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"16","DNF","22","Cal Niday","USA","Racing Associates","170","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"17","DNF","99","Art Cross","USA","Murrell Belanger","168","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"18","DNF","81","Shorty Templeman","USA","Pete Salemi","142","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"19","DNF","8","Sam Hanks","USA","Cars Inc","134","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"20","DNF","31","Keith Andrews","USA","John L McDaniel","120","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"21","DNF","16","Johnnie Parsons","USA","Carl L Anderson","119","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"22","DNF","37","Eddie Russo","USA","R N Sabourin","112","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"23","DNF","49","Ray Crawford","USA","Ray Crawford","111","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"24","DNF","1","Jimmy Bryan","USA","A E Dean","90","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"25","DNF","4","Bill Vukovich","USA","Lindsey Hopkins","56","","","","","1:03.670","27","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"26","DNF","3","Jack McGrath","USA","Jack B Hinkle","54","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"27","DNF","42","Al Keller","USA","Samuel W Traylor III","54","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"28","DNF","39","Johnny Boyd","USA","Chapman S Root","53","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"29","DNF","68","Ed Elisian","USA","M Pete Wales","53","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"30","DNF","27","Rodger Ward","USA","E R Casale","53","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"31","DNF","23","Jerry Hoyt","USA","Jim Robbins","40","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"32","DNF","14","Fred Agabashian","USA","Federal Auto Associates","39","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"33","DNF","5","Jimmy Reece","USA","Emmett J Malloy","10","","","","","","","May 30, 1955","Indianapolis Motor Speedway","indianapolis-500",1955
"34","1","2","Juan Manuel Fangio","Argentina","Daimler Benz AG","96","3:00:38.600","","","124.750","1:48.300","45","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"35","2","12","Jose Froilan Gonzalez/Nino Farina/Maurice Trintignant/","Argentina","Scuderia Ferrari","96","3:02:08.200","+ 1:29.600","+ 1:29.600","123.728","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"36","3","10","Nino Farina/Maurice Trintignant/Umberto Maglioli/","Italy","Scuderia Ferrari","94","3:01:35.700","2 Laps","2 Laps","121.511","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"37","4","8","Hans Herrmann/Karl Kling/Stirling Moss/","Germany","Daimler Benz AG","94","3:01:51.600","2 Laps","+ 15.900","121.334","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
"38","5","18","Roberto Mieres","Argentina","Officine Alfieri Maserati","91","3:02:03.300","5 Laps","3 Laps","117.336","","","Jan 16, 1955","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1955
