"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"1","1","10","Alberto Ascari","Italy","Scuderia Ferrari","97","3:01:04.600","","","125.748","1:48.400","73","Jan 18, 1953","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1953
"2","2","14","Luigi Villoresi","Italy","Scuderia Ferrari","96","3:01:36.300","1 Lap","1 Lap","124.090","","","Jan 18, 1953","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1953
"3","3","4","Jose Froilan Gonzalez","Argentina","Officine Alfieri Maserati","96","3:02:19.200","1 Lap","+ 42.900","123.603","","","Jan 18, 1953","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1953
"4","4","16","Mike Hawthorn","Great Britain","Scuderia Ferrari","96","3:02:33.500","1 Lap","+ 14.300","123.442","","","Jan 18, 1953","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1953
"5","5","8","Oscar Galvez","Argentina","Officine Alfieri Maserati","96","3:02:48.100","1 Lap","+ 14.600","123.278","","","Jan 18, 1953","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1953
"6","6","30","Jean Behra","France","Equipe Gordini","94","3:01:10.000","3 Laps","2 Laps","121.799","","","Jan 18, 1953","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1953
"7","7","28","Maurice Trintignant/Harry Schell/","France","Equipe Gordini","91","3:01:07.100","6 Laps","3 Laps","117.943","","","Jan 18, 1953","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1953
"8","8","22","John Barber","Great Britain","Cooper Car Co","90","3:01:40.600","7 Laps","1 Lap","116.288","","","Jan 18, 1953","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1953
"9","9","20","Alan Brown","Great Britain","Cooper Car Co","87","3:02:48.600","10 Laps","3 Laps","111.715","","","Jan 18, 1953","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1953
"10","DNF","26","Robert Manzon","France","Equipe Gordini","67","","","","","","","Jan 18, 1953","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1953
"11","DNF","2","Juan Manuel Fangio","Argentina","Officine Alfieri Maserati","36","","","","","","","Jan 18, 1953","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1953
"12","DNF","6","Felice Bonetto","Italy","Officine Alfieri Maserati","31","","","","","","","Jan 18, 1953","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1953
"13","DNF","12","Nino Farina","Italy","Scuderia Ferrari","30","","","","","","","Jan 18, 1953","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1953
"14","DNF","32","Carlos Menditeguy","Argentina","Equipe Gordini","24","","","","","","","Jan 18, 1953","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1953
"15","DNF","34","Pablo Birger","Argentina","Equipe Gordini","21","","","","","","","Jan 18, 1953","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1953
"16","DNF","24","Adolfo Schwelm Cruz","Argentina","Cooper Car Co","20","","","","","","","Jan 18, 1953","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1953
"17","1","46","Alberto Ascari","Italy","Scuderia Ferrari","65","3:01:34.400","","","156.366","2:41.300","50","Aug 23, 1953","Circuit Bremgarten","swiss-grand-prix",1953
"18","2","24","Nino Farina","Italy","Scuderia Ferrari","65","3:02:47.330","+ 1:12.930","+ 1:12.930","155.326","","","Aug 23, 1953","Circuit Bremgarten","swiss-grand-prix",1953
"19","3","26","Mike Hawthorn","Great Britain","Scuderia Ferrari","65","3:03:10.360","+ 1:35.960","+ 23.030","155.001","","","Aug 23, 1953","Circuit Bremgarten","swiss-grand-prix",1953
"20","4","32","Juan Manuel Fangio/Felice Bonetto/","Argentina","Officine Alfieri Maserati","64","3:04:16.660","1 Lap","1 Lap","151.701","","","Aug 23, 1953","Circuit Bremgarten","swiss-grand-prix",1953
"21","5","34","Hermann Lang","Germany","Officine Alfieri Maserati","62","3:02:20.300","3 Laps","2 Laps","148.523","","","Aug 23, 1953","Circuit Bremgarten","swiss-grand-prix",1953
