"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"21","DNF","44","Ettore Chimeri","Venezuela","Ettore Chimeri","23","","","","","1:53.400","10","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"22","DNF","12","Antonio Creus","Spain","Antonio Creus","16","","","","","1:52.300","7","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"23","DNF","8","Giorgio Scarlatti","Italy","Giorgio Scarlatti","11","","","","","1:46.800","11","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"24","1","20","Phil Hill","USA","Scuderia Ferrari","50","2:21:09.200","","","212.534","2:43.600","23","Sep 4, 1960","Autodromo Nazionale Monza","italian-grand-prix",1960
"25","2","18","Richie Ginther","USA","Scuderia Ferrari","50","2:23:36.800","+ 2:27.600","+ 2:27.600","208.894","2:43.700","13","Sep 4, 1960","Autodromo Nazionale Monza","italian-grand-prix",1960
"26","3","16","Willy Mairesse","Belgium","Scuderia Ferrari","49","","1 Lap","1 Lap","","2:45.300","33","Sep 4, 1960","Autodromo Nazionale Monza","italian-grand-prix",1960
"27","4","2","Giulio Cabianca","Italy","Scuderia Eugenio Castellotti","48","","2 Laps","1 Lap","","2:49.600","7","Sep 4, 1960","Autodromo Nazionale Monza","italian-grand-prix",1960
"28","5","22","Wolfgang von Trips","Germany","Scuderia Ferrari","48","","2 Laps","","","2:51.700","8","Sep 4, 1960","Autodromo Nazionale Monza","italian-grand-prix",1960
"29","6","26","Hans Herrmann","Germany","Porsche System Engineering","47","","3 Laps","1 Lap","","2:56.300","20","Sep 4, 1960","Autodromo Nazionale Monza","italian-grand-prix",1960
"30","7","24","Edgar Barth","Germany","Dr Ing F Porsche KG","47","","3 Laps","","","2:55.900","20","Sep 4, 1960","Autodromo Nazionale Monza","italian-grand-prix",1960
"31","8","12","Piero Drogo","Italy","Scuderia Colonia","45","","5 Laps","2 Laps","","3:05.300","18","Sep 4, 1960","Autodromo Nazionale Monza","italian-grand-prix",1960
"32","9","10","Wolfgang Seidel","Germany","Wolfgang Seidel","44","","6 Laps","1 Lap","","3:04.300","9","Sep 4, 1960","Autodromo Nazionale Monza","italian-grand-prix",1960
"33","10","28","Fred Gamble","USA","Camoradi International","41","","9 Laps","3 Laps","","3:04.200","23","Sep 4, 1960","Autodromo Nazionale Monza","italian-grand-prix",1960
"34","DNF","6","Brian Naylor","Great Britain","J B Naylor","41","","","","","2:53.300","5","Sep 4, 1960","Autodromo Nazionale Monza","italian-grand-prix",1960
"35","DNF","34","Alfonso Thiele","Italy","Scuderia Centro Sud","32","","","","","2:52.900","9","Sep 4, 1960","Autodromo Nazionale Monza","italian-grand-prix",1960
"36","DNF","4","Gino Munaron","Italy","Scuderia Eugenio Castellotti","27","","","","","2:51.800","6","Sep 4, 1960","Autodromo Nazionale Monza","italian-grand-prix",1960
"37","DNF","36","Giorgio Scarlatti","Italy","Scuderia Centro Sud","26","","","","","2:50.200","22","Sep 4, 1960","Autodromo Nazionale Monza","italian-grand-prix",1960
"38","DNF","30","Vic Wilson","Great Britain","Equipe Prideaux/Dick Gibson","24","","","","","3:14.600","15","Sep 4, 1960","Autodromo Nazionale Monza","italian-grand-prix",1960
"39","DNF","8","Arthur Owen","Great Britain","Arthur Owen","","","","","","","","Sep 4, 1960","Autodromo Nazionale Monza","italian-grand-prix",1960
"40","1","5","Stirling Moss","Great Britain","Rob Walker Racing Team","75","2:28:52.200","","","","1:56.600","53","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"41","2","10","Innes Ireland","Great Britain","Team Lotus","75","2:29:30.200","+ 38.000","+ 38.000","","1:56.600","58","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"42","3","3","Bruce McLaren","New Zealand","Cooper Car Co","75","2:29:44.200","+ 52.000","+ 14.000","","1:57.800","43","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"43","4","2","Jack Brabham","Australia","Cooper Car Co","74","","1 Lap","1 Lap","","1:56.300","71","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"44","5","15","Jo Bonnier","Sweden","Owen Racing Organisation","74","","1 Lap","","","1:57.200","5","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"45","6","9","Phil Hill","USA","Yeoman Credit Racing Team","74","","1 Lap","","","1:59.200","56","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"46","7","24","Jim Hall","USA","Jim Hall","73","","2 Laps","1 Lap","","1:59.300","39","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"47","8","14","Roy Salvadori","Great Britain","High Efficiency Motors","73","","2 Laps","","","2:00.000","54","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"48","9","26","Wolfgang von Trips","Germany","Scuderia Centro Sud","72","","3 Laps","1 Lap","","2:01.500","55","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"49","10","23","Chuck Daigh","USA","","70","","5 Laps","2 Laps","","2:05.000","13","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"50","11","25","Pete Lovely","USA","Fred Armbruster","69","","6 Laps","1 Lap","","2:03.000","67","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"51","12","7","Olivier Gendebien","Belgium","BRP","69","","6 Laps","","","2:00.000","69","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"52","13","20","Bob Drake","USA","Joe Lubin","68","","7 Laps","1 Lap","","2:09.200","15","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"53","14","8","Henry Taylor","Great Britain","Yeoman Credit Racing Team","68","","7 Laps","","","1:59.300","4","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"54","15","18","Maurice Trintignant","France","Scuderia Centro Sud","66","","9 Laps","2 Laps","","2:03.500","55","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"55","16","12","Jim Clark","Great Britain","Team Lotus","61","","14 Laps","5 Laps","","1:59.000","3","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"56","17","17","Graham Hill","Great Britain","Owen Racing Organisation","34","","41 Laps","27 Laps","","1:59.800","3","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"57","18","19","Ian Burgess","Great Britain","Scuderia Centro Sud","29","","46 Laps","5 Laps","","2:06.000","16","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"58","19","21","Brian Naylor","Great Britain","J B Naylor","20","","55 Laps","9 Laps","","2:04.700","15","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"59","20","16","Dan Gurney","USA","Owen Racing Organisation","18","","57 Laps","2 Laps","","1:58.000","6","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"60","21","4","Ron Flockhart","Great Britain","Cooper Car Co","11","","64 Laps","7 Laps","","2:05.200","5","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"61","22","6","Tony Brooks","Great Britain","Yeoman Credit Racing Team","6","","69 Laps","5 Laps","","1:56.400","2","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"62","23","11","John Surtees","Great Britain","Team Lotus","3","","72 Laps","3 Laps","","1:58.600","3","Nov 20, 1960","Riverside International Raceway","united-states-grand-prix",1960
"63","1","4","Jim Rathmann","USA","Ken-Paul Inc","200","3:36:11.360","","","223.320","1:01.590","4","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"64","2","1","Rodger Ward","USA","Leader Cards Inc","200","3:36:24.110","+ 12.750","+ 12.750","223.100","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"65","3","99","Paul Goldsmith","USA","Norman C Demler","200","3:39:18.660","+ 3:07.300","+ 2:54.550","220.150","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"66","4","7","Don Branson","USA","Bob Estes","200","3:39:19.340","+ 3:07.980","+ 0.680","220.130","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"67","5","3","Johnny Thomson","USA","Racing Associates","200","3:39:22.710","+ 3:11.350","+ 3.370","220.080","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"68","6","22","Eddie Johnson","USA","Jim Robbins","200","3:40:21.970","+ 4:10.610","+ 59.260","219.090","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"69","7","98","Lloyd Ruby","USA","J C Agajanian","200","3:40:36.950","+ 4:25.590","+ 14.980","218.840","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"70","8","44","Bob Veith","USA","Peter Schmidt","200","3:41:28.840","+ 5:17.480","+ 51.890","217.990","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"71","9","18","Bud Tingelstad","USA","Jim Robbins","200","3:44:21.270","+ 8:09.910","+ 2:52.430","215.200","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"72","10","38","Bob Christie","USA","Federal Auto Associates","200","3:44:51.640","+ 8:40.280","+ 30.370","214.710","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"73","11","27","Red Amick","USA","Leonard A Faas","200","3:47:21.940","+ 11:10.580","+ 2:30.300","212.350","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"74","12","17","Duane Carter","USA","J Ensley & S Murphy","200","3:47:28.560","+ 11:17.200","+ 6.620","212.240","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"75","13","39","Bill Homeier","USA","Norman Hall","200","3:48:22.070","+ 12:10.710","+ 53.510","211.410","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"76","14","48","Gene Hartley","USA","Chapman S Root","196","","4 Laps","4 Laps","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"77","15","65","Chuck Stevenson","USA","Leader Cards Inc","196","","4 Laps","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"78","16","14","Bobby Grim","USA","William P Forbes","194","","6 Laps","2 Laps","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"79","DNF","26","Shorty Templeman","USA","Federal Auto Associates","191","","","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"80","DNF","56","Jim Hurtubise","USA","Ernest L Ruiz","185","","","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"81","DNF","10","Jimmy Bryan","USA","George Salih","152","","","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"82","DNF","28","Troy Ruttman","USA","John Zink","134","","","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"83","DNF","6","Eddie Sachs","USA","Dean Van Lines","132","","","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"84","DNF","73","Don Freeland","USA","Racing Associates","129","","","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"85","DNF","2","Tony Bettenhausen","USA","Lindsey Hopkins","125","","","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"86","DNF","32","Wayne Weiler","USA","Ansted Rotary Corp","103","","","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"87","DNF","5","A.J. Foyt","USA","Bignotti-Bowes Racing","90","","","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"88","DNF","46","Eddie Russo","USA","C O Prather","84","","","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"89","DNF","8","Johnny Boyd","USA","Bignotti-Bowes Racing","77","","","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"90","DNF","37","Gene Force","USA","Roy McKay","74","","","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"91","DNF","16","Jim McWithey","USA","Hoover Motor Express Inc","60","","","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"92","DNF","9","Len Sutton","USA","Peter Salemi & Nick Rini","47","","","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"93","DNF","97","Dick Rathmann","USA","Jim Robbins","42","","","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"94","DNF","76","Al Herman","USA","Joe Hunt","34","","","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"95","DNF","23","Dempsey Wilson","USA","J S Donaldson","11","","","","","","","May 30, 1960","Indianapolis Motor Speedway","indianapolis-500",1960
"96","1","2","Jack Brabham","Australia","Cooper Car Co","36","2:21:37.300","","","","3:51.900","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"97","2","4","Bruce McLaren","New Zealand","Cooper Car Co","36","2:22:40.600","+ 1:03.300","+ 1:03.300","","","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"98","3","34","Olivier Gendebien","Belgium","BRP","35","","1 Lap","1 Lap","","","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"99","4","24","Phil Hill","USA","Scuderia Ferrari","35","","1 Lap","","","3:51.900","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"100","5","18","Jim Clark","Great Britain","Team Lotus","34","","2 Laps","1 Lap","","","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"101","6","32","Lucien Bianchi","Belgium","Equipe Nationale Belge","28","","8 Laps","6 Laps","","","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"102","DNF","10","Graham Hill","Great Britain","Owen Racing Organisation","35","","","","","","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"103","DNF","16","Alan Stacey","Great Britain","Team Lotus","24","","","","","","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"104","DNF","22","Willy Mairesse","Belgium","Scuderia Ferrari","23","","","","","","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"105","DNF","26","Wolfgang von Trips","Germany","Scuderia Ferrari","22","","","","","","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"106","DNF","36","Chris Bristow","Great Britain","BRP","19","","","","","","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"107","DNF","30","Chuck Daigh","USA","","16","","","","","","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"108","DNF","6","Jo Bonnier","Sweden","Owen Racing Organisation","14","","","","","","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"109","DNF","14","Innes Ireland","Great Britain","Team Lotus","13","","","","","3:51.900","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"110","DNF","8","Dan Gurney","USA","Owen Racing Organisation","4","","","","","","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"111","DNF","38","Tony Brooks","Great Britain","Yeoman Credit Racing Team","2","","","","","","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"112","DNF","28","Lance Reventlow","USA","","1","","","","","","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"113","DNS","12","Stirling Moss","Great Britain","Rob Walker Racing Team","","","","","","","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"114","DNS","20","Mike Taylor","Great Britain","Taylor-Crawley Racing Team","","","","","","","","Jun 19, 1960","Circuit de Spa-Francorchamps","belgian-grand-prix",1960
"115","1","11","Jack Brabham","Australia","Cooper Car Co","75","2:01:47.200","","","","1:34.900","16","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"116","2","4","Innes Ireland","Great Britain","Team Lotus","75","2:02:11.200","+ 24.000","+ 24.000","","1:35.100","44","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"117","3","16","Graham Hill","Great Britain","Owen Racing Organisation","75","2:02:43.800","+ 56.600","+ 32.600","","1:34.600","44","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"118","4","7","Stirling Moss","Great Britain","Rob Walker Racing Team","75","2:02:44.900","+ 57.700","+ 1.100","","1:33.800","75","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"119","5","2","Wolfgang von Trips","Germany","Scuderia Ferrari","74","","1 Lap","1 Lap","","1:37.200","35","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"120","6","3","Richie Ginther","USA","Scuderia Ferrari","74","","1 Lap","","","1:37.100","3","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"121","7","10","Henry Taylor","Great Britain","BRP","78","","","","","1:39.100","6","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"122","8","20","Carel Godin de Beaufort","Netherlands","Ecurie Maarsbergen","69","","6 Laps","9 Laps","","1:39.600","47","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"123","9","5","Alan Stacey","Great Britain","Team Lotus","57","","18 Laps","12 Laps","","1:34.600","44","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"124","10","14","Jo Bonnier","Sweden","Owen Racing Organisation","54","","21 Laps","3 Laps","","1:37.200","41","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"125","11","1","Phil Hill","USA","Scuderia Ferrari","54","","21 Laps","","","1:37.700","3","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"126","12","6","Jim Clark","Great Britain","Team Lotus","42","","33 Laps","12 Laps","","1:35.700","35","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"127","13","18","Maurice Trintignant","France","Scuderia Centro Sud","39","","36 Laps","3 Laps","","1:38.100","8","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"128","14","15","Dan Gurney","USA","Owen Racing Organisation","11","","64 Laps","28 Laps","","1:34.300","5","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"129","15","8","Chris Bristow","Great Britain","Yeoman Credit Racing Team","9","","66 Laps","2 Laps","","1:36.700","3","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"130","16","12","Bruce McLaren","New Zealand","Cooper Car Co","8","","67 Laps","1 Lap","","1:37.000","3","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"131","17","9","Tony Brooks","Great Britain","Yeoman Credit Racing Team","4","","71 Laps","4 Laps","","1:38.900","2","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"132","18","17","Roy Salvadori","Great Britain","David Brown Corporation","","","75 Laps","4 Laps","","","","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"133","19","19","Masten Gregory","USA","Scuderia Centro Sud","","","75 Laps","","","","","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"134","20","21","Lance Reventlow","USA","","","","75 Laps","","","","","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"135","21","22","Chuck Daigh","USA","","","","75 Laps","","","","","Jun 6, 1960","Circuit Zandvoort","dutch-grand-prix",1960
"136","1","28","Stirling Moss","Great Britain","Rob Walker Racing Team","100","2:53:45.500","","","108.600","1:36.400","73","May 29, 1960","Circuit de Monaco","monaco-grand-prix",1960
"137","2","10","Bruce McLaren","New Zealand","Cooper Car Co","100","2:54:37.600","+ 52.100","+ 52.100","108.100","1:36.200","11","May 29, 1960","Circuit de Monaco","monaco-grand-prix",1960
"138","3","36","Phil Hill","USA","Scuderia Ferrari","100","2:54:47.400","+ 1:01.900","+ 9.800","108.000","1:37.600","77","May 29, 1960","Circuit de Monaco","monaco-grand-prix",1960
"139","4","18","Tony Brooks","Great Britain","Yeoman Credit Racing Team","99","","1 Lap","1 Lap","","1:37.800","76","May 29, 1960","Circuit de Monaco","monaco-grand-prix",1960
"140","5","2","Jo Bonnier","Sweden","Owen Racing Organisation","83","","17 Laps","16 Laps","","1:37.800","27","May 29, 1960","Circuit de Monaco","monaco-grand-prix",1960
"141","6","34","Richie Ginther","USA","Scuderia Ferrari","70","","30 Laps","13 Laps","","1:36.900","18","May 29, 1960","Circuit de Monaco","monaco-grand-prix",1960
"142","7","6","Graham Hill","Great Britain","Owen Racing Organisation","66","","34 Laps","4 Laps","","1:36.600","11","May 29, 1960","Circuit de Monaco","monaco-grand-prix",1960
"143","8","38","Wolfgang von Trips","Germany","Scuderia Ferrari","61","","39 Laps","5 Laps","","1:37.800","18","May 29, 1960","Circuit de Monaco","monaco-grand-prix",1960
"144","9","22","Innes Ireland","Great Britain","Team Lotus","56","","44 Laps","5 Laps","","1:36.300","11","May 29, 1960","Circuit de Monaco","monaco-grand-prix",1960
"145","DNF","4","Dan Gurney","USA","Owen Racing Organisation","44","","","","","1:38.700","18","May 29, 1960","Circuit de Monaco","monaco-grand-prix",1960
"146","DSQ","8","Jack Brabham","Australia","Cooper Car Co","40","","","","","1:37.900","16","May 29, 1960","Circuit de Monaco","monaco-grand-prix",1960
"147","DNF","14","Roy Salvadori","Great Britain","High Efficiency Motors","29","","","","","1:38.800","14","May 29, 1960","Circuit de Monaco","monaco-grand-prix",1960
"148","DNF","24","Alan Stacey","Great Britain","Team Lotus","23","","","","","1:39.500","18","May 29, 1960","Circuit de Monaco","monaco-grand-prix",1960
"149","DNF","16","Chris Bristow","Great Britain","Yeoman Credit Racing Team","17","","","","","1:38.200","15","May 29, 1960","Circuit de Monaco","monaco-grand-prix",1960
"150","DNF","26","John Surtees","Great Britain","Team Lotus","17","","","","","1:39.000","16","May 29, 1960","Circuit de Monaco","monaco-grand-prix",1960
"151","DNF","44","Maurice Trintignant","France","Scuderia Centro Sud","4","","","","","1:43.400","4","May 29, 1960","Circuit de Monaco","monaco-grand-prix",1960
"152","1","1","Jack Brabham","Australia","Cooper Car Co","77","2:04:24.300","","","","1:35.000","56","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"153","2","9","John Surtees","Great Britain","Team Lotus","77","2:05:13.900","+ 49.600","+ 49.600","","1:35.800","51","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"154","3","7","Innes Ireland","Great Britain","Team Lotus","77","2:05:53.900","+ 1:29.600","+ 40.000","","1:35.800","23","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"155","4","2","Bruce McLaren","New Zealand","Cooper Car Co","76","","1 Lap","1 Lap","","1:36.400","14","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"156","5","12","Tony Brooks","Great Britain","Yeoman Credit Racing Team","76","","1 Lap","","","1:37.000","46","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"157","6","11","Wolfgang von Trips","Germany","Scuderia Ferrari","75","","2 Laps","1 Lap","","1:38.000","46","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"158","7","10","Phil Hill","USA","Scuderia Ferrari","75","","2 Laps","","","1:37.200","66","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"159","8","15","Henry Taylor","Great Britain","BRP","74","","3 Laps","1 Lap","","1:38.600","39","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"160","9","14","Olivier Gendebien","Belgium","BRP","74","","3 Laps","","","1:38.800","29","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"161","10","5","Dan Gurney","USA","Owen Racing Organisation","74","","3 Laps","","","1:37.000","5","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"162","11","19","Maurice Trintignant","France","David Brown Corporation","72","","5 Laps","2 Laps","","1:41.000","32","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
"163","12","26","David Piper","Great Britain","Robert Bodle Ltd","72","","5 Laps","","","1:41.200","31","Jul 16, 1960","Silverstone Circuit","british-grand-prix",1960
