"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"1","1","16","Bruce McLaren","New Zealand","Cooper Car Co","80","2:17:49.500","","","","1:41.300","35","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"2","2","24","Cliff Allison","Great Britain","Scuderia Ferrari","80","2:18:15.800","+ 26.300","+ 26.300","","1:41.100","54","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"3","3","38","Maurice Trintignant","France","Rob Walker Racing Team","80","2:18:26.400","+ 36.900","","","1:41.300","34","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"4","3","38","Stirling Moss","Great Britain","Rob Walker Racing Team","80","2:18:26.400","+ 36.900","+ 10.600","","","","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"5","4","6","Carlos Menditeguy","Argentina","Cooper","80","2:18:42.800","+ 53.300","+ 16.400","","1:41.000","24","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"6","5","30","Wolfgang von Trips","Germany","Scuderia Ferrari","79","","1 Lap","1 Lap","","1:41.600","12","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"7","6","20","Innes Ireland","Great Britain","Team Lotus","79","","1 Lap","","","1:40.000","14","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"8","7","40","Jo Bonnier","Sweden","Owen Racing Organisation","79","","1 Lap","","","1:39.500","20","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"9","8","26","Phil Hill","USA","Scuderia Ferrari","77","","3 Laps","2 Laps","","1:41.000","22","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"10","9","46","Alberto Rodriguez Larreta","Argentina","Team Lotus","77","","3 Laps","","","1:40.400","15","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"11","10","32","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","77","","3 Laps","","","1:42.300","4","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"12","11","4","Roberto Bonomi","Argentina","Scuderia Centro Sud","76","","4 Laps","1 Lap","","1:45.000","56","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"13","12","2","Masten Gregory","USA","Camoradi International","76","","4 Laps","","","1:45.200","47","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"14","13","14","Gino Munaron","Italy","Gino Munaron","72","","8 Laps","4 Laps","","1:49.700","51","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"15","14","10","Nasif Estefano","Argentina","Scuderia Centro Sud","70","","10 Laps","2 Laps","","1:51.000","2","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"16","DNF","34","Harry Schell","USA","Ecurie Bleue","63","","","","","1:42.100","43","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"17","DNF","18","Jack Brabham","Australia","Cooper Car Co","42","","","","","1:40.500","7","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"18","DNF","36","Stirling Moss","Great Britain","Rob Walker Racing Team","40","","","","","1:38.900","37","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"19","DNF","42","Graham Hill","Great Britain","Owen Racing Organisation","37","","","","","1:40.400","17","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
"20","DNF","22","Alan Stacey","Great Britain","Team Lotus","24","","","","","1:42.900","4","Feb 7, 1960","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1960
