"","ENGINE","Date","year","gp_name","circuit","Pos","Driver","Time","Kph","race_pos","exp","circuit_length","points","race_points","wdc_points","wdc_points_shift","new_team","new_engine","team_index","driver_index","engine_index","race_index"
"133","Talbot CV",1950-09-03,1950,"italian-grand-prix","Autodromo Nazionale Monza",14,"Henri Louveau",133.8,169.506,99,1,6.29998271904762,0,0,0,0,"Ecurie Rosier","Talbot CV",7,28,3,6
"134","Talbot CV",1950-09-03,1950,"italian-grand-prix","Autodromo Nazionale Monza",22,"Johnny Claes",138.6,163.636,99,6,6.29998271904762,0,0,0,0,"Other","Talbot CV",2,18,3,6
"135","Ferrari",1951-06-17,1951,"belgian-grand-prix","Circuit de Spa-Francorchamps",3,"Luigi Villoresi",269,188.966011698173,3,5,14.1199603185579,1,4,4,0,"Ferrari","Ferrari",5,13,6,6
"136","Maserati",1951-07-14,1951,"british-grand-prix","Silverstone Circuit",16,"Philip Fotheringham-Parker",133.2,126.587877721471,99,1,4.68375147569444,0,0,0,0,"Solo","Maserati",4,37,2,6
"137","Simca-Gordini",1951-10-28,1951,"spanish-grand-prix","Pedralbes Circuit",10,"Andre Simon",144.6,157.668049792531,99,4,6.333,0,0,0,0,"Equipe Gordini","Simca-Gordini",6,42,7,6
"138","Simca-Gordini",1951-10-28,1951,"spanish-grand-prix","Pedralbes Circuit",11,"Maurice Trintignant",145.25,156.96247848537,99,6,6.333,0,0,0,0,"Equipe Gordini","Simca-Gordini",6,27,7,6
"139","Alta",1952-06-22,1952,"belgian-grand-prix","Circuit de Spa-Francorchamps",14,"Lance Macklin",315,161.370975069233,11,2,14.1199603185579,0,0,0,0,"HW Motors","Alta",8,49,5,6
"140","Alta",1952-06-22,1952,"belgian-grand-prix","Circuit de Spa-Francorchamps",16,"Tony Gaze",320,158.849553583777,15,1,14.1199603185579,0,0,0,0,"Solo","Alta",4,56,5,6
"141","Alta",1952-06-22,1952,"belgian-grand-prix","Circuit de Spa-Francorchamps",20,"Roger Laurent",335,151.736887005399,12,1,14.1199603185579,0,0,0,0,"HW Motors","Alta",8,57,5,6
"142","Gordini ",1952-09-07,1952,"italian-grand-prix","Autodromo Nazionale Monza",7,"Robert Manzon",128.2,176.911,14,14,6.29998271904762,0,0,6,6,"Equipe Gordini","Gordini ",6,15,8,6
"143","Gordini ",1952-09-07,1952,"italian-grand-prix","Autodromo Nazionale Monza",11,"Jean Behra",130.8,173.394,99,6,6.29998271904762,0,0,4,4,"Equipe Gordini","Gordini ",6,47,8,6
"144","Bristol",1953-06-07,1953,"dutch-grand-prix","Circuit Zandvoort",18,"Ken Wharton",126.4,119.42,99,5,4.1929854619883,0,0,0,0,"Solo","Bristol",4,85,9,6
"145","Francis",1953-07-05,1953,"french-grand-prix","Reims-Gueux",11,"Prince Bira",173.2,173.494,99,10,8.18737912037037,0,0,0,0,"Connaught Engineering","Francis",9,3,10,6
"146","Francis",1953-07-05,1953,"french-grand-prix","Reims-Gueux",19,"Roy Salvadori",203,148.025,99,3,8.18737912037037,0,0,0,0,"Connaught Engineering","Francis",9,88,10,6
"147","Mercedes",1954-10-24,1954,"spanish-grand-prix","Pedralbes Circuit",2,"Juan Manuel Fangio",139.1,163.902228612509,3,29,6.333,1,4,16,12,"Daimler Benz AG","Mercedes",10,2,11,6
"148","Mercedes",1954-10-24,1954,"spanish-grand-prix","Pedralbes Circuit",9,"Hans Herrmann",141.9,160.668076109937,99,6,6.333,0,0,0,0,"Daimler Benz AG","Mercedes",10,74,11,6
"149","Ferrari",1951-07-01,1951,"french-grand-prix","Reims-Gueux",3,"Alberto Ascari",188.1,156.696251107567,2,7,8.18737912037037,1,6,6,0,"Ferrari","Ferrari",5,19,6,7
"150","Ferrari",1951-07-01,1951,"french-grand-prix","Reims-Gueux",9,"Reg Parnell",204,144.483160947712,4,3,8.18737912037037,1,3,3,0,"Other","Ferrari",2,30,6,7
"151","Alfa Romeo ",1951-05-27,1951,"swiss-grand-prix","Circuit Bremgarten",2,"Nino Farina",157.8,166.083140601027,3,7,7.2799776630117,1,4,12,8,"Alfa Romeo SpA","Alfa Romeo ",1,24,1,7
"152","Alfa Romeo ",1951-05-27,1951,"swiss-grand-prix","Circuit Bremgarten",5,"Emmanuel de Graffenried",161.8,161.977253317936,5,5,7.2799776630117,1,2,2,0,"Alfa Romeo SpA","Alfa Romeo ",1,16,1,7
"153","Talbot CV",1951-05-27,1951,"swiss-grand-prix","Circuit Bremgarten",8,"Louis Rosier",172.7,151.754021927285,9,7,7.2799776630117,0,0,3,3,"Ecurie Rosier","Talbot CV",7,5,3,7
"154","Talbot CV",1951-05-27,1951,"swiss-grand-prix","Circuit Bremgarten",11,"Henri Louveau",176.2,148.739611730091,99,2,7.2799776630117,0,0,0,0,"Ecurie Rosier","Talbot CV",7,28,3,7
"155","Talbot CV",1951-05-27,1951,"swiss-grand-prix","Circuit Bremgarten",12,"Philippe Etancelin",177.3,147.816805340339,10,7,7.2799776630117,0,0,0,0,"Solo","Talbot CV",4,12,3,7
"156","Talbot CV",1951-05-27,1951,"swiss-grand-prix","Circuit Bremgarten",13,"Jose Froilan Gonzalez",177.3,147.816805340339,99,3,7.2799776630117,0,0,6,6,"Ecurie Rosier","Talbot CV",7,11,3,7
"157","Talbot CV",1951-05-27,1951,"swiss-grand-prix","Circuit Bremgarten",15,"Yves Giraud-Cabantous",180.3,145.357291108387,99,5,7.2799776630117,0,0,2,2,"Other","Talbot CV",2,20,3,7
"158","Maserati",1951-07-29,1951,"german-grand-prix","Nurburgring",17,"Toni Branca",686.7,119.580159331324,99,3,22.8099153924501,0,0,0,0,"Solo","Maserati",4,46,2,7
"159","Alta",1952-07-06,1952,"french-grand-prix","Rouen-Les-Essarts",10,"Yves Giraud-Cabantous",147.5,135.286779661017,10,11,5.543,0,0,0,0,"HW Motors","Alta",8,20,5,7
"160","Alta",1952-07-06,1952,"french-grand-prix","Rouen-Les-Essarts",14,"Lance Macklin",150.9,132.238568588469,9,3,5.543,0,0,0,0,"HW Motors","Alta",8,49,5,7
"161","Gordini ",1953-01-18,1953,"argentine-grand-prix","Autódromo Juan y Oscar Gálvez",7,"Maurice Trintignant",220.4,63.9046965075155,7,12,3.91238753062678,0,0,0,0,"Equipe Gordini","Gordini ",6,27,8,7
"162","Gordini ",1953-01-18,1953,"argentine-grand-prix","Autódromo Juan y Oscar Gálvez",11,"Jean Behra",222.6,63.273113702859,6,7,3.91238753062678,0,0,0,0,"Equipe Gordini","Gordini ",6,47,8,7
"163","Gordini ",1953-01-18,1953,"argentine-grand-prix","Autódromo Juan y Oscar Gálvez",14,"Pablo Birger",223.8,62.9338476776426,99,1,3.91238753062678,0,0,0,0,"Equipe Gordini","Gordini ",6,70,8,7
"164","Francis",1953-07-18,1953,"british-grand-prix","Silverstone Circuit",10,"Tony Rolt",114,148.752,99,1,4.68375147569444,0,0,0,0,"Solo","Francis",4,84,10,7
"165","Francis",1953-07-18,1953,"british-grand-prix","Silverstone Circuit",13,"Kenneth McAlpine",117,144.938,99,4,4.68375147569444,0,0,0,0,"Connaught Engineering","Francis",9,75,10,7
"166","Bristol",1953-07-05,1953,"french-grand-prix","Reims-Gueux",12,"Bob Gerard",174.2,172.498,11,4,8.18737912037037,0,0,0,0,"Solo","Bristol",4,8,9,7
"167","Mercedes",1955-01-16,1955,"argentine-grand-prix","Autódromo Juan y Oscar Gálvez",3,"Juan Manuel Fangio",103.6,135.952,1,30,3.91238753062678,1,9,9,0,"Daimler Benz AG","Mercedes",10,2,11,7
"168","Mercedes",1955-01-16,1955,"argentine-grand-prix","Autódromo Juan y Oscar Gálvez",6,"Karl Kling",104.1,135.299,4,7,3.91238753062678,1,3,3,0,"Daimler Benz AG","Mercedes",10,94,11,7
"169","Mercedes",1955-01-16,1955,"argentine-grand-prix","Autódromo Juan y Oscar Gálvez",8,"Stirling Moss",104.4,134.91,4,17,3.91238753062678,1,3,3,0,"Daimler Benz AG","Mercedes",10,40,11,7
"170","Alfa Romeo ",1951-06-17,1951,"belgian-grand-prix","Circuit de Spa-Francorchamps",1,"Juan Manuel Fangio",265,191.818328855881,9,8,14.1199603185579,0,1,10,9,"Alfa Romeo SpA","Alfa Romeo ",1,2,1,8
"171","Alfa Romeo ",1951-06-17,1951,"belgian-grand-prix","Circuit de Spa-Francorchamps",6,"Consalvo Sanesi",276,184.173395459451,99,3,14.1199603185579,0,0,0,0,"Alfa Romeo SpA","Alfa Romeo ",1,26,1,8
"172","Talbot CV",1951-06-17,1951,"belgian-grand-prix","Circuit de Spa-Francorchamps",7,"Louis Rosier",285,178.357393497574,4,8,14.1199603185579,1,3,3,0,"Ecurie Rosier","Talbot CV",7,5,3,8
"173","Talbot CV",1951-06-17,1951,"belgian-grand-prix","Circuit de Spa-Francorchamps",8,"Yves Giraud-Cabantous",292,174.081702557563,5,6,14.1199603185579,1,2,2,0,"Other","Talbot CV",2,20,3,8
"174","Talbot CV",1951-06-17,1951,"belgian-grand-prix","Circuit de Spa-Francorchamps",11,"Johnny Claes",309,164.504392060869,7,8,14.1199603185579,0,0,0,0,"Other","Talbot CV",2,18,3,8
"175","Talbot CV",1951-06-17,1951,"belgian-grand-prix","Circuit de Spa-Francorchamps",13,"Pierre Levegh",317,160.352861661857,8,4,14.1199603185579,0,0,0,0,"Solo","Talbot CV",4,23,3,8
"176","Ferrari",1951-07-14,1951,"british-grand-prix","Silverstone Circuit",4,"Alberto Ascari",105.4,159.97633123814,99,8,4.68375147569444,0,0,14,14,"Ferrari","Ferrari",5,19,6,8
"177","Ferrari",1951-07-14,1951,"british-grand-prix","Silverstone Circuit",8,"Peter Whitehead",114.6,147.133554210297,9,5,4.68375147569444,0,0,0,0,"Other","Ferrari",2,34,6,8
"178","Maserati",1951-10-28,1951,"spanish-grand-prix","Pedralbes Circuit",17,"Paco Godia",157.45,144.800254048904,10,1,6.333,0,0,0,0,"Other","Maserati",2,43,2,8
"179","Alta",1952-07-19,1952,"british-grand-prix","Silverstone Circuit",11,"Duncan Hamilton",117,144.115430021368,99,3,4.68375147569444,0,0,0,0,"HW Motors","Alta",8,35,5,8
"180","Alta",1952-07-19,1952,"british-grand-prix","Silverstone Circuit",12,"Graham Whitehead",118,142.894112817797,12,1,4.68375147569444,0,0,0,0,"Other","Alta",2,60,5,8
"181","Alta",1952-07-19,1952,"british-grand-prix","Silverstone Circuit",26,"Tony Gaze",125,134.8920425,99,2,4.68375147569444,0,0,0,0,"Solo","Alta",4,56,5,8
"182","Alta",1952-07-19,1952,"british-grand-prix","Silverstone Circuit",29,"Lance Macklin",128,131.730510253906,15,4,4.68375147569444,0,0,0,0,"HW Motors","Alta",8,49,5,8
"183","Francis",1953-08-02,1953,"german-grand-prix","Nurburgring",15,"Prince Bira",662.1,124.023,99,12,22.8099153924501,0,0,0,0,"Connaught Engineering","Francis",9,3,10,8
"184","Francis",1953-08-02,1953,"german-grand-prix","Nurburgring",16,"Kenneth McAlpine",667.3,123.057,13,5,22.8099153924501,0,0,0,0,"Connaught Engineering","Francis",9,75,10,8
"185","Bristol",1953-07-18,1953,"british-grand-prix","Silverstone Circuit",11,"Ken Wharton",114,148.752,8,7,4.68375147569444,0,0,0,0,"Solo","Bristol",4,85,9,8
"186","Bristol",1953-07-18,1953,"british-grand-prix","Silverstone Circuit",15,"Jimmy Stewart",118,143.71,99,1,4.68375147569444,0,0,0,0,"Other","Bristol",2,86,9,8
"187","Gordini ",1953-06-07,1953,"dutch-grand-prix","Circuit Zandvoort",10,"Harry Schell",120.1,125.685,99,8,4.1929854619883,0,0,0,0,"Equipe Gordini","Gordini ",6,52,8,8
"188","Gordini ",1953-06-07,1953,"dutch-grand-prix","Circuit Zandvoort",12,"Maurice Trintignant",121.2,124.544,6,13,4.1929854619883,0,0,0,0,"Equipe Gordini","Gordini ",6,27,8,8
"189","Mercedes",1955-05-22,1955,"monaco-grand-prix","Circuit de Monaco",1,"Juan Manuel Fangio",101.1,111.988,99,31,3.16156530190058,0,1,10,9,"Daimler Benz AG","Mercedes",10,2,11,8
"190","Alfa Romeo ",1951-07-01,1951,"french-grand-prix","Reims-Gueux",1,"Juan Manuel Fangio",185.7,158.721404595225,1,9,8.18737912037037,1,9,9,0,"Alfa Romeo SpA","Alfa Romeo ",1,2,1,9
"191","Alfa Romeo ",1951-07-01,1951,"french-grand-prix","Reims-Gueux",2,"Nino Farina",187.4,157.28156261117,5,9,8.18737912037037,1,2,2,0,"Alfa Romeo SpA","Alfa Romeo ",1,24,1,9
"192","Alfa Romeo ",1951-07-01,1951,"french-grand-prix","Reims-Gueux",7,"Luigi Fagioli",193.1,152.638865009494,1,7,8.18737912037037,1,8,8,0,"Alfa Romeo SpA","Alfa Romeo ",1,1,1,9
"193","Talbot CV",1951-07-01,1951,"french-grand-prix","Reims-Gueux",8,"Louis Chiron",203.7,144.695949108166,6,8,8.18737912037037,0,0,0,0,"Ecurie Rosier","Talbot CV",7,6,3,9
"194","Talbot CV",1951-07-01,1951,"french-grand-prix","Reims-Gueux",19,"Guy Mairesse",218.4,134.956798687424,9,3,8.18737912037037,0,0,0,0,"Other","Talbot CV",2,33,3,9
"195","Ferrari",1951-07-29,1951,"german-grand-prix","Nurburgring",1,"Alberto Ascari",595.8,137.824262190031,1,9,22.8099153924501,1,8,25,17,"Ferrari","Ferrari",5,19,6,9
"196","Ferrari",1951-07-29,1951,"german-grand-prix","Nurburgring",6,"Piero Taruffi",612.9,133.978945036418,5,4,22.8099153924501,1,2,2,0,"Ferrari","Ferrari",5,44,6,9
"197","Alta",1952-08-17,1952,"dutch-grand-prix","Circuit Zandvoort",9,"Lance Macklin",115.2,131.030795687134,8,5,4.1929854619883,0,0,0,0,"HW Motors","Alta",8,49,5,9
"198","Alta",1952-08-17,1952,"dutch-grand-prix","Circuit Zandvoort",14,"Dries van der Lof",119.4,126.421672220753,99,1,4.1929854619883,0,0,0,0,"HW Motors","Alta",8,65,5,9
"199","Maserati",1952-07-06,1952,"french-grand-prix","Rouen-Les-Essarts",16,"Philippe Etancelin",153.7,129.829538061158,8,12,5.543,0,0,0,0,"Other","Maserati",2,12,2,9
"200","Bristol",1953-08-02,1953,"german-grand-prix","Nurburgring",17,"Alan Brown",668.7,122.799,99,7,22.8099153924501,0,0,0,0,"Solo","Bristol",4,50,9,9
"201","Bristol",1953-08-02,1953,"german-grand-prix","Nurburgring",20,"Rodney Nuckey",682.1,120.387,11,1,22.8099153924501,0,0,0,0,"Solo","Bristol",4,76,9,9
"202","Gordini ",1953-06-21,1953,"belgian-grand-prix","Circuit de Spa-Francorchamps",12,"Harry Schell",293,173.488,7,9,14.1199603185579,0,0,0,0,"Equipe Gordini","Gordini ",6,52,8,9
"203","Gordini ",1953-06-21,1953,"belgian-grand-prix","Circuit de Spa-Francorchamps",14,"Jean Behra",297,171.151,99,8,14.1199603185579,0,0,0,0,"Equipe Gordini","Gordini ",6,47,8,9
"204","Francis",1953-09-13,1953,"italian-grand-prix","Autodromo Nazionale Monza",14,"Roy Salvadori",128,177.187013973214,99,6,6.29998271904762,0,0,0,0,"Connaught Engineering","Francis",9,88,10,9
"205","Francis",1953-09-13,1953,"italian-grand-prix","Autodromo Nazionale Monza",30,"Johnny Claes",148.2,153.036017466744,99,22,6.29998271904762,0,0,0,0,"Other","Francis",2,18,10,9
"206","Mercedes",1955-06-05,1955,"belgian-grand-prix","Circuit de Spa-Francorchamps",6,"Karl Kling",264,192.545,99,8,14.1199603185579,0,0,7,7,"Daimler Benz AG","Mercedes",10,94,11,9
"207","Ferrari",1951-09-16,1951,"italian-grand-prix","Autodromo Nazionale Monza",3,"Alberto Ascari",115.1,197.04550641678,1,10,6.29998271904762,1,8,14,6,"Ferrari","Ferrari",5,19,6,10
"208","Ferrari",1951-09-16,1951,"italian-grand-prix","Autodromo Nazionale Monza",4,"Jose Froilan Gonzalez",115.9,195.685399383705,2,7,6.29998271904762,1,6,6,0,"Ferrari","Ferrari",5,11,6,10
"209","Ferrari",1951-09-16,1951,"italian-grand-prix","Autodromo Nazionale Monza",19,"Peter Whitehead",136.2,166.519367023285,99,6,6.29998271904762,0,0,0,0,"Other","Ferrari",2,34,6,10
"210","Alfa Romeo ",1951-07-14,1951,"british-grand-prix","Silverstone Circuit",3,"Nino Farina",105,160.585764880952,99,10,4.68375147569444,0,1,8,7,"Alfa Romeo SpA","Alfa Romeo ",1,24,1,10
"211","Alfa Romeo ",1951-07-14,1951,"british-grand-prix","Silverstone Circuit",6,"Consalvo Sanesi",110.2,153.008215176951,6,5,4.68375147569444,0,0,0,0,"Alfa Romeo SpA","Alfa Romeo ",1,26,1,10
"212","Talbot CV",1951-07-14,1951,"british-grand-prix","Silverstone Circuit",11,"Duncan Hamilton",117.2,143.869499253413,12,1,4.68375147569444,0,0,0,0,"Solo","Talbot CV",4,35,3,10
"213","Talbot CV",1951-07-14,1951,"british-grand-prix","Silverstone Circuit",13,"Louis Chiron",120.2,140.278746360233,99,9,4.68375147569444,0,0,0,0,"Ecurie Rosier","Talbot CV",7,6,3,10
"214","Maserati",1952-07-19,1952,"british-grand-prix","Silverstone Circuit",28,"Gino Bianco",127,132.767758366142,18,1,4.68375147569444,0,0,0,0,"Other","Maserati",2,62,2,10
"215","Bristol",1953-09-13,1953,"italian-grand-prix","Autodromo Nazionale Monza",19,"Ken Wharton",130.1,174.32696224882,99,9,6.29998271904762,0,0,0,0,"Solo","Bristol",4,85,9,10
"216","Bristol",1953-09-13,1953,"italian-grand-prix","Autodromo Nazionale Monza",24,"Alan Brown",134.8,168.248796651123,12,8,6.29998271904762,0,0,0,0,"Solo","Bristol",4,50,9,10
"217","Alta",1953-06-07,1953,"dutch-grand-prix","Circuit Zandvoort",16,"Peter Collins",123.1,122.622,8,5,4.1929854619883,0,0,0,0,"HW Motors","Alta",8,91,5,10
"218","Gordini ",1953-07-05,1953,"french-grand-prix","Reims-Gueux",20,"Harry Schell",205.8,146.011,99,10,8.18737912037037,0,0,0,0,"Equipe Gordini","Gordini ",6,52,8,10
"219","Francis",1954-07-17,1954,"british-grand-prix","Silverstone Circuit",17,"Don Beauman",115,146.621785326087,11,1,4.68375147569444,0,0,0,0,"Solo","Francis",4,92,10,10
"220","Francis",1954-07-17,1954,"british-grand-prix","Silverstone Circuit",22,"Leslie Marr",118,142.894112817797,13,1,4.68375147569444,0,0,0,0,"Solo","Francis",4,93,10,10
"221","Mercedes",1955-06-19,1955,"dutch-grand-prix","Circuit Zandvoort",2,"Stirling Moss",100.4,150.346092262529,2,20,4.1929854619883,1,6,9,3,"Daimler Benz AG","Mercedes",10,40,11,10
"222","Ferrari",1951-10-28,1951,"spanish-grand-prix","Pedralbes Circuit",1,"Alberto Ascari",130.59,174.583046175052,4,11,6.333,1,3,17,14,"Ferrari","Ferrari",5,19,6,11
"223","Ferrari",1951-10-28,1951,"spanish-grand-prix","Pedralbes Circuit",3,"Jose Froilan Gonzalez",134.01,170.12760241773,2,8,6.333,1,6,12,6,"Ferrari","Ferrari",5,11,6,11
"224","Alfa Romeo ",1951-07-29,1951,"german-grand-prix","Nurburgring",3,"Juan Manuel Fangio",599,137.087972308548,2,11,22.8099153924501,1,7,17,10,"Alfa Romeo SpA","Alfa Romeo ",1,2,1,11
"225","Alfa Romeo ",1951-07-29,1951,"german-grand-prix","Nurburgring",7,"Paul Pietsch",615.7,133.36965309862,99,2,22.8099153924501,0,0,0,0,"Alfa Romeo SpA","Alfa Romeo ",1,45,1,11
"226","Alfa Romeo ",1951-07-29,1951,"german-grand-prix","Nurburgring",10,"Felice Bonetto",646.1,127.094405529826,99,5,22.8099153924501,0,0,6,6,"Alfa Romeo SpA","Alfa Romeo ",1,21,1,11
"227","Talbot CV",1951-07-29,1951,"german-grand-prix","Nurburgring",11,"Yves Giraud-Cabantous",652.8,125.789974590718,99,8,22.8099153924501,0,0,2,2,"Other","Talbot CV",2,20,3,11
"228","Talbot CV",1951-07-29,1951,"german-grand-prix","Nurburgring",15,"Louis Rosier",668.2,122.890894062886,8,11,22.8099153924501,0,0,3,3,"Ecurie Rosier","Talbot CV",7,5,3,11
"229","Talbot CV",1951-07-29,1951,"german-grand-prix","Nurburgring",18,"Johnny Claes",693.6,118.390564320675,11,11,22.8099153924501,0,0,0,0,"Other","Talbot CV",2,18,3,11
"230","Talbot CV",1951-07-29,1951,"german-grand-prix","Nurburgring",19,"Pierre Levegh",701.9,116.990590415758,9,5,22.8099153924501,0,0,0,0,"Solo","Talbot CV",4,23,3,11
"231","Maserati",1952-08-17,1952,"dutch-grand-prix","Circuit Zandvoort",12,"Gino Bianco",118.2,127.705140974263,99,3,4.1929854619883,0,0,0,0,"Other","Maserati",2,62,2,11
"232","Alta",1953-06-21,1953,"belgian-grand-prix","Circuit de Spa-Francorchamps",11,"Paul Frere",292,174.082,10,4,14.1199603185579,0,0,0,0,"HW Motors","Alta",8,63,5,11
"233","Gordini ",1953-07-18,1953,"british-grand-prix","Silverstone Circuit",8,"Maurice Trintignant",112,151.408,99,16,4.68375147569444,0,0,0,0,"Equipe Gordini","Gordini ",6,27,8,11
"234","Bristol",1954-07-17,1954,"british-grand-prix","Silverstone Circuit",18,"Bob Gerard",115,146.621785326087,10,6,4.68375147569444,0,0,0,0,"Solo","Bristol",4,8,9,11
"235","Bristol",1954-07-17,1954,"british-grand-prix","Silverstone Circuit",25,"Eric Brandon",125,134.8920425,99,5,4.68375147569444,0,0,0,0,"Other","Bristol",2,53,9,11
"236","Bristol",1954-07-17,1954,"british-grand-prix","Silverstone Circuit",26,"Alan Brown",132,127.738676609848,99,9,4.68375147569444,0,0,0,0,"Solo","Bristol",4,50,9,11
"237","Mercedes",1955-07-16,1955,"british-grand-prix","Aintree Motor Racing Circuit",2,"Juan Manuel Fangio",120.6,144.119402985075,2,34,4.828,1,6,16,10,"Daimler Benz AG","Mercedes",10,2,11,11
"238","Mercedes",1955-07-16,1955,"british-grand-prix","Aintree Motor Racing Circuit",4,"Karl Kling",122,142.465573770492,3,10,4.828,1,4,7,3,"Daimler Benz AG","Mercedes",10,94,11,11
"239","Alfa Romeo ",1951-09-16,1951,"italian-grand-prix","Autodromo Nazionale Monza",2,"Nino Farina",113.9,199.121490681049,3,12,6.29998271904762,1,5,7,2,"Alfa Romeo SpA","Alfa Romeo ",1,24,1,12
"240","Alfa Romeo ",1951-09-16,1951,"italian-grand-prix","Autodromo Nazionale Monza",7,"Felice Bonetto",118.3,191.715450452844,3,6,6.29998271904762,1,4,4,0,"Alfa Romeo SpA","Alfa Romeo ",1,21,1,12
"241","Alfa Romeo ",1951-09-16,1951,"italian-grand-prix","Autodromo Nazionale Monza",9,"Emmanuel de Graffenried",125.2,181.149662848015,99,8,6.29998271904762,0,0,0,0,"Alfa Romeo SpA","Alfa Romeo ",1,16,1,12
"242","Talbot CV",1951-09-16,1951,"italian-grand-prix","Autodromo Nazionale Monza",15,"Louis Rosier",130.8,173.394019790301,7,12,6.29998271904762,0,0,3,3,"Ecurie Rosier","Talbot CV",7,5,3,12
"243","Talbot CV",1951-09-16,1951,"italian-grand-prix","Autodromo Nazionale Monza",17,"Louis Chiron",132.1,171.687644122418,99,11,6.29998271904762,0,0,0,0,"Ecurie Rosier","Talbot CV",7,6,3,12
"244","Ferrari",1952-05-18,1952,"swiss-grand-prix","Circuit Bremgarten",1,"Nino Farina",167.5,156.465191563236,99,14,7.2799776630117,0,0,0,0,"Ferrari","Ferrari",5,24,6,12
"245","Ferrari",1952-05-18,1952,"swiss-grand-prix","Circuit Bremgarten",4,"Andre Simon",172.4,152.018095051288,99,5,7.2799776630117,0,0,0,0,"Ferrari","Ferrari",5,42,6,12
"246","Ferrari",1952-05-18,1952,"swiss-grand-prix","Circuit Bremgarten",19,"Peter Hirt",190.2,137.791375325143,7,2,7.2799776630117,0,0,0,0,"Other","Ferrari",2,41,6,12
"247","Maserati",1952-09-07,1952,"italian-grand-prix","Autodromo Nazionale Monza",5,"Jose Froilan Gonzalez",127.6,177.742,2,9,6.29998271904762,1,7,7,0,"Officine Alfieri Maserati","Maserati",3,11,2,12
"248","Maserati",1952-09-07,1952,"italian-grand-prix","Autodromo Nazionale Monza",13,"Felice Bonetto",131.6,172.34,5,9,6.29998271904762,1,2,2,0,"Officine Alfieri Maserati","Maserati",3,21,2,12
"249","Maserati",1952-09-07,1952,"italian-grand-prix","Autodromo Nazionale Monza",23,"Eitel Cantoni",135.9,166.887,11,3,6.29998271904762,0,0,0,0,"Other","Maserati",2,67,2,12
"250","Maserati",1952-09-07,1952,"italian-grand-prix","Autodromo Nazionale Monza",24,"Gino Bianco",137.1,165.426,99,4,6.29998271904762,0,0,0,0,"Other","Maserati",2,62,2,12
"251","Gordini ",1953-08-02,1953,"german-grand-prix","Nurburgring",9,"Jean Behra",645.5,127.213,99,11,22.8099153924501,0,0,0,0,"Equipe Gordini","Gordini ",6,47,8,12
"252","Gordini ",1953-08-02,1953,"german-grand-prix","Nurburgring",10,"Harry Schell",646.6,126.996,99,12,22.8099153924501,0,0,0,0,"Equipe Gordini","Gordini ",6,52,8,12
"253","Alta",1953-07-05,1953,"french-grand-prix","Reims-Gueux",16,"Lance Macklin",177.2,169.577,99,8,8.18737912037037,0,0,0,0,"HW Motors","Alta",8,49,5,12
"254","Alta",1953-07-05,1953,"french-grand-prix","Reims-Gueux",18,"Yves Giraud-Cabantous",186.7,160.949,14,12,8.18737912037037,0,0,0,0,"HW Motors","Alta",8,20,5,12
"255","Bristol",1955-07-16,1955,"british-grand-prix","Aintree Motor Racing Circuit",25,"Jack Brabham",147.4,117.915875169607,99,1,4.828,0,0,0,0,"Other","Bristol",2,109,9,12
"256","Mercedes",1955-09-11,1955,"italian-grand-prix","Autodromo Nazionale Monza",1,"Juan Manuel Fangio",166.5,136.215842574003,1,35,6.29998271904762,1,8,24,16,"Daimler Benz AG","Mercedes",10,2,11,12
"257","Mercedes",1955-09-11,1955,"italian-grand-prix","Autodromo Nazionale Monza",9,"Piero Taruffi",171.8,132.01360761683,2,16,6.29998271904762,1,6,6,0,"Daimler Benz AG","Mercedes",10,44,11,12
"258","Alfa Romeo ",1951-10-28,1951,"spanish-grand-prix","Pedralbes Circuit",4,"Nino Farina",134.94,168.955091151623,3,13,6.333,1,4,16,12,"Alfa Romeo SpA","Alfa Romeo ",1,24,1,13
"259","Alfa Romeo ",1951-10-28,1951,"spanish-grand-prix","Pedralbes Circuit",8,"Felice Bonetto",141.8,160.781382228491,5,7,6.333,1,2,6,4,"Alfa Romeo SpA","Alfa Romeo ",1,21,1,13
"260","Talbot CV",1951-10-28,1951,"spanish-grand-prix","Pedralbes Circuit",14,"Yves Giraud-Cabantous",152.18,149.814693126561,99,10,6.333,0,0,2,2,"Other","Talbot CV",2,20,3,13
"261","Talbot CV",1951-10-28,1951,"spanish-grand-prix","Pedralbes Circuit",15,"Johnny Claes",154.46,147.603262980707,99,13,6.333,0,0,0,0,"Other","Talbot CV",2,18,3,13
"262","Talbot CV",1951-10-28,1951,"spanish-grand-prix","Pedralbes Circuit",20,"Louis Rosier",166.78,136.699844106008,7,13,6.333,0,0,3,3,"Ecurie Rosier","Talbot CV",7,5,3,13
"263","Ferrari",1952-06-22,1952,"belgian-grand-prix","Circuit de Spa-Francorchamps",1,"Alberto Ascari",277,183.508509555265,1,12,14.1199603185579,1,9,18,9,"Ferrari","Ferrari",5,19,6,13
"264","Ferrari",1952-06-22,1952,"belgian-grand-prix","Circuit de Spa-Francorchamps",13,"Charles de Tornaco",313,162.40209951057,7,1,14.1199603185579,0,0,0,0,"Other","Ferrari",2,54,6,13
