"","ENGINE","Date","year","gp_name","circuit","Pos","Driver","Time","Kph","race_pos","exp","circuit_length","points","race_points","wdc_points","wdc_points_shift","new_team","new_engine","team_index","driver_index","engine_index","race_index"
"31","Alfa Romeo ",1950-05-21,1950,"monaco-grand-prix","Circuit de Monaco",1,"Juan Manuel Fangio",110.2,103.883,1,2,3.16156530190058,1,9,9,0,"Alfa Romeo SpA","Alfa Romeo ",1,2,1,2
"32","Maserati",1950-05-21,1950,"monaco-grand-prix","Circuit de Monaco",3,"Jose Froilan Gonzalez",113.7,100.686,99,1,3.16156530190058,0,0,0,0,"Other","Maserati",2,11,2,2
"33","Talbot CV",1950-05-21,1950,"monaco-grand-prix","Circuit de Monaco",4,"Philippe Etancelin",114.1,100.333,99,2,3.16156530190058,0,0,0,0,"Solo","Talbot CV",4,12,3,2
"34","Maserati",1950-05-21,1950,"monaco-grand-prix","Circuit de Monaco",8,"Louis Chiron",116.3,98.435,3,2,3.16156530190058,1,4,4,0,"Officine Alfieri Maserati","Maserati",3,6,2,2
"35","Maserati",1950-05-21,1950,"monaco-grand-prix","Circuit de Monaco",12,"Emmanuel de Graffenried",120.7,94.846,99,2,3.16156530190058,0,0,0,0,"Other","Maserati",2,16,2,2
"36","ERA",1950-05-21,1950,"monaco-grand-prix","Circuit de Monaco",14,"Cuth Harrison",121.6,94.144,99,2,3.16156530190058,0,0,0,0,"Solo","other",4,17,4,2
"37","Talbot CV",1950-05-21,1950,"monaco-grand-prix","Circuit de Monaco",18,"Johnny Claes",132,86.727,7,2,3.16156530190058,0,0,0,0,"Other","Talbot CV",2,18,3,2
"38","Ferrari",1950-06-04,1950,"swiss-grand-prix","Circuit Bremgarten",4,"Luigi Villoresi",166.1,157.784,99,2,7.2799776630117,0,0,0,0,"Ferrari","Ferrari",5,13,6,2
"39","Ferrari",1950-06-04,1950,"swiss-grand-prix","Circuit Bremgarten",5,"Alberto Ascari",166.8,157.122,99,2,7.2799776630117,0,0,0,0,"Ferrari","Ferrari",5,19,6,2
"40","Alta",1950-06-18,1950,"belgian-grand-prix","Circuit de Spa-Francorchamps",12,"Geoff Crossley",344,147.767,9,2,14.1199603185579,0,0,0,0,"Solo","Alta",4,9,5,2
"41","Simca-Gordini",1950-09-03,1950,"italian-grand-prix","Autodromo Nazionale Monza",12,"Maurice Trintignant",133.4,170.014,99,2,6.29998271904762,0,1,1,0,"Equipe Gordini","Simca-Gordini",6,27,7,2
"42","Milano",1951-07-01,1951,"french-grand-prix","Reims-Gueux",15,"Onofre Marimon",209.8,140.488869558309,99,1,8.18737912037037,0,0,0,0,"Other","other",2,31,4,2
"43","Veritas",1952-05-18,1952,"swiss-grand-prix","Circuit Bremgarten",16,"Toni Ulmen",185.6,141.206463291175,99,1,7.2799776630117,0,0,0,0,"Solo","other",4,51,4,2
"44","Gordini ",1952-06-22,1952,"belgian-grand-prix","Circuit de Spa-Francorchamps",4,"Robert Manzon",292,174.081702557563,3,9,14.1199603185579,1,4,4,0,"Equipe Gordini","Gordini ",6,15,8,2
"45","Gordini ",1952-06-22,1952,"belgian-grand-prix","Circuit de Spa-Francorchamps",5,"Jean Behra",296,171.729247117596,99,2,14.1199603185579,0,0,4,4,"Equipe Gordini","Gordini ",6,47,8,2
"46","Bristol",1952-06-22,1952,"belgian-grand-prix","Circuit de Spa-Francorchamps",9,"Alan Brown",307,165.576081911428,6,2,14.1199603185579,0,0,2,2,"Other","Bristol",2,50,9,2
"47","Bristol",1952-06-22,1952,"belgian-grand-prix","Circuit de Spa-Francorchamps",12,"Eric Brandon",312,162.922619060284,9,2,14.1199603185579,0,0,0,0,"Other","Bristol",2,53,9,2
"48","Gordini ",1952-06-22,1952,"belgian-grand-prix","Circuit de Spa-Francorchamps",19,"Johnny Claes",333,152.648219660086,8,14,14.1199603185579,0,0,0,0,"Equipe Gordini","Gordini ",6,18,8,2
"49","Francis",1952-08-17,1952,"dutch-grand-prix","Circuit Zandvoort",13,"Ken Downing",118.6,127.274432235733,99,2,4.1929854619883,0,0,0,0,"Solo","Francis",4,64,10,2
"50","Osca",1952-09-07,1952,"italian-grand-prix","Autodromo Nazionale Monza",10,"Elie Bayol",130.6,173.66,99,1,6.29998271904762,0,0,0,0,"Solo","other",4,66,4,2
"51","Plat&eacute",1952-07-06,1952,"french-grand-prix","Rouen-Les-Essarts",12,"Harry Schell",149,133.924832214765,99,6,5.543,0,0,0,0,"Other","other",2,52,4,2
"52","BMW ",1953-08-02,1953,"german-grand-prix","Nurburgring",21,"Theo Fitzau",684.3,120,99,1,22.8099153924501,0,0,0,0,"Solo","other",4,77,4,2
"53","BMW ",1953-08-02,1953,"german-grand-prix","Nurburgring",26,"Rudolf Krause",709.5,115.737,14,2,22.8099153924501,0,0,0,0,"Solo","other",4,78,4,2
"54","Mercedes",1954-07-17,1954,"british-grand-prix","Silverstone Circuit",1,"Juan Manuel Fangio",105,160.585764880952,4,25,4.68375147569444,1,4,4,0,"Daimler Benz AG","Mercedes",10,2,11,2
"55","Lancia DS",1955-01-16,1955,"argentine-grand-prix","Autódromo Juan y Oscar Gálvez",2,"Alberto Ascari",103.6,135.952,99,30,3.91238753062678,0,0,0,0,"Other","other",2,19,4,2
"56","Lancia DS",1955-01-16,1955,"argentine-grand-prix","Autódromo Juan y Oscar Gálvez",12,"Eugenio Castellotti",105.3,133.757,99,1,3.91238753062678,0,0,0,0,"Other","other",2,102,4,2
"57","Vanwall",1955-06-05,1955,"belgian-grand-prix","Circuit de Spa-Francorchamps",9,"Mike Hawthorn",273,186.197,99,23,14.1199603185579,0,0,0,0,"Other","other",2,58,4,2
"58","Alfa Romeo ",1950-06-04,1950,"swiss-grand-prix","Circuit Bremgarten",1,"Juan Manuel Fangio",162.1,161.677,99,3,7.2799776630117,0,0,9,9,"Alfa Romeo SpA","Alfa Romeo ",1,2,1,3
"59","Talbot CV",1950-06-04,1950,"swiss-grand-prix","Circuit Bremgarten",6,"Philippe Etancelin",171.1,153.173,99,3,7.2799776630117,0,0,0,0,"Solo","Talbot CV",4,12,3,3
"60","Talbot CV",1950-06-04,1950,"swiss-grand-prix","Circuit Bremgarten",7,"Yves Giraud-Cabantous",172.7,151.754,99,2,7.2799776630117,0,0,0,0,"Other","Talbot CV",2,20,3,3
"61","Maserati",1950-06-04,1950,"swiss-grand-prix","Circuit Bremgarten",8,"Prince Bira",173.2,151.316,4,3,7.2799776630117,1,3,3,0,"Other","Maserati",2,3,2,3
"62","Talbot CV",1950-06-04,1950,"swiss-grand-prix","Circuit Bremgarten",10,"Louis Rosier",174,150.62,3,3,7.2799776630117,1,4,6,2,"Other","Talbot CV",2,5,3,3
