"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"39","DNF","44","Franco Rol","Italy","Officine Alfieri Maserati","","","","","","","","May 21, 1950","Circuit de Monaco","monaco-grand-prix",1950
"40","DNF","8","Harry Schell","USA","Horschell Racing Corporation","","","","","","","","May 21, 1950","Circuit de Monaco","monaco-grand-prix",1950
"41","1","1","Johnnie Parsons","USA","Kurtis Kraft Inc","138","2:46:55.970","","","199.563","1:09.770","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"42","2","3","Bill Holland","USA","Lou Moore","137","2:47:33.980","1 Lap","1 Lap","197.368","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"43","3","31","Mauri Rose","USA","Howard Keck Co","137","2:48:44.980","1 Lap","+ 1:11.000","195.984","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"44","4","54","Cecil Green","USA","M A Walker","137","2:48:45.980","1 Lap","+ 1.000","195.965","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"45","5","17","Joie Chitwood/Tony Bettenhausen/","USA","Ervin Wolfe","136","2:47:32.980","2 Laps","1 Lap","195.947","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"46","6","8","Lee Wallard","USA","Lou Moore","136","2:48:34.950","2 Laps","+ 1:01.970","194.747","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"47","7","98","Walt Faulkner","USA","J C Agajanian","135","2:47:13.530","3 Laps","1 Lap","194.883","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"48","8","5","George Connor","USA","Lou Moore","135","2:47:14.190","3 Laps","+ 0.660","194.870","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"49","9","7","Paul Russo","USA","Paul Russo & Ray Nichels","135","2:48:48.290","3 Laps","+ 1:34.100","193.060","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"50","10","59","Pat Flaherty","USA","Grancor Auto Specialists","135","2:48:49.050","3 Laps","+ 0.760","193.045","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"51","11","2","Myron Fohr","USA","Carl Marchese","133","","5 Laps","2 Laps","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"52","12","18","Duane Carter","USA","Murrell Belanger","133","","5 Laps","","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"53","13","15","Mack Hellings","USA","Charles Pritchard","132","","6 Laps","1 Lap","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"54","14","49","Jack McGrath","USA","Jack B Hinkle","131","","7 Laps","1 Lap","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"55","15","55","Troy Ruttman","USA","Bowes Racing Inc","130","","8 Laps","1 Lap","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
"56","16","75","Gene Hartley","USA","Joe Langley","128","","10 Laps","2 Laps","","","","May 30, 1950","Indianapolis Motor Speedway","indianapolis-500",1950
