"","Date","Circuit Name","Event"
"1","10 May 1959","Circuit de Monaco","Monaco Grand Prix"
"2","30 May 1959","Indianapolis Motor Speedway","Indianapolis 500"
"3","31 May 1959","Circuit Zandvoort","Dutch Grand Prix"
"4","5 July 1959","Reims-Gueux","French Grand Prix"
"5","18 July 1959","Aintree Motor Racing Circuit","British Grand Prix"
"6","2 August 1959","AVUS","German Grand Prix"
"7","23 August 1959","Monsanto Park Circuit","Portuguese Grand Prix"
"8","13 September 1959","Autodromo Nazionale Monza","Italian Grand Prix"
"9","12 December 1959","Sebring International Raceway","United States Grand Prix"
