"","Date","Circuit Name","Event"
"1","18 May 1952","Circuit Bremgarten","Swiss Grand Prix"
"2","30 May 1952","Indianapolis Motor Speedway","Indianapolis 500"
"3","22 June 1952","Circuit de Spa-Francorchamps","Belgian Grand Prix"
"4","6 July 1952","Rouen-Les-Essarts","French Grand Prix"
"5","19 July 1952","Silverstone Circuit","British Grand Prix"
"6","3 August 1952","Nurburgring","German Grand Prix"
"7","17 August 1952","Circuit Zandvoort","Dutch Grand Prix"
"8","7 September 1952","Autodromo Nazionale Monza","Italian Grand Prix"
