"","Date","Circuit Name","Event"
"1","19 January 1958","Autódromo Juan y Oscar Gálvez","Argentine Grand Prix"
"2","18 May 1958","Circuit de Monaco","Monaco Grand Prix"
"3","26 May 1958","Circuit Zandvoort","Dutch Grand Prix"
"4","30 May 1958","Indianapolis Motor Speedway","Indianapolis 500"
"5","15 June 1958","Circuit de Spa-Francorchamps","Belgian Grand Prix"
"6","6 July 1958","Reims-Gueux","French Grand Prix"
"7","19 July 1958","Silverstone Circuit","British Grand Prix"
"8","3 August 1958","Nurburgring","German Grand Prix"
"9","24 August 1958","Circuito da Boavista","Portuguese Grand Prix"
"10","7 September 1958","Autodromo Nazionale Monza","Italian Grand Prix"
"11","19 October 1958","Ain-Diab","Moroccan Grand Prix"
